q	level	n	answer
1	מתקדם	10	B
2	בינוני	9	D
3	מתקדם	7	D
4	אקדמי	2	B
5	בסיס	1	C
6	בינוני	6	C
7	מתקדם	1	B
8	מתקדם	6	D
9	בסיס	2	B
10	בסיס	5	B
11	בסיס	9	D
12	אקדמי	6	B
13	בסיס	4	A
14	בסיס	7	A
15	בינוני	5	D
16	בסיס	8	A
17	בינוני	3	D
18	מתקדם	4	C
19	בינוני	1	B
20	אקדמי	10	B
21	מתקדם	8	D
22	בסיס	6	A
23	אקדמי	4	B
24	אקדמי	5	D
25	מתקדם	3	B
26	בינוני	4	D
27	מתקדם	9	D
28	בסיס	3	A
29	אקדמי	9	B
30	בינוני	7	C
31	בינוני	8	B
32	בינוני	10	C
33	בסיס	10	D
34	אקדמי	8	A
35	מתקדם	5	C
36	אקדמי	3	C
37	אקדמי	7	A
38	מתקדם	2	D
39	אקדמי	1	B
40	בינוני	2	D
