# summer_2024 · fmt=A · analogy=116 · completion=120
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
סככה	סככה	analogy	1	1	רגל	close	סככ
צל	צל	analogy	1	1	רגל	miss	
כספת	כספת	analogy	1	1	מסיח 1	close	כספ
כסף	כסף	analogy	1	1	מסיח 1	close	כספ
חממה	חממה	analogy	1	1	מסיח 2	close	חממ
שתיל	שתיל	analogy	1	1	מסיח 2	miss	
מטרייה	מטרייה	analogy	1	1	מסיח 3	miss	
גשם	גשם	analogy	1	1	מסיח 3	close	גשמ
מחיצה	מחיצה	analogy	1	1	מסיח 4	close	מחצ
הפרדה	הפרדה	analogy	1	1	מסיח 4	close	פרד
השתתק	השתתק	analogy	1	2	רגל	close	שתת
לדבר	לדבר	analogy	1	2	רגל	full	דביר
התלבש	התלבש	analogy	1	2	מסיח 1	close	התל
לפשוט	לפשוט	analogy	1	2	מסיח 1	close	פשט
התנצל	התנצל	analogy	1	2	מסיח 2	miss	
למחול	למחול	analogy	1	2	מסיח 2	full	מחל
השתעמם	השתעמם	analogy	1	2	מסיח 3	close	עממ
לעניין	לעניין	analogy	1	2	מסיח 3	miss	
התעורר	התעורר	analogy	1	2	מסיח 4	close	תער
לישון	לישון	analogy	1	2	מסיח 4	miss	
להאניש	להאניש	analogy	1	3	רגל	close	אנש
אנושיות	אנושיות	analogy	1	3	רגל	close	אנש
לקנות	לקנות	analogy	1	3	מסיח 1	miss	
קניין	קניין	analogy	1	3	מסיח 1	full	קונן
להעליל	להעליל	analogy	1	3	מסיח 2	full	העליל
אשמה	אשמה	analogy	1	3	מסיח 2	close	אשמ
להפריז	להפריז	analogy	1	3	מסיח 3	full	הפריז
הגזמה	הגזמה	analogy	1	3	מסיח 3	full	גוזמה
להתריע	להתריע	analogy	1	3	מסיח 4	full	התריע
סכנה	סכנה	analogy	1	3	מסיח 4	close	סכנ
מהימן	מהימן	analogy	1	4	רגל	miss	
לבטוח	לבטוח	analogy	1	4	רגל	close	בטח
נחשק	נחשק	analogy	1	4	מסיח 1	close	חשק
לרצות	לרצות	analogy	1	4	מסיח 1	miss	
ממושמע	ממושמע	analogy	1	4	מסיח 2	miss	
לציית	לציית	analogy	1	4	מסיח 2	miss	
מיותר	מיותר	analogy	1	4	מסיח 3	miss	
לוותר	לוותר	analogy	1	4	מסיח 3	close	ותר
מבואר	מבואר	analogy	1	4	מסיח 4	close	באר
לפרש	לפרש	analogy	1	4	מסיח 4	close	פרש
מרוהט	מרוהט	analogy	1	5	רגל	close	מרה
רהיט	רהיט	analogy	1	5	רגל	full	רהוט
מחולק	מחולק	analogy	1	5	מסיח 1	close	מחל
חלק	חלק	analogy	1	5	מסיח 1	close	חלק
מחורץ	מחורץ	analogy	1	5	מסיח 2	close	חרצ
חריץ	חריץ	analogy	1	5	מסיח 2	full	חרץ
מרומז	מרומז	analogy	1	5	מסיח 3	miss	
רמז	רמז	analogy	1	5	מסיח 3	miss	
מבוסס	מבוסס	analogy	1	5	מסיח 4	close	בסס
בסיס	בסיס	analogy	1	5	מסיח 4	full	בוסס
