q	level	n	words	blanks
1	אקדמי	67	eloquent	1
2	מתקדם	67	withdraw	1
3	אקדמי	48	legible	1
4	מתקדם	51	reinforce	1
5	בסיס	1	pay	1
6	מתקדם	29	recall	1
7	בינוני	25	confirm	1
8	בסיס	6	echo	1
9	מתקדם	33	inherit	1
10	אקדמי	17	offset	1
11	בסיס	19	mistake	1
12	אקדמי	8	commodity	1
13	בינוני	16	budget	1
14	בינוני	14	delay	1
15	בינוני	9	frustration	1
16	מתקדם	62	apathy	1
17	אקדמי	61	mediate	1
18	אקדמי	24	defer	1
19	בינוני	42	progress	1
20	אקדמי	27	hinder	1
21	אקדמי	69	break	1
22	אקדמי	22	precedent	1
23	מתקדם	13	dim	1
24	בינוני	29	nest	1
25	מתקדם	41	hatch	1
26	מתקדם	43	dissolve	1
27	מתקדם	65	emphasize|mention	2
28	מתקדם	20	distract	1
29	בסיס	9	catch	1
30	אקדמי	10	undermine	1
31	אקדמי	54	engrave|adorn	2
32	בסיס	14	escape	1
33	בינוני	2	permission	1
34	מתקדם	15	inspect	1
35	אקדמי	15	saturated	1
36	בסיס	5	cancel	1
37	אקדמי	62	concur|dissent	2
38	בסיס	17	distance	1
39	מתקדם	21	repetition	1
40	מתקדם	34	prohibit	1
41	מתקדם	59	summarize	1
42	אקדמי	16	outweigh	1
43	מתקדם	26	enforce	1
44	בינוני	3	traffic	1
45	אקדמי	5	allocate	1
46	מתקדם	27	hibernate	1
47	אקדמי	47	deteriorate	1
48	אקדמי	46	elusive	1
49	אקדמי	35	convene	1
50	אקדמי	3	incentive	1
51	אקדמי	23	forfeit	1
52	מתקדם	36	vacant	1
53	מתקדם	37	retain	1
54	אקדמי	36	uphold	1
55	מתקדם	16	wrap|fasten	2
56	אקדמי	51	perpetuate	1
57	אקדמי	55	preserve|ruin	2
58	מתקדם	68	cure	1
59	מתקדם	42	erosion	1
60	אקדמי	2	yield|harvest	2
61	מתקדם	6	suspend	1
62	אקדמי	1	amend	1
63	מתקדם	3	prey	1
64	אקדמי	13	justify|inflate	2
65	מתקדם	66	desert	1
66	אקדמי	49	articulate	1
67	בינוני	19	valid	1
68	אקדמי	58	concise	1
69	אקדמי	20	depict	1
70	אקדמי	18	derive	1
71	בסיס	7	repeat	1
72	מתקדם	28	shatter	1
73	אקדמי	60	condone	1
74	בינוני	11	stamina	1
75	אקדמי	29	alleviate	1
76	בסיס	3	solve	1
77	בסיס	18	bridge	1
78	בינוני	45	envy	1
79	מתקדם	23	analyze	1
80	מתקדם	52	collapse	1
81	בינוני	15	reject	1
82	בינוני	38	opponent	1
83	אקדמי	14	bias	1
84	מתקדם	19	qualify	1
85	בינוני	35	baggage	1
86	אקדמי	66	impartial	1
87	בסיס	20	skill	1
88	מתקדם	44	conduct	1
89	מתקדם	54	shortage	1
90	בסיס	16	price	1
91	מתקדם	40	acknowledge	1
92	מתקדם	7	compensate	1
93	אקדמי	30	discrepancy	1
94	אקדמי	68	compulsory	1
95	אקדמי	40	negotiate|enact	2
96	אקדמי	59	negligence	1
97	אקדמי	65	heed	1
98	מתקדם	45	fatigue	1
99	מתקדם	8	align|differ	2
100	מתקדם	11	diagnose	1
101	בינוני	34	boil	1
102	בינוני	6	illegal	1
103	בינוני	24	charity	1
104	בינוני	8	predator	1
105	בסיס	8	freeze	1
106	בינוני	27	spoil	1
107	בינוני	17	achieve	1
108	בינוני	20	border	1
109	מתקדם	63	rehearse	1
110	אקדמי	12	indicate|deduce	2
111	אקדמי	52	refute	1
112	אקדמי	6	burden	1
113	בסיס	12	storm	1
114	בינוני	32	sink	1
115	בסיס	2	guess	1
116	בסיס	13	muscle	1
117	אקדמי	11	disprove	1
118	מתקדם	14	transfer	1
119	מתקדם	25	illustrate	1
120	אקדמי	21	insulate	1
121	אקדמי	26	sincerity	1
122	בינוני	18	habit	1
123	בסיס	4	destroy	1
124	מתקדם	18	formulate|clarify	2
125	מתקדם	56	detach	1
126	מתקדם	50	dense	1
127	אקדמי	31	concede	1
128	מתקדם	9	revise	1
129	בינוני	41	relative	1
130	בסיס	11	lock	1
131	אקדמי	43	contaminate|exclude	2
132	בינוני	21	salary	1
133	אקדמי	33	overhaul	1
134	בינוני	5	damage	1
135	אקדמי	34	revoke	1
136	בסיס	15	wood	1
137	מתקדם	1	draft|approve	2
138	מתקדם	31	appeal	1
139	בינוני	43	dose	1
140	מתקדם	24	obstacle	1
141	מתקדם	10	obligation	1
142	בינוני	23	apply	1
143	מתקדם	5	restore	1
144	אקדמי	19	decipher	1
145	בינוני	4	ignore	1
146	אקדמי	9	administer|specify	2
147	מתקדם	12	melt|rise	2
148	מתקדם	53	assemble	1
149	בינוני	22	shift	1
150	מתקדם	48	expand|contract	2
151	בינוני	39	recover	1
152	בינוני	13	fault	1
153	אקדמי	39	impose	1
154	אקדמי	53	span	1
155	מתקדם	58	halt|withstand	2
156	מתקדם	32	delegate	1
157	בסיס	10	mix	1
158	בינוני	12	subject	1
159	בינוני	10	forgive	1
160	בינוני	44	comfort	1
161	אקדמי	32	ascertain	1
162	בינוני	1	equipment	1
163	בינוני	28	rainfall	1
164	בינוני	40	assignment	1
165	בינוני	30	destination	1
166	אקדמי	56	correspond|diverge	2
167	אקדמי	28	impart|absorb	2
168	בינוני	7	purchase	1
169	אקדמי	57	stature	1
170	מתקדם	2	deposit	1
171	מתקדם	4	route	1
172	מתקדם	64	dread	1
173	אקדמי	50	commemorate	1
174	מתקדם	17	awareness	1
175	אקדמי	4	thrive	1
176	אקדמי	64	oblige|abide	2
177	בינוני	31	wheat	1
178	אקדמי	45	plausible	1
179	אקדמי	41	accumulate|spend	2
180	מתקדם	22	dialect	1
181	מתקדם	61	accompany	1
182	בינוני	33	cliff	1
183	מתקדם	39	regulation	1
184	מתקדם	35	oath	1
185	בסיס	22	question	1
186	בינוני	26	notify	1
187	אקדמי	42	negligible	1
188	אקדמי	38	withhold	1
189	אקדמי	37	scrutinize	1
190	מתקדם	30	enhance	1
191	מתקדם	57	preserve	1
192	בסיס	21	wait	1
193	מתקדם	47	fragile	1
194	מתקדם	38	refuse|grant	2
195	מתקדם	46	stabilize	1
196	מתקדם	55	weave	1
197	בינוני	36	ingredients	1
198	מתקדם	60	grasp	1
199	אקדמי	7	prescribe	1
200	אקדמי	44	ambiguous	1
201	אקדמי	63	industrious|frugal	2
202	מתקדם	49	tame	1
203	אקדמי	25	ratify	1
204	בינוני	37	stream	1
