k	term	cands
w3383	launder	להלבין | לכבס
w3813	officiate	לערוך טקס | לערוך | לכהן
w3886	shroud	עטיפה | לאפוף | תכריך
w2820	coffin	ארון מתים | ארון קבורה
w3492	sedative	משכך | סם הרגעה | תרופת הרגעה
w2442	cornerstone	יסוד | אבן פינה
w3516	sturdy	חסון | חזק | מוצק | יציב
w2997	mild	קל | מתון | עדין
w3839	posterity	דורות הבאים | הדורות הבאים
w3514	stroke	שבץ | שבץ/אירוע מוחי | ליטוף | ללטף | מכה
w3554	wind	ללפף | רוח | למתוח | לפתל
w3672	disparage	לזלזל | להשמיץ | להמעיט בערך
w2654	quake	רעד | רעידת אדמה | לרעוד
w3444	predictive	מנבא | חיזויי | תחזיתי
w3930	upheaval	מהפך | טלטלה | תהפוכה
w3615	concerted	מתואם | משותף
w2748	unholy	לא קדוש | נורא | לא מוסרי
w3508	standardize	לתקנן | להאחיד
w2618	offender	פושע | פוגע | עבריין
w3370	inquiry	חקירה | בירור
w3637	culminate	להגיע לשיא | הגיע לשיא
w3520	successor	מחליף | יורש
w3523	sympathetic	אוהד | מבין
w3166	accustomed	מורגל | רגיל
w2597	manufacture	ייצר | לייצר | ייצור
w2627	overly	יותר מדי | יותר מידי
w2974	janitor	שרת | אב בית
w3797	morose	עגמומי | עגום | קודר | זעוף
w3850	prompted	לעורר | הביא לידי | לגרום
w2479	distribution	הפצה | חלוקה | התפלגות
w3902	stark	קודר | קיצוני | עזוב | גמור | מוחלט | בוטה | שומם
w3627	conjecture	לשער | השערה | סברה
w2694	safeguard	אמצעי הגנה | להגן | הגנה
w3202	augment	להגדיל | להרחיב | לחזק
w2535	frequent	שכיח | תדיר | תכוף | לפקוד
w2531	fluid	נוזל | נזיל
w3731	futile	חסר תועלת | חסר תוחלת | עקר | נטול סיכוי
w3300	enlist	לגייס | להתגייס
w3706	expedite	לזרז | להאיץ
w3481	ridicule	לעג | ללעוג
w3417	offset	לקזז | קיזוז
w2906	fine	משביע רצון | קטן | קנס | משובח | מצוין | בסדר | דקיק | עדין
w2757	vest	גופייה | אפודה | אפוד
w2799	bare	עירום | לחשוף | ריק | חשוף
w3193	ark	תיבה | ארון
w3879	scales	סולם | קשקשים | מאזניים | קשקשים (של דג)
w3745	heed	תשומת לב | לשים לב
w3755	implicate	לסבך | לערב | להפליל
