id	מילה בכרטיס	הפירוש המקורי	מה כתוב במאגר	מה הלומד כתב	האם הלומד ידע את המילה? כ / ל / ?
M1012.1504	עקר	מנע אפשרות להוליד צאצאים; רוקן מתוכן וממשמעות; חיטא, הרג חיידקים בכלי או בחומר	הרג חיידקימ בכלי או בחומר	הורג חיידקימ בכלי או בחומר	
M1070.1593	דלוח	לא צלול, עכור	לא צלול	לא צולל	
M1078.1611	הבליע	הסתיר דבר בתוך דבר, הכמין; אמר דברים בצורה מרומזת	הסתיר דבר בתוכ דבר	הסתיר דבר בתוכ נדבר	
M1116.1676	כסיל	טיפש, שוטה	טיפש	טיפשות	
M1119.1682	כפת	קשר, כבל	כבל	נכבל	
M1122.1684	לפרקים	מדי פעם, מעת לעת	מדי פעמ	מדי נפעמ	
M1195.1766	פתחון פה	אפשרות לומר דבר מה, הזדמנות לטעון משהו	אפשרות לומר דבר מה	אפשרות לומר נדבר מה	
M1203.1784	קבסתן	טרחן, מישהו שמעורר בחילה וגועל	טרחנ	טורח	
M1232.1818	שזף	ראה, הביט; שרף, צרב	צרב	צורב	
M1274.1878	אצר	שמר וגנז לשימוש עתידי; צבר כמות גדולה; נשא בתוכו	נשא בתוכו	התנשא בתוכו	
M1277.1883	ארכבה	בֶּרֶך; ידית כפופה בצורת ברך המשמשת להפעלת מכונה/מנוע	ידית כפופה בצורת ברכ המשמשת להפעלת מכונה	ידית כפופה בצורת התברכ המשמשת להפעלת מכונה	
M1298.1907	הבכיר	הבשיל בתחילת העונה	הבשיל בתחילת העונה	הבשיל בתחילת העוינ	
M1312.1931	התווה	תכנן בקווים כלליים מבלי להיכנס לדקויות; שרטט, רשם, סימן	רשמ	רושמ	
M1325.1943	חת	נבהל, התמלא פחד	התמלא פחד	מלא פחד	
M1344.1956	מדוכה	קערית עבה שבה מרסקים תבלינים וגרעינים באמצעות עלי; ובהשאלה, בירור יסודי של סוגיה	קערית עבה שבה מרסקימ תבלינימ וגרעינימ באמצעות עלי	קערית עבה שבה מרסקימ תבלינימ וגרעינימ באמצעות עולי	
M1366.1988	סילוף	עיוות הדברים כך שיראו בצורה שונה מן המציאות	עיוות הדברימ ככ שיראו בצורה שונה מנ המציאות	עיוות הדברימ ככ שיראו בצורה שנה מנ המציאות	
M145.228	סורר	מרדן, סרבן, חסר משמעת	חסר משמעת	חוסר משמעת	
M1500.2154	סלד	הרגיש דחייה כלפי משהו, נגעל	נגעל	געל	
M1507.2167	עופר	אייל או צבי צעיר; כשנאמר על אדם: עלם חמד, צעיר	עלמ חמד	נעלמ חמד	
M1534.2224	רצע	עשה חור (מַרְצֵע - מכשיר לניקוב חורים)	עשה חור	עשה התחור	
M16.14	אשכול	צבר פירות או ניצנים היוצאים מעוקץ אחד; קבוצת פריטים קשורים זה לזה	צבר פירות או ניצנימ היוצאימ מעוקצ אחד	צובר פירות או ניצנימ היוצאימ מעוקצ אחד	
M1606.2330	התחקה	עקב אחר משהו כדי לגלות את פרטיו או את מהלכו; חקר ובחן לעומק	עקב אחר משהו כדי לגלות את פרטיו או את מהלכו	עוקב אחר משהו כדי לגלות את פרטיו או את מהלכו	
M1606.2331	התחקה	עקב אחר משהו כדי לגלות את פרטיו או את מהלכו; חקר ובחן לעומק	עקב אחר משהו כדי לגלות את פרטיו או את מהלכו	עקב התאחר משהו כדי לגלות את פרטיו או את מהלכו	
M168.267	רדה	שלט ביד רמה, משל; אסף דבש מהכוורת	אספ דבש מהכוורת	התאספ דבש מהכוורת	
M1716.2451	תקר	חור בצמיג הגורם לבריחת האוויר ממנו ולהשבתת הגלגל, פנצ'ר	חור בצמיג הגורמ לבריחת האוויר ממנו ולהשבתת הגלגל	התחור בצמיג הגורמ לבריחת האוויר ממנו ולהשבתת הגלגל	
M212.323	גזרה	הוראה מחייבת מטעם השלטון, בעיקר כזו שמטילה איסור או סבל	בעיקר כזו שמטילה איסור או סבל	בעיקר כזו שמטילה איסור או נסבל	
M238.368	השתוקק	רצה מאוד	רצה מאוד	התרצה מאוד	
M337.493	שגעון גדלות	מחשבות שווא על עליונות, גאונות או עוצמה שאין לאדם בפועל	מחשבות שווא על עליונות	מחשבות שוא על עליונות	
M348.507	אבוקה	לפיד, צרור קיסמים בוערים	צרור קיסמימ בוערימ	צורר קיסמימ בוערימ	
M39.45	גרגרן	אכלן, זללן, להוט אחר אוכל	להוט אחר אוכל	לוהט אחר אוכל	
