# 2020_summer · fmt=B · analogy=114 · completion=79
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
קרחת יער	קרחת יער	analogy	1	1	רגל	close	רחת
יער	יער	analogy	1	1	רגל	close	יער
בריכה	בריכה	analogy	1	1	מסיח 1	close	ברכ
ענן	ענן	analogy	1	1	מסיח 2	miss	
שמיים	שמיים	analogy	1	1	מסיח 2	full	שומם
הר	הר	analogy	1	1	מסיח 3	miss	
רכס	רכס	analogy	1	1	מסיח 3	full	רכס
דחה	דחה	analogy	1	2	רגל	close	דחה
קיבל	קיבל	analogy	1	2	רגל	full	קבל
שב	שב	analogy	1	2	מסיח 1	miss	
עזב	עזב	analogy	1	2	מסיח 1	close	עזב
רדף	רדף	analogy	1	2	מסיח 2	miss	
ברח	ברח	analogy	1	2	מסיח 2	full	בריח
סירב	סירב	analogy	1	2	מסיח 3	miss	
פקד	פקד	analogy	1	2	מסיח 3	full	פקד
התעקש	התעקש	analogy	1	2	מסיח 4	close	עקש
ויתר	ויתר	analogy	1	2	מסיח 4	close	ותר
עומד בניסיון	עומד בניסיון	analogy	1	3	רגל	close	עמד
לפתות	לפתות	analogy	1	3	רגל	full	פת
עומד מלכת	עומד מלכת	analogy	1	3	מסיח 1	close	עמד
לעצור	לעצור	analogy	1	3	מסיח 1	close	עצר
עומד בדיבורו	עומד בדיבורו	analogy	1	3	מסיח 2	close	עמד
להבטיח	להבטיח	analogy	1	3	מסיח 2	close	בטח
עומד בעינו	עומד בעינו	analogy	1	3	מסיח 3	close	עמד
לשנות	לשנות	analogy	1	3	מסיח 3	close	שנת
עומד מנגד	עומד מנגד	analogy	1	3	מסיח 4	full	עמד מנגד
לעזור	לעזור	analogy	1	3	מסיח 4	close	לעז
התבקש	התבקש	analogy	1	4	רגל	close	בקש
ביקש	ביקש	analogy	1	4	רגל	close	בקש
התאהב	התאהב	analogy	1	4	מסיח 1	miss	
אהב	אהב	analogy	1	4	מסיח 1	miss	
התנער	התנער	analogy	1	4	מסיח 2	full	התנער
ניער	ניער	analogy	1	4	מסיח 2	close	נער
התארח	התארח	analogy	1	4	מסיח 3	close	ארח
אירח	אירח	analogy	1	4	מסיח 3	full	אורח
התלווה	התלווה	analogy	1	4	מסיח 4	close	התל
ליווה	ליווה	analogy	1	4	מסיח 4	miss	
ציפורן	ציפורן	analogy	1	5	רגל	close	צפר
ציפורניים	ציפורניים	analogy	1	5	רגל	close	צפר
כפל	כפל	analogy	1	5	מסיח 1	miss	
כפליים	כפליים	analogy	1	5	מסיח 1	close	פלמ
חוטם	חוטם	analogy	1	5	מסיח 2	full	חוטם
נחיריים	נחיריים	analogy	1	5	מסיח 2	full	ניחר
ברירה	ברירה	analogy	1	5	מסיח 3	miss	
חלופות	חלופות	analogy	1	5	מסיח 3	full	חולף
שער	שער	analogy	1	5	מסיח 4	miss	
שערות	שערות	analogy	1	5	מסיח 4	miss	
השניא	השניא	analogy	1	6	רגל	miss	
שונא	שונא	analogy	1	6	רגל	miss	
