w1224	לככלל	הטבה ותועלת נפוצים; השאר לא
w2102	כלכ	אירוסין ומעורבות נפוצים; התחייבות שונה
w2244	ללככ	איבר ועוגב; אורגן כפילות ולא נפוץ
w2073	ככ	שני תרגומים נפוצים לקישוט
w2013	ככ	שני מובנים אסם ורפת
w1506	ככ	שני ניסוחים נפוצים לתנאי
w1625	ככלל	להגביר ודחף עיקריים; השאר פחות
w1816	ככל	התקפה ומעליב; פוגעני כפילות
w2172	ככ	שני מובנים הזרקה והחדרה
w2333	לככ	נוטה צורה של לנטות; לטפל שונה
w1602	ככלל	קשר ואיגוד נפוצים; השאר צרים
w1317	ככ	שני מובנים בלעדי ויוקרתי
w1713	ככ	עידן ותקופה תרגומים מקבילים
w1593	ככל	לכוון ומטרה עיקריים; לשאוף משני
w1374	כל	מיד מדויק; תכף קרוב לא זהה
w2271	ככ	קודם ולפני שני שימושים נפוצים
w1953	ככ	מצער וביש מזל שני מובנים
w2061	כלכ	לקשר ולהתאים; לתאם תיאום שונה
w1454	ככ	פשיטה שם ולפשוט על פועל
w2115	ככ	שני תרגומים נפוצים לאבולוציוני
w1980	ככ	מדויק ונכון תרגומים נפוצים
w1513	לככ	סיבולת וכושר עמידה; עמידות חוזק שונה
w1545	כללללכ	להתייחס ולטפל ב; השאר משניים
w2213	ככללל	אנדרטה והנצחה נפוצים; השאר משניים
w1814	לכללכ	לצפות ולשמור עיקריים; השאר משניים
w1844	ככל	זכות יתר ופריבילגיה; השני איות כפול
w1617	כלכ	בס מוזיקה ודג בס; השני כפילות
w2311	ככללל	להישבר ולצלם עיקריים; השאר משניים
w1861	ככ	זיהוי והכרה שני מובנים נפוצים
w2088	לכ	מפתן הוא הנפוץ; ההרחבה כפילות
w1901	ככל	נוצץ ומבריק נפוצים; בוהק קיצוני
w2356	לככ	שגרתי וחריג מדויקים; מקובל שונה
w2267	ככ	עדיף ומועדף תרגומים נפוצים
w1780	ככ	לקטוע ולהפריע שני מובנים נפוצים
w1442	לכלללכ	מעולה ועיקרי נפוצים; השאר משניים
w1847	ככ	קידום ומבצע שני מובנים נפוצים
w2082	לככל	לחלוק על ולהיות שונה; השאר לא
w2331	ככ	לטאטא ולגרוף שני מובנים נפוצים
w1551	ככ	שני ניסוחים שכיחים ללא רשמי
w1765	לכ	תעשייה נפוץ; חריצות מובן נדיר
w1740	ללככ	קרן וכסף נפוצים; השאר צרים
w1906	ככלל	סקיצה ושרטוט נפוצים; השאר כפילות
w2336	ללככ	במשך ובכל רחבי מדויקים; השאר כלליים
w1552	ככ	לא מאורגן ומבולגן קרובים ונפוצים
w2332	ככ	מקדש ורקה שני מובנים נפוצים
w1369	ככ	אכן ובהחלט שני שימושים נפוצים
w1273	ככ	בורא דתי ויוצר כללי שניהם נפוצים
w2162	ככ	בקיצור ובמילה אחת שני ניסוחים
w1210	כל	זהה למועמד הראשון; רק מקף שונה
w1502	לככ	ראייה ומראה נפוצים; כוונת נשק צר
w1733	לככ	עקבות וטביעות רגל; היחיד כפילות
w1340	לככ	מזל ועושר נפוצים; הון פיננסי צר
w1375	ככ	כלי נגינה וכלי שני מובנים
w1226	כל	אותה מילה; רק ניקוד המקף שונה
w2337	כלכ	לפיכך ולכן נרדפים; כך ש שונה
w1776	ללככ	מכון ולייסד ישירים; השאר משניים
w1863	לכלכ	מקור והפניה נפוצים; השאר צרים
w2135	ככ	שני ניסוחים נרדפים לבר מזל
w1434	ככ	מתיחה שם ולמתוח פועל אותו מובן
w2357	ככל	מעוניין ומוכן נפוצים; ממאן פורמלי
