1: complicated, difficult, involved
2: cure, treat, prevent
3: dangerous, treacherous, steep
4: extinct+decipher, unknown+translate, forgotten+interpret
5: answer, solve, grasp
6: rain, snow, fog
7: abandon, revise, modify
8: desert, wasteland, wilderness
9: snowfall, landslide, flood
10: maintain, preserve, improve
11: safe, calm, secure
12: impose, introduce, enforce
13: afford, manage, complete
14: cells, space, room
15: resolve, settle, defuse
16: assignment, exercise, task
17: refuse, reject, defy
18: approve, grant, consider
19: reputation, brand, product
20: deserted+crowded, empty+busy, quiet+packed
21: reshape, advance, transform
22: flaw, defect, fault
23: verify+authenticity, authenticate+validity, confirm+accuracy
24: predictable, incoherent, absurd
25: replicate, reproduce, confirm
26: funds, money, loan
27: survive, weather, escape
28: sleep, breathe, move
29: hereditary, genetic, inherited
30: ecosystem, river, environment
31: support, sponsor, fund
32: assessment, judgment, estimate
33: implement, execute, achieve
34: integrity, credibility, motives
35: ceremony, ritual, custom
36: encourage+boost, stimulate+strengthen, promote+increase
37: break, betray, ignore
38: examine, analyze, inspect
39: thorough+flawed, convincing+wrong, plausible+unfounded
40: soil, harvest, climate
