w0126	ככל	מלא ושבע נפוצים; למלא שונה
w0127	ככ	עתיד ועתידי - שם ותואר
w0129	ככ	מתנה וכישרון שניהם נפוצים
w0131	ככ	ממשלה וממשל שניהם נפוצים
w0132	ככל	גדול ומעולה; נהדר כפילות
w0133	ככלל	אדמה וקרקע; בסיס ולבסס נדירים
w0139	כלל	רק קשה-יותר תופס השוואה
w0152	ככ	אדם ואנושי - שם ותואר
w0153	ככלל	בן-אדם ואנוש; השאר כפילות או נדיר
w0161	כלכ	ב- ובתוך; ב כפילות
w0162	ככל	מיד ועוד-רגע; בעוד-רגע כפילות
w0164	כלכ	מול ולפני נפוצים; בחזית נדיר
w0167	לככ	בפנים ובתוך; פנים מובן אחר
w0168	כל	לתוך נפוץ; אל-תוך נדיר
w0172	ככ	להתלוצץ ובדיחה - פועל ושם
w0173	ככ	לקפוץ וקפיצה - פועל ושם
w0176	ככל	ידע ולהכיר; לדעת כפילות של ידע
w0178	לככ	מאוחר ומנוח; לאחר פירושו אחר
w0179	ככ	מאוחר-יותר ואחר-כך נפוצים
w0180	ככ	לצחוק וצחוק - פועל ושם
w0182	ככל	שמאל ולעזוב; שמאלה נגזרת מיותרת
w0184	כלכ	שקר ולשכב; לשקר כפילות של שקר
w0185	ככל	אור וקל; להדליק מובן שלישי
w0186	כלכל	לאהוב וכמו; השניים האחרים שונים
w0187	לכללכ	לקשר וקישור מדויקים; השאר רחוקים
w0188	כלכ	רשימה ולרשום; להכין-רשימה מיותר
w0193	כלכ	עשה וליצור; לעשות כפילות של עשה
w0197	ככ	ישיבה ופגישה שניהם נפוצים
w0199	ככ	מסר והודעה שניהם נפוצים
w0200	לכ	אמצע נפוץ; אמצעי מובן שונה
w0202	ככ	לטעות וטעות - פועל ושם
w0203	כלכ	תערובת ולערבב; ערבוב מיותר
w0209	ככ	פה ושפך-נהר שניהם מוכרים
w0210	כלכ	מהלך ולזוז; לעבור רחוק יותר
w0211	לככל	צריך וחייב; הכרח וחובה שמות
w0212	ככ	קרוב וליד - תואר ומילת-יחס
w0213	כלכ	צורך וצריך; להזדקק פורמלי מדי
w0214	ככ	לעולם-לא ואף-פעם שניהם נפוצים
w0222	כל	מספר עיקרי; למנות פירושו לספור
w0226	כלכ	הצעה ולהציע; מבצע ספציפי מדי
w0227	כלכ	לעתים-קרובות ותכופות; איות כפול
w0229	לכלכל	פעם(בעבר) ופעם-אחת; השאר רחוקים
w0230	ככ	רק ויחיד - תואר-פועל ותואר
w0234	ככל	בחוץ ומחוץ-ל; חוץ אותה מילה
w0235	כלכלל	נגמר ומעל; השאר פחות מרכזיים
w0236	כללכ	משלו ולהחזיק; השאר מרוחקים יותר
w0237	כלכ	כאב ולכאוב; להכאיב גורם-ל שונה
w0238	ככ	חלק ולהיפרד - שם ופועל
w0239	כלללללכ	להעביר ולעבור; השאר כפילות או רחוק
w0240	לכלכ	עבר ושעבר; קודם וליד רחוקים
w0241	ככ	לשלם ושכר - פועל ושם
w0242	ככ	שלום ושקט שניהם נפוצים
w0243	ככ	אנשים ועם שניהם נפוצים
w0246	כל	אדם עיקרי; גוף מובן שונה
w0249	ככל	להניח ומקום; למקם מיותר
w0250	ככל	לתכנן ותכנית; תוכנית איות כפול
w0252	ככ	כוכב-לכת ופלנטה שניהם נפוצים
w0254	ככל	בריכה ומאגר; לאגד רחוק יותר
w0255	ככל	עני ומסכן; גרוע מובן שלישי
w0267	ככ	זריז ומהיר שניהם נפוצים
