# autumn_2024 · fmt=A · analogy=115 · completion=157
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
אכסניה	אכסניה	analogy	1	1	רגל	miss	
לן	לן	analogy	1	1	רגל	full	לן
הסתפר	הסתפר	analogy	1	1	מסיח 1	miss	
מרפאה	מרפאה	analogy	1	1	מסיח 2	close	פאה
חלה	חלה	analogy	1	1	מסיח 2	miss	
מסעדה	מסעדה	analogy	1	1	מסיח 3	close	סעד
בישל	בישל	analogy	1	1	מסיח 3	full	בשל
משתלה	משתלה	analogy	1	1	מסיח 4	miss	
שתל	שתל	analogy	1	1	מסיח 4	miss	
רשאי	רשאי	analogy	1	2	רגל	miss	
סיוע	סיוע	analogy	1	2	מסיח 1	miss	
מתקשה	מתקשה	analogy	1	2	מסיח 1	close	קשה
אזהרה	אזהרה	analogy	1	2	מסיח 2	close	זהר
זהיר	זהיר	analogy	1	2	מסיח 2	close	זהר
איסור	איסור	analogy	1	2	מסיח 3	miss	
מוענש	מוענש	analogy	1	2	מסיח 3	miss	
פקודה	פקודה	analogy	1	2	מסיח 4	close	פקד
מחויב	מחויב	analogy	1	2	מסיח 4	miss	
להב	להב	analogy	1	3	רגל	miss	
גרזן	גרזן	analogy	1	3	רגל	close	רזנ
פגיון	פגיון	analogy	1	3	מסיח 1	full	פגיון
חרב	חרב	analogy	1	3	מסיח 1	full	חרב
הדק	הדק	analogy	1	3	מסיח 2	full	דוק
אקדח	אקדח	analogy	1	3	מסיח 2	close	קדח
פקק	פקק	analogy	1	3	מסיח 3	miss	
בקבוק	בקבוק	analogy	1	3	מסיח 3	miss	
שערות	שערות	analogy	1	3	מסיח 4	miss	
מכחול	מכחול	analogy	1	3	מסיח 4	close	כחל
מפחיד	מפחיד	analogy	1	4	רגל	close	מפח
פחדן	פחדן	analogy	1	4	רגל	miss	
מוטל בספק	מוטל בספק	analogy	1	4	מסיח 1	close	ספק
ספקן	ספקן	analogy	1	4	מסיח 1	close	ספק
עשוי בקפידה	עשוי בקפידה	analogy	1	4	מסיח 2	close	קפד
דקדקן	דקדקן	analogy	1	4	מסיח 2	miss	
ראוי לשבח	ראוי לשבח	analogy	1	4	מסיח 3	miss	
גאוותן	גאוותן	analogy	1	4	מסיח 3	close	אתנ
משובב נפש	משובב נפש	analogy	1	4	מסיח 4	full	משובב נפש
נהנתן	נהנתן	analogy	1	4	מסיח 4	full	נהנתן
ללכוד	ללכוד	analogy	1	5	רגל	full	לכד
להיחלץ	להיחלץ	analogy	1	5	רגל	close	חלצ
לשבור	לשבור	analogy	1	5	מסיח 1	close	שבר
להתאחות	להתאחות	analogy	1	5	מסיח 1	close	אחת
לפגוע	לפגוע	analogy	1	5	מסיח 2	miss	
להתגונן	להתגונן	analogy	1	5	מסיח 2	miss	
לשכוח	לשכוח	analogy	1	5	מסיח 3	full	שכיח
להיזכר	להיזכר	analogy	1	5	מסיח 3	close	זכר
לבקש	לבקש	analogy	1	5	מסיח 4	close	בקש
להיענות	להיענות	analogy	1	5	מסיח 4	miss	
עיר רפאים	עיר רפאים	analogy	1	6	רגל	close	עיר
תושבים	תושבים	analogy	1	6	רגל	miss	
מרושש	מרושש	analogy	1	6	מסיח 1	close	רשש
נכסים	נכסים	analogy	1	6	מסיח 1	miss	
עקר	עקר	analogy	1	6	מסיח 2	full	עקר
צאצאים	צאצאים	analogy	1	6	מסיח 2	miss	
סגפן	סגפן	analogy	1	6	מסיח 3	full	סגפן
מותרות	מותרות	analogy	1	6	מסיח 3	miss	
יחף	יחף	analogy	1	6	מסיח 4	miss	
נעליים	נעליים	analogy	1	6	מסיח 4	close	עלמ
תריס	תריס	analogy	2	1	רגל	close	תרס
אור	אור	analogy	2	1	רגל	miss	
גפרור	גפרור	analogy	2	1	מסיח 1	miss	
אש	אש	analogy	2	1	מסיח 1	miss	
מאוורר	מאוורר	analogy	2	1	מסיח 2	close	ארר
אוויר	אוויר	analogy	2	1	מסיח 2	miss	
מזווה	מזווה	analogy	2	1	מסיח 3	full	מזווה
מזון	מזון	analogy	2	1	מסיח 3	miss	
סכר	סכר	analogy	2	1	מסיח 4	full	סכר
לסירוגין	לסירוגין	analogy	2	2	רגל	full	לסירוגין
רציפות	רציפות	analogy	2	2	רגל	miss	
במשורה	במשורה	analogy	2	2	מסיח 1	full	במשורה
על רגל אחת	על רגל אחת	analogy	2	2	מסיח 2	miss	
יסודיות	יסודיות	analogy	2	2	מסיח 2	miss	
על אפו ועל חמתו	על אפו ועל חמתו	analogy	2	2	מסיח 3	close	חמתו
התנגדות	התנגדות	analogy	2	2	מסיח 3	close	נגד
בשוויון נפש	בשוויון נפש	analogy	2	2	מסיח 4	close	בשנ
אדישות	אדישות	analogy	2	2	מסיח 4	miss	
מילא	מילא	analogy	2	3	רגל	close	מלא
התפקע	התפקע	analogy	2	3	רגל	close	פקע
הרס	הרס	analogy	2	3	מסיח 1	miss	
נחרב	נחרב	analogy	2	3	מסיח 1	close	חרב
אפה	אפה	analogy	2	3	מסיח 2	full	איפה
נשרף	נשרף	analogy	2	3	מסיח 2	close	נשר
איחר	איחר	analogy	2	3	מסיח 3	close	אחר
הוחמץ	הוחמץ	analogy	2	3	מסיח 3	full	החמיץ
הפיל	הפיל	analogy	2	3	מסיח 4	miss	
התנפץ	התנפץ	analogy	2	3	מסיח 4	close	נפצ
השיב פניו ריקם	השיב פניו ריקם	analogy	2	4	רגל	full	השיב פניו ריקם
ביקש	ביקש	analogy	2	4	רגל	close	בקש
המרה פיו	המרה פיו	analogy	2	4	מסיח 1	close	המרה
ציווה	ציווה	analogy	2	4	מסיח 1	full	ציה
עמד על דעתו	עמד על דעתו	analogy	2	4	מסיח 2	full	עמד על דעתו
שכנע	שכנע	analogy	2	4	מסיח 2	close	כנע
הקביל את פניו	הקביל את פניו	analogy	2	4	מסיח 3	full	הקביל את פניו
הזמין	הזמין	analogy	2	4	מסיח 3	close	הזמנ
ריפה את ידיו	ריפה את ידיו	analogy	2	4	מסיח 4	full	ריפה את ידיו
עודד	עודד	analogy	2	4	מסיח 4	miss	
שירון	שירון	analogy	2	5	רגל	miss	
שיר	שיר	analogy	2	5	רגל	full	שור
שאלון	שאלון	analogy	2	5	מסיח 1	miss	
פסלון	פסלון	analogy	2	5	מסיח 2	close	פסל
פסל	פסל	analogy	2	5	מסיח 2	close	פסל
פעוטון	פעוטון	analogy	2	5	מסיח 3	close	פעט
פעוט	פעוט	analogy	2	5	מסיח 3	full	פעוט
מקומון	מקומון	analogy	2	5	מסיח 4	miss	
מקום	מקום	analogy	2	5	מסיח 4	miss	
תרחיש	תרחיש	analogy	2	6	רגל	close	רחש
להתרחש	להתרחש	analogy	2	6	רגל	close	התר
מטלה	מטלה	analogy	2	6	מסיח 1	miss	
להתבצע	להתבצע	analogy	2	6	מסיח 1	close	בצע
תגלית	תגלית	analogy	2	6	מסיח 2	miss	
להתגלות	להתגלות	analogy	2	6	מסיח 2	miss	
הבטחה	הבטחה	analogy	2	6	מסיח 3	close	בטח
לקיים	לקיים	analogy	2	6	מסיח 3	miss	
מועמד	מועמד	analogy	2	6	מסיח 4	close	עמד
להיבחר	להיבחר	analogy	2	6	מסיח 4	miss	
איכותיות	איכותיות	completion	1	13	אפשרות 1	close	כתת
מסיבה	מסיבה	completion	1	13	אפשרות 1	miss	
מולקינג"	מולקינג"	completion	1	13	אפשרות 1	close	מלק
מתמקדת	מתמקדת	completion	1	13	אפשרות 1	miss	
כעת	כעת	completion	1	13	אפשרות 1	miss	
בשיפור	בשיפור	completion	1	13	אפשרות 1	close	שפר
העיצוב	העיצוב	completion	1	13	אפשרות 1	miss	
