w0392	רע	גרוע	-
w0618	משימה	שליחות	-
w1584	מקובל	-	-
w2345	מחוסר הכרה	לא מודע	-
w2994	רק	בסך הכל	-
w0006	לחלוטין	בהחלט	-
w2459	רצוי	מבוקש	-
w1904	משי	-	-
w0815	איזון	לאזן	יתרה
w2874	מצוקה	לצער	-
w2951	להטיל	להטריח	-
w2614	להשיג	-	-
w1060	כלא	בית סוהר	-
w1935	לבלוע	סנונית	-
w0951	נכד	-	-
w1691	יעד	-	-
w0546	לקפוא	להקפיא	-
w1785	עבודה	לידה	-
w3688	לחנוט	-	-
w1806	מוסרי	מוסר השכל	-
w0755	סיור	לסייר	-
w0187	קשר	קישור	לחבר
w2287	יוצא דופן	מדהים	-
w1306	אפי	אפוס	-
w1492	לבחור	נבחר	-
w2391	חפץ	ממצא	-
w0625	טבע	מהות	-
w0938	לדוגמה	למשל	-
w0680	רפלקס	-	-
w3246	עכשווי	בן זמננו	-
w3428	לתפוס	להבחין	-
w0734	סטריאוטיפ	-	-
w3629	בולט	-	-
w2651	טיהור	-	-
w2860	לבוז	לתעב	-
w2405	תעלה	-	-
w2339	שריד	לאתר	-
w1685	תואר	מעלה	מידה
w1435	טורף	-	-
w3459	קרבה	-	-
w1251	מאמן	לאמן	-
w1663	להכיל	לבלום	-
w2531	נוזל	נזיל	-
w3670	לפרק	-	-
w1396	מסה	המון	מיסה
w3129	להעיד	-	-
w0135	לגדול	-	-
w2458	צפוף	סמיך	טיפש
w1113	צל	לעקוב	-
w2067	צומת	-	-
w3510	אוניית קיטור	-	-
w1498	לשתף	חלק	מניה
w1726	הארכה	שלוחה	הרחבה
w0011	כמעט	-	-
w3561	להימנע	-	-
w0186	לאהוב	כמו	-
w1405	מצב	אופן	-
w3663	נטול	חסר	-
w1363	אשליה	-	-
w0184	לשקר	לשכב	שקר
w2952	לכלוא	כלוא	-
w1231	מבריק	גאוני	-
w1372	חרק	-	-
w2081	לקבוע	לברר	-
w3937	חולייתן	-	-
w1735	יסוד	קרן	-
w3041	עצומה	לעתור	-
w3704	להפעיל	להתאמץ	-
w2439	שיירה	-	-
w2238	להיפך	-	-
w0031	בגלל	-	-
w0916	חוץ מ	פרט ל	-
w3288	לצייר	למשוך	תיקו
w3868	להפוך	לעבד	-
w2831	לשמר	לחסוך	-
w2088	מפתן	-	-
w2157	מאייר	-	-
w1278	קישוטי	דקורטיבי	-
w0376	מה	-	-
w0788	עולמי	-	-
w3225	דו-קיום	-	-
w1626	מגף	לאתחל	תא מטען
w0219	אף	-	-
w3089	לאחזר	לשלוף	-
w3094	כפרי	-	-
w1451	די	לגמרי	-
w3206	חרוז	-	-
w1393	עיקרי	רב-סרן	התמחות
w1654	להשוות	-	-
w2693	סרגל	שליט	-
w3928	לעמוד בבסיס	-	-
w1475	יחסים	קשרים	-
w0533	חווה	משק	-
w0099	ניסיון	חוויה	לחוות
w3462	לכמת	-	-
w2527	ממצא	-	-
w0493	תרשים	-	-
w3939	להתחרות	-	-
w0340	שן	-	-
w2923	חן	חסד	-
w3099	רגש	דעה	-
w2600	יצירת מופת	-	-
w1918	פלדה	להתחשל	-
w1971	חיטה	-	-
w1789	חיים	משך חיים	-
w1741	להשיג	רווח	-
w2457	הכחשה	-	-
w3506	נהדר	מפואר	-
w1076	להרים	לגדל	העלאה
w0087	לשתות	משקה	-
w2786	אב קדמון	-	-
w1319	לחקור	-	-
w2681	להתפטר	משלים	-
w1959	יקר ערך	חשוב	-
w1861	הכרה	זיהוי	-
w3866	הישנות	להישנות	-
w3157	לארוג	-	-
w1533	לכן	-	-
w1511	להתפשט	למרוח	ממרח
w3080	תרופה	לתקן	-
w1166	באמת	-	-
w3430	משכנע	-	-
w1185	כנף	-	-
w0807	להגיע	-	-
w3084	חוסן	-	-
w3387	להתמהמה	להשתהות	-
w2509	ניכר	ברור	-
w3644	מעדן	עדינות	-
w3230	יחסית	-	-
w3017	קהה	-	-
w0430	להקה	רצועה	-
w1369	אכן	-	-
w3824	רוכל	-	-
w0559	זהוב	-	-
w3021	שבועה	-	-
w2262	לצחצח	ליטוש	-
w3066	מסילה	מעקה	-
w2471	גועל	להגעיל	-
w1240	מערה	-	-
w3249	להעביר	-	-
w3200	מלווה	דייל	-
w3566	לקשט	-	-
w1368	תקרית	אירוע	-
w3889	צפחה	לוח	-
w2820	ארון קבורה	-	-
w2852	להקדיש	-	-
w1930	מתאים	-	-
w2236	מוזר	אי-זוגי	-
w0899	במהלך	תוך כדי	-
w3176	להקצות	-	-
