מילה א	מילה ב	הפירוש המשותף	קולות	חוזק
road	way	דרך	3/3	חזק
via	road	דרך	3/3	חזק
than	from	מ-	3/3	חזק
special	distinctive	מיוחד	3/3	חזק
structure	build	מבנה לבנות	3/3	חזק
beard	elderly	זקן	3/3	חזק
spill	dump	לשפוך	3/3	חזק
threat	horrific	איום	3/3	חזק
beyond	aisle	מעבר	3/3	חזק
region	province	מחוז אזור	3/3	חזק
abundance	affluence	שפע	3/3	חזק
augment	expand	להרחיב	2/3	בינוני
augment	broaden	להרחיב	2/3	בינוני
widen	augment	להרחיב	2/3	בינוני
candidate	applicant	מועמד	2/3	בינוני
nominated	applicant	מועמד	2/3	בינוני
emigrate	immigrate	להגר	2/3	בינוני
iceberg	glacier	קרחון	2/3	בינוני
