k	term	cands
w0381	why	למה | מדוע
w0389	without	מבלי | ללא | בלי
w0390	wonderful	נפלא | נהדר
w0392	worse	רע | גרוע | גרוע יותר
w0393	writer	סופר | כותב
w0407	afraid	מפוחד | מפחד | חושש
w0416	along	לאורך | יחד עם
w0418	although	למרות ש | למרות ש-
w0419	architect	אדריכל | ארכיטקט
w0423	as soon as	ברגע ש- | כאשר | ברגע ש
w0424	as well as	וגם | כמו גם
w0425	asked for	לבקש | ביקש
w0428	authentic	אמיתי | מקורי | אותנטי
w0431	base	לבסס | בסיס
w0433	bath	אמבטיה | רחצה | להתרחץ
w0434	beach	חוף | חוף ים
w0439	begin/an/un	להתחיל | להתחיל / התחיל / התחיל
w0448	candy	ממתק | סוכריה
w0449	care	לחבב | לטפל | לדאוג | טיפול
w0450	case	מקרה | תיבה | טיעון | תיק
w0453	catch, caught	להידבק | לתפוס | תפס
w0454	cause	סיבה | לגרום | גורם | מטרה
w0458	cheat	לבגוד | רמאי | לרמות
w0459	chemical	כימי | חומר כימי | כימיקל
w0462	circle	להקיף בעיגול | להקיף | מעגל
w0466	comic	קומיקס | קומי | קומי (מהמילה קומדיה)
w0467	connect	לחבר | להתחבר
w0468	container	מיכל | קונטיינר | מכל
w0470	copy	להעתיק | עותק
w0472	country	מדינה | אזור | ארץ | כפר
w0473	couple	לחבר | לצמד | זוג
w0475	cousin	בן דוד | בן-דוד
w0477	crash	להתנגש | להתרסק | התנגשות | תאונה
w0479	criteria	קריטריונים | קריטריון | אמות מידה | אמת מידה
w0480	cross	לחצות | כועס | להצליב | צלב
w0481	crowd	המון | קהל | להצטופף
w0482	damage	להזיק | לגרום נזק | נזק
w0484	darkness	חושך | חשיכה
w0488	depression	שקע | מיתון | דיכאון
w0489	design	תכנית | דוגמה | לתכנן | לעצב | תרשים | עיצוב
w0494	dictator	רודן | דיקטטור | עריץ
w0497	direction	הכוונה | כיוון
w0502	drastic	קיצוני | דרסטי
w0504	earlier	מוקדם | קודם לכן
w0506	echo	להדהד | הד
w0507	ecological	סביבתי | אקולוגי
w0509	elastic	אלסטי | גומיה | גומייה | גמיש
w0515	enter	נכנס | להיכנס
w0516	episode	פרק | אירוע
w0517	error	שגיאה | טעות
w0520	even though	למרות ש- | למרות ש
w0523	excellent	נהדר | מצוין
w0531	fail	להיכשל | להכשיל
w0533	farm	חווה | משק
w0535	file	להגיש | תיק | קובץ
w0536	filter	מסנן | לסנן | פילטר
w0538	flow	לזרום | זרם | זרימה
w0539	flower	לפרוח | פרח
w0541	for	כי | מפני ש- | בשביל | עבור
w0545	found	גילה | מצא | לייסד | למצוא
