1: solve, crack, complete
2: withdraw, remove, retract
3: stop+withstand, halt+endure, block+resist
4: pay, settle, cover
5: escape, flee, stray
6: revoke, cancel, withdraw
7: conduct, transmit, transfer
8: compensate, reimburse, repay
9: ingredients, produce, foods
10: amend, revise, update
11: reject+approve, refuse+grant, deny+accept
12: illustrate, explain, clarify
13: gear, equipment, kit
14: saturated, dissolved, concentrated
15: dialect, region, origin
16: instability, erosion, vulnerability
17: diagnose, identify, detect
18: soak, rinse, steep
19: heed, acknowledge, act
20: accompany, complement, support
21: apply, register, enrol
22: assignment, essay, report
23: convene, summon, reconvene
24: emphasize+mention, highlight+note, stress+list
25: trickle, stream, flow
26: suspend, halt, postpone
27: sag, collapse, buckle
28: abandon, drop, withdraw
29: reject, dismiss, abandon
30: endurance, stamina, persistence
31: hibernate, sleep, burrow
32: elusive, mysterious, invisible
33: administer+decide, manage+determine, run+allocate
34: valid, current, active
35: cure, reverse, eradicate
36: negotiate+enact, agree+pass, settle+translate
37: decipher, read, decode
38: pronounce, articulate, distinguish
39: budget, allowance, funds
40: appeal, hearing, objection
41: bridge, crossing, span
42: melt+swell, thaw+rise, melt+overflow
43: mix, blend, dissolve
44: rewrite, overhaul, replace
45: uphold, affirm, confirm
46: legible, readable, visible
47: achieve, meet, attain
48: brittle, fragile, soft
49: summarize+define, state+explain, condense+clarify
50: withhold, delay, deny
51: undermine, shake, erode
52: discrepancy, difference, gap
53: confirm, acknowledge, verify
54: relieve, ease, reduce
55: delay, slow, hinder
56: purchase, buy, bargain
57: require+abide, oblige+stand, compel+comply
58: destroy, demolish, sweep
59: sink, capsize, founder
