id	תווית	הערה
Y01	כ	"בין" + מילה עודפת חסרת משמעות
Y02	כ	ו" תחילית · אותה מילה
Y03	כ	פסל→פס · השמטת אות. אינו מסביר משהו אחר
Y04	ל	זבל · רחוק מכל דבר
Y05	ל	זבל
Y06	ל	זבל
Y07	ל	זבל
Y08	ל	חיטטות · אין קשר
Y09	ל	אמנה · אין קשר
Y10	ל	"להקיף במסלול" · פירוש של מילה אחרת לגמרי
Y11	כ	לתאם→מתאם · נטייה, אותה לקסמה. כיוון gloss
Y12	ל	גוד · אין קשר
Y13	כ	בתנאי→בתנעי · א/ע
Y14	כ	זרוע→זרוא · א/ע
Y15	כ	התנגשות→התנגשנת · אינה מילה
Y16	כ	שכן→שמן · "שמן" מילה אמיתית, אבל אין מסלול שבו לומד חושב ש-neighbor הוא שמן
Y17	כ	ללתקשר · אות כפולה
Y18	כ	לזזרז · אות כפולה
Y19	ל	"של" · מילת יחס נפוצה, שתי אותיות. אינה נושאת מידע
Y20	כ	לקנא→לנא · אינה מילה
Y21	כ	לעיתים→לעיתם · השמטת יו"ד
Y22	כ	להשפיל→להפשיל · היפוך. "להפשיל" מילה אמיתית, אבל humble אינו להפשיל בשום מסלול
Y23	כ	להרוות→להורות · היפוך. אותו נימוק
Y24	כ	מבצר→במצר · היפוך. אינה מילה
Y25	ל	⭐ sake · מילה אנגלית אמיתית ואחרת
Y26	ל	⚠ אינה מילה — ובכל זאת ל, כי היא רחוקה מכל דבר
Y27	ל	⚠ אותו דבר · yhb רחוק מ-hot
Y28	ל	⚠ זבל רחוק
Y29	ל	⚠ זבל רחוק
Y30	ל	⚠ זבל רחוק
Y31	ל	⚠ זבל רחוק
Y32	ל	⭐ always · מילה אמיתית ואחרת
Y33	ל	⭐ rule · מילה אמיתית ואחרת
Y34	ל	⭐ hoot · מילה אמיתית ואחרת
Y35	כ	drastif · אינה מילה
Y36	כ	presenr · שכן מקלדת
Y37	כ	briddge · אות כפולה
Y38	כ	consquently · השמטת e
Y39	כ	usualli · אינה מילה
Y40	כ	on the conrtary · היפוך
