w2077	ככ	תואר ושם עצם, שניהם נפוצים
w1391	ככל	היגיון כתיב חלופי של הגיון
w1221	כל	חיידק יחיד, אותה מילה
w1825	ככל	לרפד פועל מאותו שורש
w1380	ככלללללל	בעיה וגיליון; השאר נרדפים
w1332	כלכ	לא אמיתי אינו תרגום
w2173	ככ	פציעה ופגיעה, שני מובנים
w2078	כל	חנות כלבו הרחבה של כלבו
w1295	לככ	לאור מובן צר, לא סיבתי
w2164	ככ	לטובת ובעד, שני מובנים
w1588	כלכ	הוספה צורת פעולה של תוספת
w2238	כללל	מובן יחיד; השאר נוסחים נרדפים
w1280	ככ	שתי מילים רווחות לחיה
w2363	ככ	לדמיין ולהמחיש, שני מובנים
w2155	ככ	שני תרגומים רווחים
w1882	ככל	להתחרות צורת פועל של מתחרה
w2127	ככל	לגבש נדיר יותר בהקשר
w1489	לכ	זרע יחיד; הערך ברבים
w2139	כלכ	הימר עבר של להמר
w1619	ככ	שתי מילות יחס רווחות
w2202	כלכ	מזוודה יחיד, אותה מילה
w1307	לכל	מגפה כתיב חלופי; אפידמיה נדיר
w1597	כלכ	לתאם מובן צר יותר
w1785	לללככ	לידה ועבודה; עמל ולעמול צורות
w2295	ככ	שם עצם ותואר, שני מובנים
w1948	כלכל	תפנית ופועל; סיבוך וסיבוב נדירים
w1900	ככ	מחסה ומקלט, שני מובנים
w2145	לכלכלל	גועלי וברוטו; השאר נדירים
w1862	לככ	לשחזר מובן צר בטכנולוגיה
w1943	ככלל	אל עבר וריאציה; אל כללי
w1560	כל	רכב גרעין אותה מילה
w2210	ככ	חייל וימי, שני מובנים
w1553	ככ	שני תרגומים רווחים
w1316	לככ	לרגש נדחק מפני השניים
w1612	ככל	מזוודה יחיד וחלקי
w1819	כלכלל	מסלול ולהקיף כפולים; לחוג נדיר
w1659	לככ	קשר מובן משפטי צר
w2084	כלל	אי נוחות כתיב; מבוכה אחר
w1494	כל	בטחון-עצמי כתיב חלופי
w1696	כלכ	רחוק צורה קרובה למרוחק
w2317	כלכ	מרשים נדחק מפני השניים
w2027	כללכ	נועז ומודגש; חצוף נדיר
w1897	ללככ	ישיבה ומפגש; השאר נרדפים
w1679	כלכ	לעקם פועל נדיר
w1282	ככ	הסתמכות ותלות, שני מובנים
w1479	ככ	שם עצם ופועל
w1408	לככ	לעודד מובן סמוך ולא זהה
w2189	כלללללכ	רק וצודק; השאר נרדפים או נדירים
w1520	ככל	פני שטח נרדף למשטח
w1315	ככ	שני תרגומים רווחים
w2031	ככ	שם עצם ופועל
w1333	לככ	במאי תפקיד אחר, לא יוצר
w2216	ככ	הגירה ונדידה, שני מובנים
w1331	ככל	חיבה מובן נדיר יותר
w1865	ככ	רישום והרשמה, שני מובנים
w1286	כלכ	מימד כתיב חלופי
w2010	כל	אותה צורה בלי מקף
w2154	כלל	מצחיק ומשעשע חלשים מדי
w1222	ככ	להתחנן ולקבץ, שני מובנים
w1320	ככ	תואר ושם עצם
