1: gear, equipment, packs
2: repeat, pronounce, articulate
3: pay, settle, cover
4: amend, revise, update
5: ratify, validate, endorse
6: determine, establish, pinpoint
7: shatter, smash, break
8: budget, allowance, limit
9: damage, harm, deterioration
10: compensate, reimburse, indemnify
11: enhance, sharpen, improve
12: cancel, call off, abandon
13: delay, hinder, impede
14: explain+grasp, present+master, convey+absorb
15: solve, crack, complete
16: echo, reverberation, ring
17: discrepancy, difference, gap
18: abandon, drop, concede
19: thrive, flourish, survive
20: reject, dismiss, scrap
21: recite, recall, list
22: destroy, demolish, obliterate
23: habit, compulsion, quirk
24: achieve, meet, attain
25: suspend, halt, postpone
26: match+differ, coincide+diverge, agree+disagree
27: ignore, disregard, defy
28: obstacle, barrier, impediment
29: hibernate, overwinter, burrow
30: incentive, motivation, reason
31: relieve, ease, alleviate
32: illustrate, explain, clarify
33: yield+harvest, produce+gather, bear+reap
34: postpone, delay, push back
