מילה	יחידה בישן	מקור ההוכחה	רפרנס	הערה
אִלוּלֵא	1	נחלת הכלל / CC0 (לפי ספריא)	Penei Moshe on Jerusalem Talmud Beitzah 2:7:3:3 (Piotrków, 1898-1900 [he])	⚠ רפרנס זה אינו נמצא ב-sefaria-licenses.json — לא ניתן לאמת מהעץ מהו רישיון ברירת המחדל שספריא מחזירה לו. תיקון קודם (28.8) מתעד PD לרפרנס זה דרך available_versions — לא אומת מחדש כאן
אֲלוּמָּת אוֹר	1	לפי מילה · CC0 / נחלת הכלל	אלומת=L204933 · אור=L1397308	אלומת: ויקינתונים · צורה (CC0) · אור: ויקינתונים · למה (CC0)
אֶקְרָן	1	ויקינתונים (CC0)	L205350	אקרן
בִּיּוּת	1	ויקינתונים (CC0)	L76267	ביות
גְּזִיר	1	ויקינתונים (CC0)	L206149	גזיר
דָּגָה	1	ויקינתונים (CC0)	L64632	דגה
דִּידַקְטִי	1	ויקינתונים (CC0)	L206582	דידקטי
הִטְמִיעַ	1	ויקינתונים (CC0)	L207694	הטמיע
הִסְלִים	1	ויקינתונים (CC0)	L208329	הסלים
הִתְכַּתֵּשׁ	1	ויקינתונים (CC0)	L209671	התכתש
הִתְנַבֵּא	1	ויקינתונים (CC0)	L209795	התנבא
יְקִיצָה	1	ויקינתונים (CC0)	L78311	יקיצה
כְּסָיָה	1	ויקינתונים (CC0)	L212161	כסיה
לֵאוּת	1	ויקינתונים (CC0)	L212261	לאות
לַהֲגָן	1	נחלת הכלל / CC0 (לפי ספריא)	Sheyarei Korban on Jerusalem Talmud Nazir 7:3:4:3	
מִצְנֶפֶת	1	ויקינתונים (CC0)	L213717	מצנפת
מְתַאֲבֵן	1	ויקינתונים (CC0)	L79654	מתאבן
נָהִיר	1	ויקינתונים (CC0)	L214201	נהיר
נִיחָא	1	ויקינתונים (CC0)	L492187	ניחא
נִכּוּשׁ	1	ויקינתונים (CC0)	L214533	ניכוש
נִפְעָם	1	ויקינתונים (CC0)	L214871	נפעם
פָּלָה	1	ויקינתונים (CC0)	L216876	פלה
קְרִיסָה	1	ויקינתונים (CC0)	L218509	קריסה
קְרִישָׁה	1	ויקינתונים (CC0)	L218522	קרישה
הִתְיַלֵּד	1	ויקינתונים (CC0)	L209592	התיילד
עִרְטֵל	1	ויקינתונים (CC0)	L216317	ערטל
מִקְטוֹרֶן	1	ויקינתונים (CC0)	L213751	מקטורן
מְזֻכָּךְ	1	⚠ דרוש מקור	Talmud Eser HaSefirot, Section IV, Histaklut Penimit 1:4 (Jerusalem, 1956-1966 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1966 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Jerusalem, 1956-1966 · הטענה הקודמת: נחלת הכלל / CC0 (לפי ספריא) / Talmud Eser HaSefirot, Section IV, Histaklut Penimit 1:4 (Jerusalem, 1956-1966 [he])
מֵרֵט אֶת עֲצַבָּיו	1	לפי מילה · CC0 / נחלת הכלל	מרט=L213832 · עצביו=L80570	מרט: ויקינתונים · למה (CC0) · עצביו: ויקינתונים · צורה (CC0)
אַשְׁפָּה	2	ויקינתונים (CC0)	L64140	אשפה
בַּר-מִינָן	2	נחלת הכלל / CC0 (לפי ספריא)	Shenei Luchot HaBerit, Torah Shebikhtav, Yitro, Torah Ohr 53	
בָּרַר	2	ויקינתונים (CC0)	L491567	ברר
גַּפַּיִם	2	נחלת הכלל / CC0 (לפי ספריא)	Yefeh To'ar on Vayikra Rabbah 6:6:6 (Midrash Rabbah, Vilna, 1878 [he])	
הִדִּיר שֵׁינָה מֵעֵינָיו	2	לפי מילה · CC0 / נחלת הכלל	הדיר=L206979 · שינה=L219556 · מעיניו=Hagahot HaBach on Rif Megillah 15a:7 (Vilna Edition [he])	הדיר: ויקינתונים · למה (CC0) · שינה: ויקינתונים · למה (CC0) · מעיניו: ספריא · נחלת הכלל
הִזְדַּכְּכוּת	2	ויקינתונים (CC0)	L207534	הזדככות
הִתְמַקֵּחַ	2	ויקינתונים (CC0)	L209773	התמקח
הִתְקַהֵל	2	ויקינתונים (CC0)	L210103	התקהל
חַמְשִׁיר	2	ויקינתונים (CC0)	L211019	חמשיר
יֵשׁ בְּלִבּוֹ עָלָיו	2	נחלת הכלל / CC0 (לפי ספריא)	Biur Halacha 433:8:1 (Biur Halacha [he])	שאילתה: יש בלבו עליו
מִרְקָם	2	ויקינתונים (CC0)	L66553	מרקם
נֵתַח	2	ויקינתונים (CC0)	L66906	נתח
סָכַר אֶת פִּיו	2	נחלת הכלל / CC0 (לפי ספריא)	Midrash Tehillim 7:17 (OYW [he])	שאילתה: סכר את פיו
עָסִיסִי	2	ויקינתונים (CC0)	L216218	עסיסי
פָּדָה	2	ויקינתונים (CC0)	L216409	פדה
פּוּמִית	2	ויקינתונים (CC0)	L216506	פומית
קוּבְלָנָה	2	ויקינתונים (CC0)	L217824	קובלנה
שִׁיסּוּי	2	ויקינתונים (CC0)	L219568	שיסוי
תְּלוּלִית	2	ויקינתונים (CC0)	L220245	תלולית
אוּמְדָן	3	ויקינתונים (CC0)	L204491	אומדן
אָחוּז אֵימָה	3	ויקיטקסט · נחלת הכלל (טקסט מקורי)	יוליוס קיסר (ביאליק)/מערכה ראשונה/מחזה שני	שאילתה: אחוז אימה
אָפַס	3	ויקינתונים (CC0)	L491559	אפס
בֵּית מֶרְחָץ	3	ויקינתונים (CC0)	L76313	בית מרחץ
בְּרִיּוֹת	3	נחלת הכלל / CC0 (לפי ספריא)	Rif Nedarim 26a:1	
הִלְאִים	3	ויקינתונים (CC0)	L491613	הלאים
הֵפֵר	3	ויקינתונים (CC0)	L208567	הפר
הִשִּׂיא עֵצָה	3	נחלת הכלל / CC0 (לפי ספריא)	Matnot Kehunah on Bamidbar Rabbah 13:15:5	
הִשְׁתַּעְבֵּד	3	ויקינתונים (CC0)	L209160	השתעבד
הִתְאַבֵּק בַּעֲפַר רַגְלָיו	3	ספריא · נחלת הכלל	Rashi on Bereshit Rabbah 93:1:4 (Midrash Rabbah, Vilna, 1878 [he])	הצירוף במלואו · Midrash Rabbah, Vilna, 1878
הִתְלַקֵּחַ	3	ויקינתונים (CC0)	L209707	התלקח
הִתְרַבְרֵב	3	ויקינתונים (CC0)	L210172	התרברב
זִכּוּך	3	ויקינתונים (CC0)	L210423	זיכוך
חֲפִיר	3	ויקינתונים (CC0)	L65337	חפיר
טֶרָסָה	3	ויקינתונים (CC0)	L78201	טרסה
יְלוּדָה	3	ויקיטקסט · נחלת הכלל (טקסט מקורי)	אין פשרות רק תורה/דברים	שאילתה: ילודה
כָּלִיל	3	ויקינתונים (CC0)	L212129	כליל
מַגְבִּית	3	ויקינתונים (CC0)	L212600	מגבית
מֵחוּשִׁים	3	נחלת הכלל / CC0 (לפי ספריא)	Tov haLevanon, First Treatise on Unity 10:100	
עַל רֶגֶל אַחַת	3	⚠ דרוש מקור	Sermons Unto My People, Chanuka, Purim, and Special Shabbatot 18:74	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה לא נקובה ליצירה שכל מהדורותיה בטבלה מ-1929 ואילך · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Derashot El Ami, Jerusalem 1936 · הטענה הקודמת: נחלת הכלל / CC0 (לפי ספריא) / Sermons Unto My People, Chanuka, Purim, and Special Shabbatot 18:74
פּוֹרֶה	3	ויקינתונים (CC0)	L216560	פורה
פְּתַלְתְּל	3	ויקינתונים (CC0)	L217410	פתלתל
קִידָּה	3	ויקינתונים (CC0)	L218119	קידה
קְלִישָאַה / קְלִישָה	3	ויקינתונים (CC0)	L218280	קלישאה
קָמִין	3	ויקינתונים (CC0)	L218324	קמין
קְשֵׁה לֵב	3	נחלת הכלל / CC0 (לפי ספריא)	Nimukei Yosef on Bava Metzia 35a:15	
שַׁבְרִיר	3	ויקינתונים (CC0)	L219218	שבריר
שִׁכְתּוּב	3	ויקינתונים (CC0)	L219659	שכתוב
שָׁלַח יָד בְּנַפְשׁוֹ	3	נחלת הכלל / CC0 (לפי ספריא)	The War of the Jews 1:24:8 (The Jewish Wars, trans. Y.N. Simhoni, Warsaw, 1923 [he])	שאילתה: בנפשו שלח
שָׁפָל	3	כתב־יד לנינגרד — נחלת הכלל	Psalms 138:6	הצורה בטקסט: «כִּי־רָם יְהוָה וְשָׁפָל יִרְאֶה וְגָבֹהַּ מִ» · הוחלף שם הנוסח: מהדורת ספריא הדיגיטלית שצוטטה קודם נמצאה רישיון שיתוף-זהה בבדיקת מקבילות · ⚠ הוחלפה הפניה שגויה L219805
תַּסְמִין	3	ויקינתונים (CC0)	L220313	תסמין
אִיכּוּל	4	ויקינתונים (CC0)	L204750	איכול
אֵימְתָנִי	4	ויקינתונים (CC0)	L491812	אימתני
גֵּאוּת	4	ויקינתונים (CC0)	L76533	גאות
הוּעַם	4	ויקינתונים (CC0)	L207310	הועם
הֲלָצָה	4	ויקינתונים (CC0)	L208191	הלצה
הִתְוַדֵּעַ	4	ויקינתונים (CC0)	L209457	התוודע
זָעוּם	4	ויקינתונים (CC0)	L210494	זעום
חַלּוּק נַחַל	4	לפי מילה · CC0 / נחלת הכלל	חלוק=L210933 · נחל=L214380	חלוק: ויקינתונים · למה (CC0) · נחל: ויקינתונים · למה (CC0)
חֲתִימַת שָׂפָם	4	ויקיטקסט · נחלת הכלל (טקסט מקורי)	פרוזה (ביאליק)/ספיח	שאילתה: חתימת שפם
כִּחְכּוּחַ	4	ויקינתונים (CC0)	L212032	כחכוח
כִּיסוּפִים	4	ויקינתונים (CC0)	L65754	כיסופים
מְאוּבָּן	4	נחלת הכלל / CC0 (לפי ספריא)	Responsa Chatam Sofer, Even HaEzer 2:118:19 (Pressburg, 1855-1864 [he])	
מַחְצָב	4	ויקינתונים (CC0)	L78985	מחצב
מַחְצָבָה	4	ויקינתונים (CC0)	L213057	מחצבה
מְטִיל	4	ויקינתונים (CC0)	L79022	מטיל
מַטָף	4	נחלת הכלל / CC0 (לפי ספריא)	Korban Netanel on Taanit 26:7 (Vilna Edition [he])	
מִיכֵּן	4	ויקינתונים (CC0)	L213158	מיכן
מְכוּנָף	4	ויקינתונים (CC0)	L213300	מכונף
מַכּוֹת נֶאֱמָנוֹת / נִמְרָצוֹת	4	ויקינתונים (CC0)	L214722	נמרצות · ⚠ הלקסמה מוכיחה את המילה «נמרצות» בלבד — לא את הצירוף «מכות נאמנות / נמרצות» כניב. לא אותר רפרנס לניב במלואו — לא מוכח
מָשַׁח	4	ויקינתונים (CC0)	L213915	משח
נִיחוֹח	4	ויקינתונים (CC0)	L79815	ניחוח
נִשְׂגָב מִבִּינָתוֹ	4	לפי מילה · CC0 / נחלת הכלל	נשגב=L215043 · מבינתו=Pat Lechem, Tenth Treatise on Devotion to God, Introduction 16 (Chovat Halevavot, Warsaw 1875 [he])	נשגב: ויקינתונים · למה (CC0) · מבינתו: ספריא · נחלת הכלל
סָבַב אוֹתוֹ בְּכַחַשׁ	4	נחלת הכלל / CC0 (לפי ספריא)	The War of the Jews 1:26:2 (The Jewish Wars, trans. Y.N. Simhoni, Warsaw, 1923 [he])	שאילתה: אותו בכחש
סִיכָה	4	ויקינתונים (CC0)	L67007	סיכה
עִמְעוּם	4	ויקינתונים (CC0)	L216191	עמעום
פִּדְיוֹן	4	ויקינתונים (CC0)	L67360	פדיון
פִּכְפּוּך	4	ויקינתונים (CC0)	L216863	פכפוך
פְּתִית	4	ויקינתונים (CC0)	L217408	פתית
צִיטָטָה	4	ויקינתונים (CC0)	L217557	ציטטה
קְלִיָּה	4	ויקינתונים (CC0)	L81653	קלייה
שְׂדֵרָה	4	ויקינתונים (CC0)	L68238	שדרה
שָׁפַךְ לִבּוֹ	4	נחלת הכלל / CC0 (לפי ספריא)	Chayei Moharan 239:1 (OYW [he])	שאילתה: שפך לבו
תֵּל	4	ויקינתונים (CC0)	L68653	תל
תַּסְכִּית	4	ויקינתונים (CC0)	L68690	תסכית
תְּשׁוּקָה	4	ויקינתונים (CC0)	L68764	תשוקה
אוּרְבָּנִי	5	ויקינתונים (CC0)	L204572	אורבני
אַיֵּה?	5	⚠ דרוש מקור	Sermons Unto My People, The Three Festivals 18:41 (Derashot El Ami, Jerusalem 1936 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1936 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Derashot El Ami, Jerusalem 1936 · הטענה הקודמת: נחלת הכלל / CC0 (לפי ספריא) / Sermons Unto My People, The Three Festivals 18:41 (Derashot El Ami, Jerusalem 1936 [he])
אֲלוּנְטִית	5	ויקינתונים (CC0)	L75448	אלונטית
אִלְפָּס	5	ויקינתונים (CC0)	L75483	אלפס
בֶּדֶק בַּיִת	5	נחלת הכלל (מקרא עתיק) — תרגום האנגלית שלנו, לא ממקור מוגן	מלכים ב יב, ו · «בֶּדֶק הַבַּיִת» (גם פס' ח, יג; מלכים ב כב, ה; דברי הימים ב לד, י)	הוחלף בהוראת חגי (29.8.2026): המקור הקודם ציטט תרגום אנגלי מסחרי (1989) לפירוש רב הירש על ויקרא כז, שרישיונו מוטל בספק. הצירוף מוכח מהמקרא (נחלת הכלל); התרגום 'house repair / overhaul' הוא תרגום שלנו
בָּזִיךְ	5	ויקינתונים (CC0)	L76210	בזיך
בִּזֵּר	5	ויקינתונים (CC0)	L205738	ביזר
בָּחַשׁ בַּקַּלַּחַת	5	לפי מילה · CC0 / נחלת הכלל	בחש=L205680 · בקלחת=Machberet Menachem, Letter Kof 22:2 (Mahberet Menahem, London, 1854. [he])	בחש: ויקינתונים · למה (CC0) · בקלחת: ספריא · נחלת הכלל
בֵּית גְּנָזִים	5	נחלת הכלל / CC0 (לפי ספריא)	A Dictionary of the Talmud, אַרְכִיוֹן	
בֵּית עֲבוֹט	5	ויקינתונים (CC0)	L64275	בית עבוט
בֶּן-דְּמוּתוֹ	5	ויקיטקסט · נחלת הכלל (טקסט מקורי)	האינקוויזיטור הגדול	שאילתה: בן-דמותו
גֶזֶם	5	ויקינתונים (CC0)	L206157	גזם
גֶּפֶת	5	ויקינתונים (CC0)	L76745	גפת
דִּנְדֵּן	5	נחלת הכלל / CC0 (לפי ספריא)	Machatzit HaShekel on Orach Chayim 301:17:2 (Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893, Vol 1 [he])	
הֶאֱבִיס	5	ויקינתונים (CC0)	L206796	האביס
הֶאֱנִישׁ	5	ויקינתונים (CC0)	L206822	האניש
הֲלָנַת שָׂכָר	5	ויקינתונים (CC0)	L77351	הלנת שכר
הִפְרִיט	5	ויקינתונים (CC0)	L208575	הפריט
הַרְרֵי זָהָב	5	ויקיטקסט · נחלת הכלל (טקסט מקורי)	תולדות ההתישבות בעולם/ההתישבות בראשית ימי הרכושנות/ח	שאילתה: הררי זהב
הִתַּמֵּם	5	ויקינתונים (CC0)	L208086	היתמם
חָלַט	5	ויקינתונים (CC0)	L210940	חלט
