blink	הילדה הקטנה מצמצה בעיניה כמה פעמים.
bloom	עצי הדובדבן פורחים בפרחים ורודים יפים בכל אביב.
brainwash	החברה ניסתה לשטוף את המוח של עובדים חדשים כדי שיעבדו שעות נוספות ללא תשלום בלי להתלונן.
broaden	קריאת ספרים רבים ושונים באמת עזרה להרחיב את נקודות המבט שלו על העולם.
canal	התעלה מחברת בין שני נהרות גדולים בשפלה.
careless	הוא עשה טעות רשלנית ושפך קפה על כל המחשב הנייד החדש שלו.
caution	סרט זהירות צהוב הזהיר מפני הרצפה הרטובה המסוכנת.
certify	המפקח יאשר שהבניין בטוח.
circuit	הרצים השלימו שלושה הקפים מלאים של מסלול המרוץ.
clarify	תוכל להבהיר למה התכוונת בזה?
classify	מדענים מסווגים בזהירות בעלי חיים לפי מאפיינים פיזיים והתנהגותיים.
cloak	האביר לבש גלימה אדומה מעל השריון שלו.
coastline	קו החוף הסלעי השתרע לאורך קילומטרים רבים לאורך הים.
coincidence	זה היה צירוף מקרים טהור שנפגשנו שוב.
collaborate	שני האמנים החליטו לשתף פעולה בפרויקט.
collision	ההתנגשות בין המכוניות הייתה רועשת מאוד.
combine	צריך לשלב את הקמח והסוכר בקערת ערבוב גדולה.
commentary	הפרשנות הספורטיבית הסבירה כל מהלך לפרטי פרטים.
commerce	המסחר הבינלאומי מביא סחורות מכל רחבי העולם.
comparison	ההשוואה בין שני המחירים הייתה משמעותית למדי.
compensate	החברה תפצה אותך על הנזקים.
complication	סיבוך בלתי צפוי התעורר במהלך הניתוח אתמול.
compost	אנחנו שומרים את כל שאריות הירקות שלנו לקומפוסט של הגינה.
comprehension	הבנת הקריאה שלה השתפרה משמעותית בזכות תרגול יומיומי קבוע.
compress	צריך לדחוס את הקבצים לפני השליחה.
conclude	השופט יסיים את המשפט מחר בבוקר.
confront	היא החליטה להתעמת איתו בנוגע להתנהגותו.
confrontation	העימות בין שתי הקבוצות הפך למכוער.
conquer	היא הייתה נחושה לכבוש את הפחד שלה מדיבור מול קהל השנה.
conscious	היא נשארה מודעת וערנית לאורך כל הפרוצדורה הרפואית.
consequence	התוצאה העיקרית של הזיהום היא נזק סביבתי.
consideration	לקחנו את דעתו בשיקול דעת קפדני לפני קבלת ההחלטה.
consistent	הביצועים שלו היו עקביים לאורך כל העונה.
consistently	הוא הגיע באיחור בעקביות לכל פגישה.
consume	רוב האנשים צורכים כמויות עצומות של מים מדי יום.
consumers	הצרכנים דורשים מוצרים באיכות טובה יותר תמורת כספם.
continuous	החברה מספקת תמיכה מתמשכת ללקוחותיה.
contribute	כולם צריכים לתרום רעיונות לפרויקט הקבוצתי.
convoy	השיירה הצבאית נסעה במדבר בבטחה.
cope	היא למדה להתמודד עם לחץ עם הזמן.
cord	הוא קשר את החוט בחוזקה סביב החבילה.
cornerstone	עבודה קשה ומסירות הן אבני הפינה של כל קריירה מוצלחת.
costly	הטעות הזו התבררה כיקרה מאוד.
county	יריד המחוז מתקיים כאן בכל קיץ.
courageous	הכבאים האמיצים חילצו אנשים מהבניין הבוער.
craftsmen	האומנים בנו את הרהיטים במיומנות רבה.
crop	הגנן החליט לקצץ את הצמחים הגבוהים.
currency	שער החליפין של המטבע השתנה משמעותית שוב הבוקר בבנק.
custom	זהו מנהג מקומי לברך שכנים במתנה קטנה.
dagger	האספן הציג בגאווה פגיון עתיק במוזיאון הפרטי שלו.
dairy	מוצרי המחלבה בחנות הזו טריים מאוד.
decade	הטכנולוגיה השתנתה באופן דרמטי במהלך העשור האחרון.
declaration	המנהל קרא הצהרה רשמית שהכריזה על מדיניות הבטיחות החדשה של החברה.
definite	קווי הגבול היו ברורים ומסומנים היטב.
deform	החום הקיצוני יעוות בהדרגה את מיכל הפלסטיק.
demonstrate	הרופא ידגים את הטכניקה הנכונה במהלך מפגש ההדרכה.
denial	ההכחשה שלה של העובדות הברורות הייתה מפתיעה למדי.
dense	היער הצפוף חסם את רוב האור.
desirable	הנכס הזה נחשק מאוד בשוק.
desperation	מתוך ייאוש מוחלט, הוא מכר את המכונית שלו רק כדי לשלם את שכר הדירה.
devastated	הבניין כולו נהרס לחלוטין מהפיצוץ.
diabetes	היא מנהלת את הסוכרת שלה באמצעות תרופות ותזונה.
diagnose	הרופא יאבחן את מצבך במהלך התור.
dialect	הניב המקומי משתמש במילים שונות לגמרי לירקות נפוצים.
dictate	הבוס יכתיב מי יקבל את הקידום.
differentiate	היא הייתה צריכה להבדיל בין שני העיצובים.
dim	התאורה העמומה הקשתה על הקריאה.
disapproving	המבט הלא מאשר שלה הראה שהיא לא מסכימה.
disciplined	המאמן יעניש שחקנים שמפרים את הכללים.
discrimination	אפליה נגד כל קבוצה היא שגויה ובלתי חוקית.
disgust	הזבל המרקיב מילא את כולם בגועל מיידי.
disobey	ילדים צעירים לעיתים קרובות לא מצייתים להוריהם בכוונה.
disorder	החדר היה באי-סדר מוחלט אחרי המסיבה.
disrupt	רעש חזק ובלתי צפוי עלול לשבש את כל הפגישה.
distinction	ההבחנה בין שני הרעיונות משמעותית.
distinguish	אתה יכול להבחין בין שני הצבעים הדומים מאוד האלה?
distract	הפנס הבהיר הסיח את דעתו מהמשימה שלו.
distribute	המתנדבים יפיצו שמיכות לחסרי הבית.
distribution	הפצת המשאבים הייתה הוגנת ומאוזנת.
disturbance	ההפרעה בכיתה נמשכה שעות.
