w3823	מרעה	אחו	-
w2993	ביניימי	-	-
w0879	משלוח	לידה	מסירה
w3583	להעריך	לשום	-
w3317	להכיר	להתוודע	-
w0813	פרס	להעניק	-
w1066	פרויקט	לחזות	-
w0522	דוגמה	-	-
w0354	גם	מדי	-
w3617	להסכים	-	-
w0954	אולם	מסדרון	-
w0726	זרע	-	-
w0407	מפוחד	חושש	-
w1781	להמציא	לבדות	-
w2791	הערכה	תודה	-
w1913	ערימה	לערום	-
w3438	חזק	עוצמתי	-
w2084	אי נוחות	מבוכה	-
w2553	עוזרת בית	משרתת	-
w0344	ש	ההוא	-
w0605	דואר	לשלוח	-
w1763	לעלות	עלייה	-
w2229	למנות	-	-
w2949	השלכה	משמעות	-
w0156	גלידה	-	-
w3004	לח	רטוב	-
w3274	לתאר	להציג	-
w2840	להרשיע	אסיר	-
w2362	צופה	-	-
w2488	לצבוע	צבע	-
w3391	בקתה	להתאכסן	-
w1711	קנאה	לקנא	-
w3043	תופעה	-	-
w0898	לזרוק	מזבלה	-
w1689	להכחיש	לשלול	-
w0360	להבין	-	-
w0786	זאב	-	-
w2891	קו המשווה	-	-
w2172	להזריק	להחדיר	-
w2828	כיבוש	-	-
w3231	לאלץ	לכפות	-
w1248	לטעון	טענה	-
w2625	להגזים	-	-
w3938	תוסס	עז	-
w2249	כף יד	דקל	-
w1669	כותנה	-	-
w0513	אויב	-	-
w0935	לטוס	לעוף	-
w2073	לקשט	לעטר	-
w0943	חברות	-	-
w0429	רקע	-	-
w1446	כראוי	כהלכה	-
w0921	להתקיים	-	-
w3893	לדאות	לזנק	-
w2426	להסיק	לסיים	-
w2128	עממי	אנשים	-
w3799	להלאים	-	-
w1518	נושא	נתין	מקצוע
w2134	מבצר	-	-
w1856	גולמי	נא	-
w0766	דוד	-	-
w3831	סביר	אמין	-
w0151	עצום	ענק	-
w1599	מלאכותי	-	-
w2164	בעד	-	-
w2408	לאשר	להסמיך	-
w0213	להזדקק	צורך	-
w2623	לאסור	פורע חוק	-
w1674	כתר	להכתיר	-
w2463	לאבחן	-	-
w2131	נשכח	-	-
w1929	להצליח	לרשת	-
w2124	פגום	לקוי	-
w0600	מקומי	-	-
w0848	מעיל	לצפות	-
w1035	סבלנות	-	-
w1510	כתם	מקום	להבחין
w3504	טווח	להשתרע	-
w0329	סטודיו	-	-
w3167	רכישה	-	-
w0557	עולמי	גלובלי	-
w1864	אזור	-	-
w2729	חשד	-	-
w3166	רגיל	מורגל	-
w2574	לבטח	-	-
w2288	לחדש	-	-
w0336	מתוק	חמוד	-
w2618	עבריין	-	-
w3347	ענווה	-	-
w0094	גם אם	-	-
w3059	להניע	-	-
w0640	דעה	-	-
w1418	חפץ	להתנגד	מטרה
w2396	להסמיך	לאשר	-
w1514	הצהרה	הודעה	-
w1799	רוב	-	-
w2963	תושב	-	-
w0552	גן	-	-
w3790	משמעותית	באופן ניכר	-
w3232	רגוע	מורכב	-
w3521	לעלות על	לעקוף	-
w1346	לייצר	ליצור	-
w1822	מצוין	בולט	פתוח
w3551	סיטונאי	גורף	-
w1017	תנועה	-	-
w0060	מועדון	אלה	-
w3830	נפוץ	רווח	-
w0942	מסגרת	להפליל	-
w3311	בהפרזה	מדי	-
w2927	צער	אבל	-
w3325	לשגשג	-	-
w3658	לגרוע	-	-
w0747	סמל	-	-
w0630	ניטרלי	אדיש	-
w2696	נוף	-	-
w2443	יקר	-	-
w1089	לתקן	תיקון	-
w0563	שומר	לשמור	-
w3914	נוכל	רמאי	-
w0944	תפקיד	לתפקד	פונקציה
w3161	לחטוף	-	-
w0168	לתוך	-	-
w2990	משחק	גפרור	להתאים
w1873	תושב	-	-
w2862	נחוש	לקבוע	-
w1285	למרות	-	-
w3777	עמום	חסר ברק	-
w2815	ודאות	-	-
w1083	להמליץ	-	-
w1039	לפי	לכל	-
w3065	שאלה	שאילתה	-
w0940	לסלוח	-	-
w2337	לכן	לפיכך	-
w0418	למרות ש	-	-
w3451	להכריז	-	-
w1130	ריבוע	כיכר	-
w0194	לוודא	-	-
w1712	באופן שווה	-	-
w1657	בטוח בעצמו	בטוח	-
w1985	להתקדם	התקדמות	מקדמה
w1313	להתפתח	-	-
w0161	ב	-	-
w1376	ביטוח	-	-
w1678	וילון	-	-
w3570	עושר	שפע	-
w3237	לגנות	נידון	-
w2404	להרחיב	-	-
w0228	על	-	-
w1155	לשון	שפה	-
w1855	לעתים רחוקות	-	-
