מילה	סיווג	הסיבה	מה מכסה אותה	יחידה בישן	פירוש	סיווג מכני	חפיפה %	הקרוב בחדש
אִלוּלֵא	שווה	מילת תנאי ספרותית ("אם לא/לולא") שאינה מכוסה; "אפוא" הקרוב הוא ניגוד — מילת מסקנה, לא תנאי.		1	אם לא, אלמלא, לולי, לולא	אולי	25	אפוא
אֲלוּמָּת אוֹר	שווה	צירוף לדימוי "קרן אור מרוכזת", אטום יחסית ולא מכוסה על ידי "דמדומים".		1	קרן אור	שווה	50	דמדומים
אֶקְרָן	שווה	מילה נרדפת גבוהה יותר ל"מסך" (אקרן קולנוע) שאינה מכוסה כלל — "מסך" הקרוב הוא הומוגרף שונה לגמרי (למהול משקה).		1	מסך, מִרְקע	אולי	50	מסך
בִּיּוּת	שווה	מונח מדויק (אילוף בעל חיים או הכוונת נשק) שאינו שכיח מדי ואינו מכוסה כלל על ידי "תכלית".		1	אילוף, הפיכת דבר פראי לביתי; הנחיית פצצה או טיל אל עבר מטרה	אולי	11	תכלית
גְּזִיר	שווה	"גזיר עיתון" הוא שימוש נפוץ למילה זו, שאינו זהה ל"טלאי" (המיועד לתיקון בגד).		1	חתיכה שנגזרה ממשהו	אולי	33	טלאי
דָּגָה	שווה	שם קיבוצי ייחודי (מול "דג" היחיד), אינו מכוסה כלל על ידי "מוניטין".		1	שם כולל לכל הדגים למיניהם	שווה	20	מוניטין
דִּידַקְטִי	שווה	תואר לועזי מדויק ("שקשור בהוראה"), לא מכוסה ולא שכיח מדי.		1	שקשור בתחום תורת ההוראה (דידקטיקה - תורת ההוראה)	שווה	14	בקיאות
הִטְמִיעַ	שווה	פועל מדויק (הפנמה או מיזוג), לא מכוסה — "גדש" הקרוב הוא התאמת מילים מקרית בלבד.		1	הפנים ידע עד שנעשה חלק ממנו; מיזג דבר בתוך אחר עד שנבלע	שווה	20	גדש
הִסְלִים	שווה	פועל מדויק (הידרדרות והחרפה), לא מכוסה על ידי "התנוון".		1	החריף, הקצין, הידרדר	שווה	33	התנון
הִתְכַּתֵּשׁ	שווה	פועל לעימות או קטטה, גם בהקשר מטפורי ("התכתשות פוליטית"), לא מכוסה.		1	נאבק	שווה	0	
