w2260	עלילה	מגרש	לזמם
w2066	ביקורת	לבקר	-
w0606	עיקרי	ראשי	-
w1993	אדישות	-	-
w0701	מדען	-	-
w2442	אבן פינה	יסוד	-
w1506	כל עוד	ובלבד ש	-
w0304	יחיד	בודד	רווק
w3239	להחרים	-	-
w2169	לציין	להצביע על	-
w3392	באופן רופף	בערך	-
w3207	מקור	-	-
w2310	קל	זעיר	להעליב
w2264	עוני	-	-
w2434	בעקביות	באופן קבוע	-
w0748	סירופ	-	-
w2141	אמיתי	כן	-
w3673	זלזול	השמצה	-
w3920	אצבעון	-	-
w0616	מתכת	-	-
w3651	לדלדל	לרוקן	-
w2584	מלאי	רשימת מלאי	-
w3780	לשבח	להלל	-
w1028	גרעיני	-	-
w2155	מזעזע	איום	-
w2105	להבטיח	לוודא	-
w0576	כולל	-	-
w0460	לבחור	-	-
w0317	דרום	-	-
w1644	קסם	להקסים	קמיע
w3812	אודה	שיר שבח	-
w1545	לטפל ב	להתייחס אל	פינוק
w1068	מחאה	למחות	-
w0720	למכור	-	-
w1104	להפחיד	בהלה	-
w0100	להסביר	-	-
w2715	לעקוב אחרי	גבעול	-
w0470	עותק	להעתיק	-
w2520	נכחד	-	-
w2818	אזרחי	מנומס	-
w1693	לגלות	לאתר	-
w1348	ז'אנר	סוגה	-
w1544	תחבורה	-	-
w2751	להשתמש ב	לנצל	-
w3929	בלתי נסלח	-	-
w3159	נפוץ	רחב היקף	-
w3141	שתן	-	-
w2500	התלהבות	-	-
w3269	להידרדר	מנוון	-
w2876	מגוון	-	-
w1331	טובה	להעדיף	חיבה
w2668	להשיב	לשחזר	-
w2195	ארוך	ממושך	-
w3851	אביזר	לתמוך	-
w1115	ספינה	לשלוח	-
w0474	קופון	-	-
w2212	ראש עיר	-	-
w1469	מיחזור	-	-
w0760	טרגי	-	-
w3009	הדדית	-	-
w2893	להגזים	-	-
w0843	לעודד	קריאת עידוד	-
w2722	פסגה	ועידת פסגה	-
w3511	מתח	לאמץ	זן
w0779	להצביע	הצבעה	-
w1011	להזכיר	אזכור	-
w2972	אי	-	-
w0864	תוכן	מרוצה	-
w0141	לשמוע	-	-
w3677	התנגדות	לחלוק דעה	-
w3390	זבל	לזרוק זבל	המלטה
w1859	מרד	-	-
w3126	מבויית	לאלף	-
w3499	חומרה	-	-
w0153	בן אדם	יצור אנושי	-
w2252	פסיבי	סביל	-
w2082	להיות שונה	לחלוק על	-
w0110	מעט	מועט	-
w0985	במקום	-	-
w1608	חתימה	-	-
w3435	לתאר	לגלם	-
w1152	לזרוק	-	-
w2864	אי שביעות רצון	-	-
w1312	ראיה	הוכחה	-
w3941	ייעוד	מקצוע	-
w0646	בעלים	-	-
w1120	פשוט	בפשטות	-
w0260	מדפסת	-	-
w0876	יומי	מדי יום	-
w0584	מסע	-	-
w2807	בקצרה	לזמן קצר	-
w3075	לתרגל	לערוך חזרה	-
w2275	מתקדם	פרוגרסיבי	-
w3573	להתייסר	להתלבט	-
w3585	לבטא	רהוט	לנסח
w0608	זכר	-	-
w1764	סימן	רמז	-
w0270	סיבה	היגיון	לנמק
w3060	נבואה	-	-
w3223	נסיבה	-	-
w0919	התרגשות	-	-
w1792	לאתר	למקם	-
w3565	דבק	דביק	-
w3845	תירוץ	תואנה	-
w1923	פס	דרגה	-
w1339	רשמי	פורמלי	-
w2258	בור	גלעין	-
w2039	חימר	חרסית	-
w3606	לחפוף	להתאים	-
w2143	בהינתן ש	מאחר ש	-
w2685	לחזור	-	-
w0130	זכוכית	כוס	-
w2566	לא עקבי	סותר	-
w1002	גבול	להגביל	-
w3464	להצדיק	לייעל	-
w2514	תערוכה	-	-
w0669	מחיר	-	-
w3537	חינוך	גידול	-
w3906	פגוע	מוכה	-
w0123	חבר	-	-
w0790	אזור	תחום	-
w1833	בית מרקחת	רוקחות	-
w2394	נכס	יתרון	-
w3376	לסקרן	קנוניה	-
w1404	טיל	-	-
w3054	לדקור	דקירה	-
w3534	לחשוף	לגלות	-
w3286	ניתוח	נתיחה	-
w2792	בקירוב	בערך	-
w2122	תהילה	פרסום	-
w1315	לבחון	לבדוק	-
w0241	לשלם	שכר	-
w0269	גשם	לרדת גשם	-
w1771	ראשוני	התחלתי	-
w1180	להזהיר	-	-
w2734	להטות	הטיה	-
w1612	מטען	כבודה	-
w0234	בחוץ	מחוץ ל	-
w2111	לצייד	-	-
w1845	לייצר	תוצרת	להפיק
w0519	אתני	-	-
w3287	להסיט	להטות	-
w0216	הבא	-	-
w3071	מעודן	מזוקק	-
w0988	להציג	להכניס	-
w2930	בית גידול	סביבת מחיה	-
w0784	בזמן ש	בעוד ש	-
w0857	תחרות	-	-
w3224	להתקיים יחד	לדור בכפיפה אחת	-
w1816	פוגעני	התקפה	-
