q	level	n	words	blanks
1	בסיס	base#1	solve	1
2	מתקדם	v2#3	withdraw	1
3	מתקדם	adv4#13	halt|withstand	2
4	בסיס	base#6	pay	1
5	בסיס	base2#7	escape	1
6	אקדמי	aca2#2	revoke	1
7	מתקדם	adv3#5	conduct	1
8	מתקדם	adv#6	compensate	1
9	בינוני	mid3#11	ingredients	1
10	אקדמי	aca#1	amend	1
11	מתקדם	adv2#10	refuse|grant	2
12	מתקדם	adv#3	illustrate	1
13	בינוני	mid#8	equipment	1
14	אקדמי	aca3#9	saturated	1
15	מתקדם	adv5#13	dialect	1
16	מתקדם	adv3#3	erosion	1
17	מתקדם	adv3#1	diagnose	1
18	בינוני	mid3#9	boil	1
19	אקדמי	aca5#10	heed	1
20	מתקדם	adv5#3	accompany	1
21	בינוני	mid2#8	apply	1
22	בינוני	mid4#3	assignment	1
23	אקדמי	aca2#4	convene	1
24	מתקדם	adv5#12	emphasize|mention	2
25	בינוני	mid3#12	stream	1
26	מתקדם	adv#1	suspend	1
27	מתקדם	adv4#2	collapse	1
28	אקדמי	aca#7	concede	1
29	בינוני	mid#2	reject	1
30	בינוני	mid4#8	stamina	1
31	מתקדם	adv#5	hibernate	1
32	אקדמי	aca3#13	elusive	1
33	אקדמי	aca2#13	administer|specify	2
34	בינוני	mid2#2	valid	1
35	מתקדם	v2#5	cure	1
36	אקדמי	aca2#12	negotiate|enact	2
37	אקדמי	aca4#1	decipher	1
38	אקדמי	aca4#4	articulate	1
39	בינוני	mid#3	budget	1
40	מתקדם	adv2#1	appeal	1
41	בסיס	base3#4	bridge	1
42	מתקדם	adv3#10	melt|rise	2
43	בסיס	base2#3	mix	1
44	אקדמי	aca2#1	overhaul	1
45	אקדמי	aca2#6	uphold	1
46	אקדמי	aca4#3	legible	1
47	בינוני	mid#4	achieve	1
48	מתקדם	adv3#9	fragile	1
49	מתקדם	adv5#6	formulate|clarify	2
50	אקדמי	aca2#8	withhold	1
51	אקדמי	aca3#1	undermine	1
52	אקדמי	aca#6	discrepancy	1
53	מתקדם	adv2#13	acknowledge	1
54	אקדמי	aca#5	alleviate	1
55	אקדמי	aca#2	hinder	1
56	בינוני	mid2#9	purchase	1
57	אקדמי	aca5#9	oblige|abide	2
58	בסיס	base#2	destroy	1
59	בינוני	mid3#6	sink	1
