k	term	gloss	blind	missing
w0005	about	ליד, בערך; אודות	על | בערך	1:על
w0009	against	כנגד, ממול	נגד	1:נגד
w0015	and	ו-	ו	1:ו
w0026	at	אצל, ב-	ב	1:ב
w0029	attack	לתקוף, מתקפה	התקפה | לתקוף	1:התקפה
w0035	best	הכי טוב	טוב	1:טוב
w0036	better	טוב יותר	טוב | לשפר	1:טוב | 2:לשפר
w0042	bought	קנה	לקנות	1:לקנות
w0048	by	ליד, בסמוך ל-; עד, לא יאוחר מ-; באמצעות, על-ידי	על ידי | ליד	1:על ידי
w0056	children	ילדים	ילד	1:ילד
w0057	church	כנסיה	כנסייה	1:כנסייה
w0065	contact	ליצור קשר, מגע	קשר | ליצור קשר | איש קשר	1:קשר | 3:איש קשר
w0068	cool	לצנן, צונן	קריר | מגניב | קר רוח	1:קריר | 2:מגניב | 3:קר רוח
w0081	different from	שונה מ-	שונה מ	1:שונה מ
w0084	done	גמור, עשוי	לעשות | גמור | מוכן	1:לעשות | 3:מוכן
w0115	first of all	ראשית	קודם כל	1:קודם כל
w0117	fly	זבוב; לעוף	לטוס | זבוב | לעוף	1:לטוס
w0124	from	מ-	מ | מן	1:מ | 2:מן
w0131	government	ממשל	ממשלה	1:ממשלה
w0132	great	גדול, מעולה	נהדר | גדול	1:נהדר
w0133	ground	בסיס, אדמה	קרקע | לבסס	1:קרקע | 2:לבסס
w0139	harder	קשה יותר	קשה | בחוזקה	1:קשה | 2:בחוזקה
w0153	human being	בן-אדם, אנוש	בן אדם | יצור אנושי	1:בן אדם | 2:יצור אנושי
w0161	in	ב-, בתוך	ב	1:ב
w0162	in a moment	בעוד רגע	עוד רגע | מיד	1:עוד רגע | 2:מיד
w0164	in front of	בחזית של, מול	לפני | מול	1:לפני
w0167	inside	בתוך, פנים	בפנים | פנים	1:בפנים
w0168	into	אל תוך	לתוך	1:לתוך
w0179	later	מאוחר יותר	אחר כך	1:אחר כך
w0182	left	שמאלה	שמאל | לעזוב	1:שמאל | 2:לעזוב
w0186	like	כמו; לחבב, להעדיף	לאהוב | כמו	1:לאהוב
w0187	link	קישור, לקשר, חוליה	קשר | קישור | לחבר	1:קשר | 3:לחבר
w0193	made	עשה	לעשות | ליצור	1:לעשות | 2:ליצור
w0213	need	צריך, צורך	להזדקק | צורך	1:להזדקק
w0214	never	אף פעם	לעולם לא	1:לעולם לא
w0227	often	לעיתים קרובות	לעתים קרובות | תכופות	1:לעתים קרובות | 2:תכופות
w0236	own	משלו; בעלות על משהו	עצמי | להחזיק	1:עצמי | 2:להחזיק
w0250	plan	תכנית; לתכנן	תוכנית | לתכנן	1:תוכנית
w0267	quick	זריז	מהיר | זריז	1:מהיר
w0272	relationship	מערכת יחסים	קשר	1:קשר
w0274	report	דיווח, לדווח	דוח | לדווח	1:דוח
