# spring_2025 · fmt=A · analogy=107 · completion=167
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
בית ספר	בית ספר	analogy	1	1	רגל	close	ספר
השכלה	השכלה	analogy	1	1	רגל	close	שכל
חדר הלבשה	חדר הלבשה	analogy	1	1	מסיח 1	miss	
בגדים	בגדים	analogy	1	1	מסיח 1	close	גדמ
חדר ישיבות	חדר ישיבות	analogy	1	1	מסיח 2	close	ישב
ישיבה	ישיבה	analogy	1	1	מסיח 2	close	ישב
חדר אוכל	חדר אוכל	analogy	1	1	מסיח 3	close	אכל
רעב	רעב	analogy	1	1	מסיח 3	miss	
חדר כושר	חדר כושר	analogy	1	1	מסיח 4	close	כושר
כושר	כושר	analogy	1	1	מסיח 4	full	כישור
צמח	צמח	analogy	1	2	רגל	miss	
לימון	לימון	analogy	1	2	מסיח 1	miss	
פרי	פרי	analogy	1	2	מסיח 1	close	פרי
זחל	זחל	analogy	1	2	מסיח 2	miss	
פרפר	פרפר	analogy	1	2	מסיח 2	miss	
נחל	נחל	analogy	1	2	מסיח 3	full	נחל
זנב	זנב	analogy	1	2	מסיח 4	miss	
חיה	חיה	analogy	1	2	מסיח 4	miss	
לשאול	לשאול	analogy	1	3	רגל	miss	
לשכור	לשכור	analogy	1	3	רגל	miss	
לבקש	לבקש	analogy	1	3	מסיח 1	close	בקש
לדרוש	לדרוש	analogy	1	3	מסיח 1	miss	
לקחת	לקחת	analogy	1	3	מסיח 2	close	לקח
לגנוב	לגנוב	analogy	1	3	מסיח 2	miss	
לשלם	לשלם	analogy	1	3	מסיח 3	miss	
לגבות	לגבות	analogy	1	3	מסיח 3	full	גוב
לתת	לתת	analogy	1	3	מסיח 4	miss	
למכור	למכור	analogy	1	3	מסיח 4	miss	
סליחה	סליחה	analogy	1	4	רגל	miss	
התנצלות	התנצלות	analogy	1	4	רגל	miss	
מתמיה	מתמיה	analogy	1	5	רגל	close	תמה
תמיהה	תמיהה	analogy	1	5	רגל	close	תמה
מתיש	מתיש	analogy	1	5	מסיח 1	miss	
תשישות	תשישות	analogy	1	5	מסיח 1	full	תשש
מועיל	מועיל	analogy	1	5	מסיח 2	full	מעל
תועלת	תועלת	analogy	1	5	מסיח 2	miss	
מצחין	מצחין	analogy	1	5	מסיח 3	close	צחנ
צחנה	צחנה	analogy	1	5	מסיח 3	full	צחנה
מדויק	מדויק	analogy	1	5	מסיח 4	miss	
דייקנות	דייקנות	analogy	1	5	מסיח 4	full	דיוקן
העלה מתהום הנשייה	העלה מתהום הנשייה	analogy	1	6	רגל	close	העלה
שכוח	שכוח	analogy	1	6	רגל	full	שכיח
חנן	חנן	analogy	1	6	מסיח 1	close	חננ
אסור	אסור	analogy	1	6	מסיח 1	miss	
ספן	ספן	analogy	1	6	מסיח 2	full	ספן
חבוי	חבוי	analogy	1	6	מסיח 2	miss	
פקפק	פקפק	analogy	1	6	מסיח 3	full	פקפק
מאמין	מאמין	analogy	1	6	מסיח 3	close	אמנ
הכניע	הכניע	analogy	1	6	מסיח 4	full	כנוע
מנוצח	מנוצח	analogy	1	6	מסיח 4	close	נצח
ירד מנכסיו	ירד מנכסיו	analogy	2	1	רגל	close	ירד
רכוש	רכוש	analogy	2	1	רגל	miss	
נגזר דינו	נגזר דינו	analogy	2	1	מסיח 1	close	גזר
דין	דין	analogy	2	1	מסיח 1	miss	
בא אל קיצו	בא אל קיצו	analogy	2	1	מסיח 2	full	בא אל קיצו
קץ	קץ	analogy	2	1	מסיח 2	full	קץ
תש כוחו	תש כוחו	analogy	2	1	מסיח 3	full	תש כוחו
כוח	כוח	analogy	2	1	מסיח 3	miss	
כבש את יצרו	כבש את יצרו	analogy	2	1	מסיח 4	full	כבש את יצרו
יצר	יצר	analogy	2	1	מסיח 4	miss	
אדריכל	אדריכל	analogy	2	2	רגל	close	רכל
דייר	דייר	analogy	2	2	רגל	full	דיר
מלצר	מלצר	analogy	2	2	מסיח 1	close	מלצ
סועד	סועד	analogy	2	2	מסיח 1	full	סועד
מנצח	מנצח	analogy	2	2	מסיח 2	close	נצח
נגן	נגן	analogy	2	2	מסיח 2	miss	
