1	הִתְוַדָּה	אחרי שנים של שתיקה הוא התוודה בפני אחיו על הטעות שהסתיר מכולם	After years of silence, he finally confessed to his brother the mistake he had hidden
2	חֲבַרְבּוּרָה	על פרוות הצבי בלטה חברבורה בהירה שהבדילה אותו משאר העדר	The fawn's coat had a pale spot that made it easy to recognize among the herd
3	כּוֹרֵם	הכורם עבר בין שורות הגפנים ובדק אם הענבים בשלים לבציר	The vinegrower walked between the rows of vines, checking whether the grapes were ripe for harvest
4	עָמַד מִלֶּכֶת	השעון הישן עמד מלכת, ומחוגיו מראים את אותה שעה כבר שנים	The old clock stopped working years ago, its hands frozen at the same hour
5	אֶבֶן מַשְׁחֶזֶת	הטבח העביר את להב הסכין על אבן משחזת עד שחזר להיות חד	The chef ran the dull blade across a whetstone until its edge was sharp again
6	אַכְסַנְיָה	בסוף יום ההליכה מצאו המטיילים אכסניה נעימה ולנו בה עד הבוקר	After a long day of hiking, the travelers found an inn and slept there overnight
7	אָסִיף	עם תום הקיץ החל האסיף, והחקלאים העבירו את היבול מהשדות אל המחסנים	At summer's end the farmers gathered the ripe crops from the fields into their barns
8	אִצְטַבָּה	היא סידרה את צנצנות התבלינים על אצטבה שמעל הכיור במטבח	She arranged the spice jars neatly on a shelf above the kitchen sink
9	בְּלֵית בְּרֵרָה	האוטובוס האחרון כבר יצא, ובלית ברירה חזרנו הביתה ברגל בגשם	The last bus had gone, so having no other choice, we walked home in the rain
10	בַּלְשָׁנוּת	היא חוקרת בלשנות באוניברסיטה ומשווה בין מבנה העברית למבנה שפות אחרות	She studies linguistics at the university, comparing how different languages build their grammar
11	בְּנָקֵל	אחרי חודשי אימון הוא פתר בנקל תרגילים שבעבר נראו לו בלתי אפשריים	After months of practice, he could easily solve problems that once seemed impossible to him
12	בֵּרֵא	האיכרים בראו את החורש ופינו את הגזעים כדי להכשיר שדה חדש	The settlers cleared the woodland, felling trees and removing stumps to make room for fields
13	בְּשִׁוְיוֹן נֶפֶשׁ	הוא קיבל את הביקורת הקשה בשוויון נפש, בלי להרים גבה	She heard the harsh criticism with complete indifference, not even raising an eyebrow
14	גַּבְשׁוּשִׁי	נסענו לאט בשביל עפר גבשושי, והמכונית קפצה על כל בליטה	The road was so bumpy that the car bounced over every ridge and lump
15	גַּת	הבוצרים שפכו את הענבים אל הגת ודרכו אותם ברגליהם להפקת יין	The pickers poured the grapes into the winepress and trod them to make wine
16	דַּקְדְּקָן	העורך הדקדקן בדק כל פסיק וכל רווח לפני שאישר את הפרסום	The meticulous editor checked every comma and space before approving the article for print
17	הִגִּיעַ לְפִרְקוֹ	הבן הגיע לפרקו, והוריו החלו לחפש לו כלה מתאימה	When their son came of age to marry, his parents began seeking a suitable bride
18	הִכְפִּישׁ	הוא הכפיש את שמו של המתחרה בכתבות שקריות שפרסם בעיתון	He smeared his rival's reputation by spreading false stories in the newspaper
19	הִלְבִּין אֶת פָּנָיו	המורה הלבין את פניו של התלמיד כשלעג לטעותו מול כל הכיתה	The teacher humiliated the student publicly, mocking his mistake in front of the whole class
20	הֵסִית	הוא הסית את חבריו להשחית את הגדר, אך הם סירבו להצטרף	He incited his friends to wreck the fence, urging them on until they refused
21	הֶעֱלָה מִתְּהוֹם הַנְּשִׁיָּה	המחקר החדש העלה מתהום הנשייה משורר שנשכח כליל במשך מאה שנה	The new biography rescued from oblivion a poet whom readers had forgotten for a century
22	הֶרֶף עַיִן	בהרף עין חטף החתול את הדג מהשולחן ונעלם מתחת לספה	In the blink of an eye, the cat snatched the fish and vanished
23	הַשָּׂגָה	הרעיון המתמטי המורכב היה מעבר להשגה שלו, וגם אחרי הסבר לא הבין	The abstract proof was beyond his grasp, and even careful explanations left him confused
24	הִתְעַרְטֵל	לפני הבדיקה הרפואית התבקש המטופל להתערטל ולהניח את בגדיו על הכיסא	Before the medical exam, the patient was asked to undress and set his clothes aside
25	זָרָה חוֹל בְּעֵינָיו	המוכר זרה חול בעיניו של הקונה כשהציג את הרכב הישן כחדש	The salesman pulled the wool over the buyer's eyes, presenting the battered car as new
26	חָזַר לְסוּרוֹ	אחרי חודשיים בלי סיגריות הוא חזר לסורו והחל לעשן שוב	After two months without cigarettes, he fell back into his old habit and lit up again
27	חָצִיר	החקלאי קצר את החציר וערם אותו בערמות כמזון לפרות בחורף	The farmer cut the hay and stacked it in bales to feed the cows in winter
28	חֵרֵף אֶת נַפְשׁוֹ	הכבאי חרף את נפשו כשנכנס אל הבניין הבוער לחלץ את הילדה	The firefighter risked his life, entering the burning building to carry the child out
29	חָשַׁק אֶת שִׁנָּיו	למרות העלבון הוא חשק את שיניו והמשיך בישיבה כאילו דבר לא קרה	Though the insult stung, he gritted his teeth and let the meeting continue calmly
30	יָדוֹ לֹא הָיְתָה מַשֶּׂגֶת	הוא רצה לקנות דירה בעיר, אך ידו לא הייתה משגת ולכן שכר חדר קטן	He dreamed of buying an apartment, but he simply could not afford the price
31	יִשֵּׁר אֶת הַהֲדוּרִים	הדוד יישר את ההדורים בין שני האחים, והם שבו לדבר זה עם זה	A mutual friend smoothed things over between the feuding partners, and they finally reconciled
32	לֹא הָיְתָה לוֹ יָד בַּדָּבָר	כולם חשדו בשומר, אך התברר שלא הייתה לו יד בדבר	Everyone suspected the guard, but it turned out he had no part in the affair
33	לוּלְיָנִי	עשן עלה מהארובה במסלול לוליני, מתפתל סביב עצמו אל השמיים	The staircase wound upward in a spiral, coiling around the tower's central column
34	לְרוֹעֵץ	הביטחון העצמי המופרז היה לו לרועץ, והוא נכשל דווקא בשאלות הקלות	His overconfidence proved to be his undoing, costing him the easiest questions on the exam
35	מִגְדַּל קְלָפִים	התוכנית העסקית התבררה כמגדל קלפים, וברגע שהמשקיע פרש הכול קרס	The whole scheme was a house of cards that collapsed the moment one investor withdrew
36	מַלְקוֹשׁ	האיכרים שמחו על המלקוש שירד בסוף החורף והשקה את השדות לפני הקציר	The farmers welcomed the late rain at winter's end that soaked the fields before harvest
37	מַפְלִיא מַכּוֹתָיו	העדים סיפרו שראו את התוקף מפליא מכותיו באיש עד שהוזעקה עזרה	Witnesses said the attacker was raining heavy blows on the man until help arrived
38	מְקֻרְזָל	לתינוק היה שיער מקורזל, מלא תלתלים קטנים שהתפתלו לכל עבר	The baby's tightly curled hair sprang back into little ringlets after every combing
39	נָבוּל	הפרח שנשכח באגרטל בלי מים נראה נבול, ועלי הכותרת שלו צנחו	The forgotten flower stood wilted in the dry vase, its petals drooping limply
40	נִשְׁבַּר מַטֵּה לַחְמוֹ	כשנסגר המפעל נשבר מטה לחמו של הנגר, והוא נאלץ לחפש פרנסה אחרת	When the factory closed, he lost his only source of income and had to start over
41	עוֹמֵד בְּעֵינוֹ	למרות השמועות על ביטולו, ההסכם עומד בעינו וכל סעיפיו עדיין תקפים	Despite rumors of cancellation, the agreement still stands, and every clause remains in force
42	עַל אַפּוֹ וְעַל חֲמָתוֹ	ההחלטה התקבלה על אפו ועל חמתו של המנהל, שהתנגד לה בכל תוקף	The committee approved the plan over his strenuous objections, ignoring every argument he raised
43	עָנֹג	הנער הענג, שגדל בבית עשיר, התקשה לשאת את תנאי המסע הקשים	Raised in comfort, the pampered youth struggled with the hardships of the long trek
44	פִּיֵּס	הוא פייס את חברו הפגוע במילים רכות עד ששב לחייך	He soothed his offended friend with gentle words until the anger melted away
45	פִּלְבֵּל	הוא פלבל בעיניו לכל עבר בחיפוש אחר דרך מילוט מהשאלה המביכה	Caught off guard, the boy's eyes darted nervously around the room seeking an escape
46	פָּסַע	הוא פסע לאט לאורך המסדרון, צעד אחר צעד, עד דלת המשרד	She paced slowly down the corridor, one measured step after another, toward the door
47	פְּרִיטָה	הפריטה העדינה שלו על מיתרי הנבל מילאה את האולם בצלילים רכים	Her gentle plucking of the harp strings filled the hall with soft notes
48	פָּשַׁט יָד	האיש העני פשט יד בפינת הרחוב, ועוברים ושבים הניחו מטבעות בכובעו	The poor man begged for coins at the corner, holding out his worn hat
49	צָרוּת עַיִן	מתוך צרות עין הוא לא שמח בהצלחת אחיו, ואף ניסה להמעיט בערכה	Out of sheer envy, she could not bear to see her colleague's success praised
50	קַו פָּרָשַׁת הַמַּיִם	המטיילים חצו את קו פרשת המים שממנו הנחלים זורמים לשני כיוונים שונים	From the watershed line along the ridge, rainwater drains into two different river basins
51	קוֹלָר	הוא קשר את הרצועה אל הקולר שעל צוואר הכלב ויצא לטיול	She clipped the leash onto the dog's collar before heading out for a walk
52	קָצְרָה יָדוֹ מֵהוֹשִׁיעַ	הוא רצה לעזור לאחיו ששקע בחובות, אך קצרה ידו מהושיע	He longed to pull his brother out of debt, but it was beyond his power
53	רַךְ לֵבָב	הוא היה רך לבב, וכל רעש פתאומי בלילה הקפיץ אותו בבהלה	He was too faint-hearted to enter the dark cave, trembling at every small sound
54	שָׁטַח תַּחֲנוּנָיו	החייב שטח תחנוניו בפני פקידי הבנק וביקש שוב ושוב לדחות את התשלום	The debtor poured out his pleas before the committee, begging repeatedly for more time
55	שָׁנוּי בְּמַחֲלֹקֶת	מיקומו של הגשר החדש שנוי במחלוקת, ובעירייה מתווכחים עליו כבר שנה	The location of the new bridge is hotly disputed, with the council still divided
56	שִׁנֵּס	לפני העלייה התלולה האחרונה שינס הרץ את מותניו וזינק קדימה	Before the final steep climb, the runner braced himself and pushed ahead with new resolve
57	שִׁנֵּעַ	החברה שינעה את המכולות מהנמל אל המחסנים ברחבי הארץ	The company hauled the containers from the port to warehouses across the country
58	תְּבוּסְתָנוּת	המאמן דחה את התבוסתנות של שחקניו, שכבר ויתרו על המשחק לפני שהחל	The coach rejected his players' defeatism, refusing to accept surrender before the game began
59	תָּחַם	הסוקר תחם את שטח החפירה בסרט צבעוני כדי שאיש לא יחצה אותו	The surveyor marked off the excavation area with tape so no one would cross it
60	הִלְשִׁין	אחד העובדים הלשין למנהל על חברו שאיחר, וכולם כעסו עליו	One of the workers informed on his friend to the manager, reporting his late arrivals
