k	a	b
e5cb6b63567a	בלי	מבלי | ללא
b96ca4821e4e	יציג	להציג | מוצג
61d8e322cec5	חושל	מעוצב | מחושל
fe98a1feae17	יבקרו	לבקר
e145487e7916	המבריק	מבריק
496566cc5d1c	מסכים	להסכים
0f989aaa6e4c	התנור	תנור בישול
b78960a386da	הלשוניים	לשוני
f7ced3c28074	האדיב	אדיב
0ec767a4fcd8	האחות	אחות
ed3fd0ca4e7b	מייצרת	לייצר | תוצר | ירקות ופירות
23e291cde63b	למעלה	מעלה
f307771ea8aa	גרם המדרגות	גרם מדרגות
9e0b60e1298e	העימות	עימות
7fbf0cb0ad25	מקבלים את פני	לברך | לקבל פנים
f26cf82dd746	מתמשכת	מתמשך
f04b20caf7ca	ההליך	הליך | נוהל
4c53d08d52c1	לחשמל	חשמל
69d41d6a6a66	הסקרן	סקרן
57d92d2d467d	המרשם	מרשם
ba2b52cadcf4	המפוארת	מפואר | נהדר | מרהיב
d4d76e78dbe8	לבטיחות	בטיחות
1031fbad1fdf	התאומים	תאומים
3ada06a5ea7f	המיעוט	מיעוט
c95982a72b73	במבוך	מבוך
d6405bd7f54c	הקבורה	קבורה
2f2cd9b0c1bd	תומכת	תומך
66a897d35d94	מסילת	מסילה | מסלול | לעקוב
5c445961bdbd	תשפוט	לשפוט | שופט
67bf2a9b144d	מכרעת	מכריע | קריטי
211f775f5098	לסחורה	סחורה | מצרך
e91133df42fc	ממצאי	ממצאים
cb34efd7849c	בסתיו	סתיו
eea8b061a588	בולטת	בולט
ae8726f59843	הקפדני	קפדני
c2986f0a541f	למום	מום | עיוות
8934de5a3330	כרווחית	רווחי
57c4572e812d	הסופר	סופר | מחבר
84f86a04a3cc	התחנן	לעתור | להתחנן
0bf8666ba7ee	שנקבע מראש	נקבע מראש
f5993b3478fa	האסיר	אסיר | להרשיע
43f2fdd2998b	בעיירה	עיר | עיירה
40509066e4d2	לעצירה מוחלטת	עצירה מוחלטת | קיפאון
b54c480ddc43	למושבת	מושבה
786faeca1a24	מנצלים	לנצל
f9d655f4d23c	הערכתו	הערכה
fb1099315b8c	פורץ הדרך	פורץ דרך
c08d157ada8d	העיתון	עיתון
3434744cf42f	לא מוכנה	לא מוכן | ממאן
dd110ee64691	מגביע	גביע
76be0666b08f	בקזינו	קזינו
551c4319c383	במסלול	מסלול
921e795e7c84	הסקר	סקר | הצבעה
6bca90a7e564	הפולשניות	פולשני
3e1e29360bd6	הכנסת האורחים	הכנסת אורחים
e64bf6e01743	הבד	בד
16d48acd09ee	כוללת	לכלול
0cfade28e8eb	שניתן לוותר עליהם	שניתן לוותר עליו
937670ceb534	בעדיפות	עדיפות
12d5f20e71d4	מצב הרוח	מצב רוח
0a30b267e6c2	עטפה	לעטוף | מעטפת
80aecfeef2ec	הנוקשים	נוקשה | מחמיר
920ee3d9dc0f	לא ברורות	לא ברור
0fa616b6cf97	יגיע לשיאו	הגיע לשיא
81a01f121c07	הבולטת	בולט | בכיר
edcc4e6745c1	יודיע	להודיע | לעדכן
5b4b7b8538bd	הצפרדע	צפרדע
d64fc0f7719f	מרוויחה	להרוויח
6befc329d905	משחזרים	לשחזר
c3341adc911a	להחיש	למהר | להחפז
11a29b873df2	הלא שיגרתיות	לא שיגרתי
bd068701198e	מחקים	לחקות
01c7978ac205	הצרכנים	צרכנים
ddf41e667da2	החוסן	חוסן | עמידות | כושר התאוששות
57d0b2dd7320	יפיצו	להפיץ
cb67a0acf6e5	זמנית	זמני | לא סופי | מהוסס
