יִשֵּׁר אֶת הַהֲדוּרִים	CONFIRMED	ויקימילון: פישר בין הניצים, ביטל את סיבת הסכסוך
לֹא הָיְתָה לוֹ יָד בַּדָּבָר	CONFIRMED	אבניאון (אין לו יד בדבר): אינו שותף לדבר
לוּלְיָנִי	CONFIRMED	מילוג: בעל צורה סלילית או ספירלית
לְרוֹעֵץ	CONFIRMED	מילוג: מכשול; היה לו לרועץ = פעל לרעתו
מִגְדַּל קְלָפִים	CONFIRMED	ויקימילון: דבר לא יציב הנשען על יסודות רעועים
מַלְקוֹשׁ	CONFIRMED	מילוג: הגשם האחרון בחורף
מַפְלִיא מַכּוֹתָיו	CONFIRMED	אבניאון (הפליא מכותיו): מרבה להכותו מכות קשות
מְקֻרְזָל	CONFIRMED	מילוג: מתולתל (curly, frizzy)
נָבוּל	CONFIRMED	מילוג: שהתייבש ומת, כמוש, קמל
נִשְׁבַּר מַטֵּה לַחְמוֹ	CONFIRMED	ויקימילון (מטה לחם): כינוי לפרנסה; שבירתו = אובדנה
עוֹמֵד בְּעֵינוֹ	CONFIRMED	אבניאון: נשאר כפי שהיה, ללא שינוי
עַל אַפּוֹ וְעַל חֲמָתוֹ	CONFIRMED	ויקימילון: בלי התחשבות בהתנגדויות ובכעס של הנוגעים בדבר
עָנֹג	CONFIRMED	ויקימילון+מילוג: עדין, מעודן, מפונק; תואם את ניקוד התואר
פִּיֵּס	CONFIRMED	מילוג: הרגיע וריצה, השכין שלום, הפיג כעס; תואם את הפועל
פִּלְבֵּל	CONFIRMED	מילוג: הזיז מצד לצד (פיעל)
פָּסַע	CONFIRMED	מילוג: הלך בצעדים, צעד
פְּרִיטָה	CONFIRMED	מילוג: נגינה על כלי מיתר באצבעות; המרה לערכים נמוכים
פָּשַׁט יָד	CONFIRMED	אבניאון (פושט יד): קבצן, מבקש נדבות
צָרוּת עַיִן	CONFIRMED	ויקימילון: קנאה, חוסר רצון לראות בטובת אחרים
קַו פָּרָשַׁת הַמַּיִם	CONFIRMED	ויקימילון: קו דמיוני המפריד בין שני אגני ניקוז
קוֹלָר	CONFIRMED	ויקימילון: רצועה סביב הצוואר (כלב, נענש) + אשמה; תואם קוֹלָר ולא קוּלֶר
קָצְרָה יָדוֹ מֵהוֹשִׁיעַ	CONFIRMED	אבניאון (קצרה ידו): אין ביכולתו לעשות דבר; ישעיהו נ 2
רַךְ לֵבָב	CONFIRMED	אבניאון: מוג לב, פחדן, ירא
שָׁטַח תַּחֲנוּנָיו	CONFIRMED	אבניאון: שוטח = אומר בקשה, טענות; תחנונים = בקשות רחמים
שָׁנוּי בְּמַחֲלֹקֶת	CONFIRMED	מילוג: אין עליו הסכמה, קונטרוברסלי
שִׁנֵּס	CONFIRMED	מילוג: שינס מתניו = אזר כוח והתאמץ מאוד
שִׁנֵּעַ	CONFIRMED	מילוג: העביר ממקום למקום; שינוע מקובל למטענים
תְּבוּסְתָנוּת	CONFIRMED	מילוג: defeatism, עמדת ייאוש מראש
תָּחַם	CONFIRMED	מילוג: קבע גבול, הגביל, גידר
הִלְשִׁין	CONFIRMED	מילוג: מסר בסתר מידע על מעשיו של אחר
