פירוש	כמה מילים	המילים
מתחת	4	under, below, beneath, underneath
להרחיב	4	expand, broaden, widen, augment
לחלוטין	3	absolutely, totally, entirely
ליד	3	next to, beside, adjacent to
דרך	3	road, way, via
יחד עם	3	together with, along with, coupled with
בדרך-כלל	3	usually, for the most part, ordinarily
לבחור	3	choose, select, elect
יקר	3	expensive, precious, costly
לדוגמה	3	for example, for instance, e.g.
שפה	3	language, lip, rim
תוצאה	3	result, consequence, outcome
מדויק	3	exact, accurate, precise
פנימי	3	inner, internal, interior
קודם	3	previous, prior, preceding
ביישן	3	shy, timid, bashful
דומה	3	similar, alike, resemble
חיצוני	3	external, outer, exterior
מחסור	3	lack, shortage, deficiency
בעיקר	3	mainly, primarily, chiefly
מגוון	3	various, diversity, diverse
מועמד	3	candidate, nominated, applicant
עצום	3	enormous, colossal, tremendous
ימי	3	marine, naval, maritime
להגר	3	migrate, immigrate, emigrate
מיושן	3	old-fashioned, outdated, obsolete
להעריך לאמוד	3	estimate, evaluate, assess
להסכים	2	agree, concur
להמשיך	2	continue, resume
מסוכן	2	dangerous, hazardous
מספיק	2	enough, sufficient
פחד לפחד	2	fear, dread
לתקן	2	fix, repair
מ-	2	from, than
כבד	2	heavy, liver
למעשה	2	in fact, actually
אי	2	island, isle
מלך	2	king, monarch
אולי	2	maybe, perhaps
לעיתים קרובות	2	often, frequently
על	2	on, upon
להגן	2	protect, defend
עשיר	2	rich, wealthy
מיוחד	2	special, distinctive
להתחיל	2	start, commence
צעד לצעוד	2	step, stride
מוזר	2	strange, bizarre
להבין	2	understand, comprehend
עד עתה	2	until now, by now
לבקר	2	visit, criticize
למרות ש-	2	although, even though
כל עוד	2	as long as, so long as
מבנה לבנות	2	build, structure
למחוק	2	delete, erase
להרוס	2	destroy, ruin
פרק	2	episode, chapter
יער	2	forest, woods
ידידותי	2	friendly, genial
מטרה	2	goal, target
אולם ספורט	2	gym, gymnasium
כולל	2	including, inclusive
מסע	2	journey, voyage
משימה	2	mission, task
שלילי	2	negative, adverse
לקבל	2	receive, accept
טיל	2	rocket, missile
עור	2	skin, leather
סמל	2	symbol, emblem
רעיל	2	toxic, poisonous
לא בטוח	2	unsafe, uncertain
ניצחון	2	victory, triumph
עץ	2	wood, timber
זקן	2	beard, elderly
גבול	2	border, boundary
אמיץ	2	brave, courageous
לעודד	2	cheer, encourage
מטבע	2	coin, currency
נוח	2	comfortable, convenient
משלוח	2	delivery, shipment
מחלקה	2	department, ward
מחלה	2	disease, illness
להפריע	2	disturb, interrupt
לגרור	2	drag, haul
לשפוך	2	dump, spill
במיוחד	2	especially, in particular
לצפות	2	expect, anticipate
עדין	2	gentle, delicate
להתעלם	2	ignore, disregard
לדמיין	2	imagine, visualize
מיד	2	immediately, instantly
באופן כללי	2	in general, generally
לכלול	2	include, comprise
מדהים	2	incredible, spectacular
עורך-דין	2	lawyer, attorney
תנועה	2	movement, traffic
צינור	2	pipe, tube
זעם	2	rage, fury
לזהות	2	recognize, identify
להירשם	2	register, enroll
מרוחק	2	remote, distant
חתימה	2	signature, autograph
מקור	2	source, beak
לסבול	2	suffer, tolerate
ללא ספק	2	surely, undoubtedly
נושא	2	theme, topic
איום	2	threat, horrific
רגיל	2	usual, ordinary
בנוסף	2	additionally, in addition
להדהים	2	amaze, astound
בקרב בין	2	among, amid
כמות	2	amount, quantity
בנפרד	2	apart, separately
מודע	2	aware, conscious
מעבר	2	beyond, aisle
המשך	2	continuation, sequel
לשכנע	2	convince, persuade
מאוד במידה רבה	2	deeply, heavily
למרות	2	despite, in spite of
לתרום	2	donate, contribute
גמיש	2	flexible, limber
להתמודד	2	handle, cope
קרחון	2	iceberg, glacier
קצב	2	rhythm, pace
הפרדה	2	separation, segregation
לאחד	2	unite, unify
להשיג	2	achieve, obtain
קשר	2	bond, knot
לדרוש דרישה	2	demand, require
חיוני	2	essential, vital
זיהום	2	infection, pollution
לבודד	2	isolate, insulate
בדידות	2	loneliness, solitude
מקצוע	2	profession, vocation
הצעה	2	proposal, proposition
מרד	2	rebellion, revolt
מחוז אזור	2	region, province
לדחות	2	reject, postpone
שמועה	2	rumor, hearsay
פסל	2	sculpture, statue
נוקשה	2	strict, stiff
עקשן	2	stubborn, obstinate
תומך	2	supportive, proponent
עליון	2	supreme, superior
להעריץ	2	admire, idolize
להניח	2	assume, presume
נרחב	2	broad, extensive
לשדר	2	broadcast, transmit
התנגשות	2	clash, collision
ביקורת	2	critique, audit
לקשט	2	decorate, adorn
מידי פעם	2	once in a while, occasionally
נוטה	2	tend, prone
משתנה	2	variable, vary
דיוק	2	accuracy, precision
בגרות	2	adulthood, maturity
פרשנות	2	commentary, interpretation
מתמשך	2	continuous, ongoing
להבדיל להבחין	2	differentiate, distinguish
להפיץ	2	distribute, disseminate
הערכה	2	evaluation, appreciation
מזיק	2	harmful, detrimental
מדבק	2	infectious, contagious
נוף	2	landscape, scenery
לצפות מראש	2	predict, foresee
לשמר	2	preserve, conserve
סביר מתקבל על הדעת	2	probable, plausible
מבולבל	2	puzzled, baffled
מתייחס	2	refer, relating
חזרה	2	repetition, rehearsal
חרוז	2	rhyme, bead
לפקח	2	supervise, oversee
בקושי	2	barely, hardly
להקדיש	2	dedicate, devote
לתעב	2	despise, loathe
שבר	2	fraction, fracture
זאת ועוד	2	furthermore, moreover
לחקות	2	imitate, mimic
רק לא יותר מ-	2	merely, mere
ללעוג	2	mock, ridicule
למרות זאת	2	nevertheless, nonetheless
לציית	2	obey, abide
לשגשג	2	prosper, thrive
לרסן	2	restrain, inhibit
שפע	2	abundance, affluence
בהתאמה	2	correspondingly, respectively
להפריך	2	disprove, refute
יורש	2	heir, successor
לחוקק	2	legislate, enact
מולד	2	congenital, innate
