1: eloquent, memorable, striking
2: withdraw, retract, remove
3: legible, readable, clear
4: reinforce, strengthen, brace
5: pay, settle, cover
6: recite, recall, list
7: confirm, verify, reconfirm
8: echo, reverberation, ring
9: inherit, claim, receive
10: offset, correct, counteract
11: error, mistake, slip
12: commodity, material, metal
13: budget, allowance, fund
14: postpone, delay, defer
15: frustration, despair, resignation
16: indifference, apathy, disinterest
17: mediate, arbitrate, settle
18: defer, yield, submit
19: improvement, progress, gains
20: delay, hinder, slow
21: break, retract, abandon
22: precedent, basis, foundation
23: diffuse, soften, filter
24: nest, young, brood
25: hatch, develop, mature
26: dissolve, disappear, melt
27: emphasize + mention, highlight + note, stress + list
28: distract, disturb, interrupt
29: catch, seize, reach
30: undermine, weaken, shake
31: carve + gild, cut + paint, engrave + gild
32: escape, flee, wander
33: permission, permit, authorization
34: inspect, examine, check
35: saturated, dissolved, stable
36: cancel, postpone, abandon
37: agree + dissent, concur + differ, side + depart
38: distance, journey, stretch
39: repetition, refrain, rhyme
40: ban, prohibit, forbid
41: summarize, condense, capture
42: outweigh, outnumber, override
43: approve, ratify, enforce
44: traffic, congestion, crowding
45: allocate, assign, apportion
46: hibernate, sleep, burrow
47: rot, decay, deteriorate
48: elusive, hidden, unseen
49: convene, summon, assemble
50: incentive, motivation, reason
51: forfeit, lose, surrender
52: vacant, empty, available
53: retain, keep, use
54: uphold, affirm, confirm
55: wrap + nail, pack + seal, bed + screw
56: reproduce, repeat, perpetuate
57: preserve + ruin, protect + destroy, keep + spoil
58: cure, eliminate, reverse
59: instability, erosion, fragility
60: yield + harvest, produce + gather, give + reap
61: suspend, halt, stop
62: amend, revise, update
63: prey, victim, quarry
64: support + distort, justify + skew, warrant + bias
65: desert, wasteland, ruin
66: pronounce, articulate, distinguish
67: valid, usable, active
68: concise, succinct, dense
69: depict, show, include
70: derive, predict, calculate
71: pronounce, repeat, say
72: shatter, break, smash
73: condone, tolerate, excuse
74: endurance, stamina, patience
75: relieve, ease, reduce
76: solve, finish, complete
77: bridge, crossing, ferry
78: envy, jealousy, resentment
79: determine, identify, establish
80: sag, collapse, buckle
81: reject, dismiss, abandon
82: opponent, rival, player
83: bias, distortion, flaw
84: qualify, register, serve
85: luggage, baggage, bag
86: impartial, neutral, objective
87: skill, craft, technique
88: conduct, transmit, carry
89: shortage, scarcity, lack
90: price, cost, charge
91: confirm, acknowledge, verify
92: compensate, reimburse, repay
93: discrepancy, difference, gap
94: mandatory, compulsory, obligatory
95: negotiate + enact, agree + pass, settle + write
96: negligence, carelessness, neglect
97: heed, acknowledge, act
98: exhaustion, fatigue, tiredness
99: match + differ, agree + diverge, coincide + disagree
100: diagnose, identify, confirm
101: soak, boil, rinse
102: illegal, unauthorized, unlawful
103: charity, shelter, kitchen
104: predator, bird, hunter
105: freeze, harden, set
106: rot, spoil, decay
107: achieve, meet, attain
108: boundary, border, division
109: rehearse, practise, play
110: suggest + infer, indicate + deduce, hint + assume
111: overturn, refute, disprove
112: burden, load, bill
113: storm, gale, weather
114: sink, capsize, founder
115: guess, estimate, invent
116: muscle, tendon, fibre
117: disprove, refute, falsify
118: transfer, shift, move
119: illustrate, explain, clarify
120: insulate, protect, shield
121: sincerity, honesty, remorse
122: habit, compulsion, ritual
123: destroy, demolish, remove
124: state + define, formulate + explain, summarize + clarify
125: detach, remove, disconnect
126: dense, compact, hard
127: abandon, drop, withdraw
128: update, revise, correct
129: relative, cousin, neighbour
130: lock, secure, fasten
131: contaminate + discard, spoil + destroy, infect + reject
132: salary, wage, pay
133: rewrite, replace, overhaul
134: damage, harm, injury
135: revoke, cancel, withdraw
136: wood, timber, pine
137: draft + approve, prepare + ratify, write + adopt
138: appeal, hearing, protest
139: dose, spoonful, measure
140: obstacle, barrier, hindrance
141: responsibility, duty, obligation
142: apply, register, enrol
143: restore, return, repaint
144: decipher, read, translate
145: ignore, disregard, defy
146: administer + decide, manage + determine, run + allocate
147: melt + swell, thaw + rise, melt + overflow
148: assemble, erect, install
149: shift, run, turn
150: expand + contract, lengthen + shrink, swell + shrink
151: regain, recover, restore
152: fault, defect, break
153: impose, levy, add
154: span, support, cover
155: stop + withstand, halt + resist, close + bear
156: delegate, entrust, refer
157: dissolve, mix, blend
158: course, subject, class
159: forgive, pardon, excuse
160: comfort, relief, reassurance
161: establish, determine, confirm
162: equipment, gear, tackle
163: rainfall, snow, precipitation
164: essay, assignment, report
165: destination, stop, island
166: match + differ, agree + vary, coincide + diverge
167: explain + master, present + grasp, teach + absorb
168: purchase, buy, item
169: reputation, standing, prestige
170: deposit, guarantee, security
171: route, detour, road
172: unease, anxiety, dread
173: commemorate, recall, mark
174: sense, track, awareness
175: thrive, flourish, survive
176: oblige + abide, require + stand, compel + abide
177: wheat, grain, barley
178: plausible, circumstantial, speculative
179: accumulate + spend, build + use, save + release
180: dialect, origin, region
181: accompany, support, follow
182: cliff, drop, precipice
183: rule, regulation, provision
184: oath, pledge, vow
185: questions, items, answers
186: notify, inform, alert
187: negligible, insignificant, minimal
188: withhold, delay, retain
189: audit, examine, scrutinize
190: enhance, sharpen, improve
191: preserve, cure, keep
192: wait, stay, spend
193: brittle, fragile, weak
194: reject + approve, refuse + grant, deny + accept
195: bind, stabilize, hold
196: weave, make, plait
197: ingredients, produce, crops
198: grasp, understand, see
199: specify, prescribe, define
200: ambiguous, invalid, void
201: diligent + thrifty, industrious + frugal, hardworking + careful
202: tame, subdue, suppress
203: ratify, approve, confirm
204: trickle, stream, flow
