w1309	לככללל	אפילו וזוגי; יתר נטיות או נדיר
w1478	לככל	העתק ודגם; שכפול תהליך
w1908	ככ	שפך ולשפוך שניהם נפוצים
w1287	כלכ	חיסרון כתיב כפול; נחיתות נפוץ
w1621	ככל	ריק ורווח; חלל ריק הרחבה
w1720	ככ	יוצא ועומד שני מובנים
w2255	כלכל	פועל ואישור; יתר כפילות
w1801	ככל	למדוד ומידה; אמצעי שלישי
w1793	לכלכ	בול עץ ויומן; תיעוד נטייה
w2206	כללכל	לשמור ולתחזק; לגרוס נדיר
w1400	כללללכ	אכפת ושכל; יתר משניים
w1367	ככ	שני התרגומים נפוצים
w2123	לכלכ	מפואר ולחבב; מחבב נטייה
w2054	ככ	שני מובנים נפוצים
w1815	ככ	שני מובנים נפוצים
w1623	ככ	יוצא ועומד שני מובנים
w1697	ככ	שניהם נפוצים
w2286	ללככל	נשאר ושרידים; יתר נטיות
w1833	ככ	החנות והמקצוע שניהם נפוצים
w1257	ככ	שניהם נפוצים
w1432	לככ	צבען ופיגמנט; חומר צבע פרפרזה
w1663	לככ	להכיל ולבלום; מכיל נטייה
w2276	כלכ	תכונה ורכוש; נכס כפילות
w2009	כלכ	להשתתף ולטפל; נוכח כפילות
w1903	לככ	חשוב ומשמעותי; ניכר שלישי
w2263	כלכ	בעלות ורכוש; חזקה משפטי
w1781	ככ	להמציא ולבדות שני מובנים
w1807	כללכ	בן תמותה וקטלני; אנושי שגוי
w2361	ככ	שניהם נפוצים
w1402	ככל	שר וכומר; הסוגר נטייה
w2152	ללככ	קשה וחמור; יתר משניים
w1741	לככל	להשיג ורווח; יתר נטיות
w1469	כל	מחזור כתיב חסר של מיחזור
w2243	ככ	רגיל ופשוט שניהם נפוצים
w2344	ככ	שני התרגומים נפוצים
w2338	ככ	ראשית ובתור התחלה נפוצים
w1660	לככ	קבוע ומתמיד; רצוף שלישי
w2005	ככל	ככל ובכל הנוגע; לגבי רופף
w1842	כלכ	עיקרי וראשוני; יסודי שלישי
w1225	כלכלל	מלבד ובנוסף; יתר כפילות
w1465	ככ	שם ופועל שני מובנים
w2207	לככ	מנדט ולחייב; ייפוי כוח משני
w2325	ככ	להמם ולזעזע נפוצים
w1747	לככ	לברך ולקבל פנים; לקדם שגוי
w1389	ככ	שניהם נפוצים
w2075	ככל	מוקדש ומסור; להקדיש נטייה
w1652	לככ	פרסומת ומסחרי; סרטון הרחבה
w1525	ככל	תסמין וסימפטום; סימן רחב
w1493	ככ	שניהם נפוצים
w2239	לככ	מדי פעם ולפעמים; מידי שגוי
w1429	כלכ	מסיבה ומפלגה; צד משפטי
w1764	ללככ	סימן ואינדיקציה; יתר כפילות
w2000	ככ	שניהם נפוצים
w1474	ככ	שניהם נפוצים
w2148	ככל	אולם ספורט וחדר כושר
w2137	ככ	למלא ולהגשים שני מובנים
w2188	ככל	שיקול דעת ופסק דין
w2346	ככ	שני המובנים נפוצים
w1767	ככ	זיהום והדבקה שני מובנים
w1443	לככל	קדום ופרימיטיבי; קדמוני נטייה
