1: obsolete, outdated
2: endemic, prevalent
3: deficiency, shortage
4: reluctant, unwilling, loath
5: augment, enrich, supplement
6: luminous, luminescent, phosphorescent
7: apparatus, instrument, assembly
8: hazard, danger, risk
9: mundane, prosaic, ordinary
10: secular, non-religious
11: intervene, interfere, meddle
12: confiscate, seize, impound
13: testimony, evidence
14: arguably, reputedly, probably
15: rarely, seldom, never
16: severity, lethality, gravity
17: hypocrisy, inconsistency
18: proclaim, announce, declare
19: compel, oblige, require
20: rigid, inflexible, fragile
21: feasible, viable, practicable
22: deliberate, intentional
23: emulate, capture, reproduce
24: alienation, estrangement, detachment
25: advent + demise, emergence + decline, rise + disappearance
26: commence + culminate, begin + conclude, open + close
27: induce + suppress, bring + depress, induce + arrest
28: insurrection, uprising, rebellion
29: leniency, clemency, mercy
30: plummeted, plunged, collapsed
31: enrich, replenish, fertilize
32: supplement, augment, assist
33: certify, declare, pronounce
34: fabricate, invent, falsify
35: harness, tame, control
36: tangible, concrete, visible
37: innate, instinctive, inborn
38: redundant, superfluous, unnecessary
39: excise, delete, cut
40: conspicuous, noticeable, visible
41: estimate, conjecture, approximation
42: rebellion, uprising, revolt
43: genus, group, family
44: futile, hopeless, useless
45: insurmountable, impassable, prohibitive
46: inadvertently, accidentally, unintentionally
47: abstain, withdraw, recuse
48: nocturnal, night-active
49: posterity, publication, survival
50: paramount, supreme, overriding
51: stark, striking, glaring
52: revival, resurgence, renaissance
53: appoint + preside, name + sit, choose + officiate
54: praise + condemn, extol + criticize, commend + denigrate
55: extrapolate, predict, infer
56: intermediary, mediator, go-between
57: consolidate, merge, amalgamate
58: circulate, pass, rotate
59: rodent, pest, mammal
60: famine, starvation
61: anaesthesia, anaesthetic, narcosis
62: hearsay, rumour, secondhand
63: subsequent, successive, later
64: reinforce, buttress, strengthen
65: pervasive, penetrating, persistent
66: overlooked, missed, ignored
67: thwart, repel, prevent
68: pollutant, contaminant, emission
69: furnish, equip, fit
70: contraband, suspect, smuggled
