מובן	כמה מילים	המילים
להתאים	9	condition, fit, adapt, modify, match, correspond, equates, conform, reconcile
להציג	7	present, display, introduce, feature, perform, exhibit, depict
לשמור	7	save, guard, mind, reserve, secure, retain, keep
ברור	7	obviously, definite, evident, explicit, distinct, straightforward, apparent
ליד	6	about, by, next to, nearby, beside, adjacent to
להתמודד	6	deal, compete, handle, cope, withstand, contend
עצום	6	huge, enormous, colossal, vast, immense, tremendous
להבטיח	6	make sure, promise, guarantee, secure, ensure, insure
רק	6	only, exclusively, just, merely, solely, mere
דרך	6	road, through, way, path, route, via
לתמוך	6	side, support, sustain, bolster, prop, uphold
מוזר	6	strange, alien, awkward, eccentric, odd, bizarre
מטרה	6	cause, goal, purpose, target, aim, objective
עיקרי	6	main, major, prime, primary, principal, staple
לאשר	6	confirm, license, approve, legalize, sanction, certify
עדין	6	gentle, delicate, fragile, fine, mild, subtle
להעריך	6	value, appreciate, estimate, evaluate, assess, gauge
לספק	6	deliver, provide, satisfy, cater, gratify, quench
להשיג	6	achieve, obtain, accomplish, acquire, overtake, attain
להרחיב	6	expand, extend, broaden, widen, augment, elaborate
לחשוף	6	reveal, expose, uncover, bare, disclose, unearth
לטפח	6	cultivate, foster, groom, nurture, rear, nourish
אזור	5	area, country, zone, region, province
לתקן	5	fix, correct, repair, revise, amend
גדול	5	great, large, grand, monumental, ample
לקשר	5	link, associate, correlate, relate, attribute
להעביר	5	pass, spend, transfer, convey, impart
להגן	5	protect, shield, defend, secure, safeguard
הופעה	5	show, performance, appearance, emergence, advent
מצב	5	situation, condition, state, mode, circumstance
לפזר	5	spend, spray, scatter, litter, expend
למרות זאת	5	still, however, though, nevertheless, nonetheless
דרגה	5	level, grade, rank, degree, phase
תוצאה	5	result, effect, consequence, outcome, score
תפקיד	5	role, position, duty, post, capacity
לדחות	5	delay, reject, postpone, decline, defer
להחליף	5	exchange, replace, switch, trade, commute
לנהל	5	manage, conduct, wage, administer, preside
קודם	5	previous, former, prior, preceding, forerunner
מסלול	5	route, track, course, lane, circuit
פרסום	5	advertisement, post, fame, publication, renown
לעורר	5	excite, stimulate, invoke, evoke, prompt
עניין	5	issue, concern, interest, affair, sake
מהיר	5	rapid, express, swift, fast, hasty
מוחלט	5	absolute, ultimate, profound, sheer, stark
בעיקר	5	mainly, primarily, predominantly, chiefly, foremost
להבחין	5	observe, differentiate, distinguish, discriminate, perceive
מגוון	5	variety, various, diversity, diverse, array
לחלוטין	4	absolutely, totally, entirely, sheer
מלבד	4	but, except, besides, aside
חוץ מ-	4	but, except, aside from, besides
לשלוט	4	control, master, rule, dominate
מספיק	4	enough, sufficient, adequate, ample
לסלוח	4	excuse, forgive, pardon, condone
לציית	4	follow, comply, obey, abide
לנצח	4	forever, win, defeat, perpetually
למסור	4	hand, pass, deliver, convey
לחבר	4	join, connect, attach, merge
לוודא	4	make sure, verify, insure, ascertain
על	4	on, over, on top of, upon
חלק	4	part, block, piece, section
לתכנן	4	plan, design, project, devise
שקט	4	quiet, still, silent, peaceful
מיוחד	4	special, unique, particular, distinctive
מתחת	4	under, below, beneath, underneath
לבטל	4	cancel, dismiss, dismantle, revoke
לתפוס	4	catch, caught, grasp, occupy, conceive
שינוי	4	change, reform, variation, transition
לבחור	4	choose, pick, select, elect
לאסוף	4	collect, compile, herd, accumulate
התנגשות	4	crash, impact, clash, collision
להרוס	4	destroy, ruin, spoil, shatter
ישיר	4	direct, straightforward, candid, outspoken
לגלות	4	discover, detect, uncover, disclose
תרופה	4	drug, cure, medicine, remedy
ריק	4	empty, blank, bare, vacant
מצוין	4	excellent, outstanding, fine, exquisite
כולל	4	including, grand, overall, inclusive
סוג	4	kind, type, class, genus
אדיב	4	kind, civil, courteous, gracious
להשוות	4	level, even, compare, equates
מקומי	4	local, native, domestic, indigenous
סתירה	4	paradox, contradiction, discrepancy, rebuttal
סיפור	4	saga, tale, narrative, novel
צורה	4	shape, form, mode, figure
יכולת	4	skill, ability, capacity, prowess
להדגיש	4	stress, emphasize, accentuate, punctuate
לנצל	4	use, abuse, exploit, capitalize
לעודד	4	cheer, encourage, urge, foster
מעמד	4	condition, grade, class, stature
לכלול	4	cover, include, incorporate, comprise
יומיומי	4	daily, casual, mundane, diurnal
להפריע	4	disturb, interrupt, disrupt, interfere
מדויק	4	exact, accurate, just, precise
לצפות	4	expect, view, anticipate, envision
שיפוע	4	grade, slope, tilt, incline
להדריך	4	guide, coach, tutor, counsel
מראה	4	mirror, view, appearance, sighting
לציין	4	note, state, denote, designate
למנוע	4	prevent, hold back, prohibit, avert
רווח	4	profit, space, blank, prevalent
לסבול	4	suffer, bear, endure, tolerate
להיכנע	4	surrender, submit, yield, concede
נושא	4	theme, issue, subject, topic
קשר	4	tie, bond, conspiracy, knot
יוצא דופן	4	unusual, remarkable, exceptional, notable
רגיל	4	usual, casual, average, ordinary
ראשי	4	chief, major, capital, principal
למרות	4	despite, in spite of, regardless, notwithstanding
לבחון	4	examine, inspect, survey, deliberate
לקדם	4	further, advance, promote, foster
להפיק	4	generate, extract, derive, yield
לעכב	4	hold back, defer, hinder, withhold
להפיץ	4	issue, distribute, circulate, disseminate
למנות	4	post, assign, appoint, designate
להפחית	4	reduce, decrease, detract, mitigate
לסכם	4	to sum up, sum, finalize, summarize
משיכה	4	attraction, draft, affinity, allure
מחוז	4	district, region, county, province
להקל	4	ease, relieve, alleviate, facilitate
תכונה	4	feature, property, trait, attribute
נוקשה	4	strict, harsh, stiff, rigid
מחלוקת	4	argument, controversy, dispute, discord
מדרון	4	mountainside, downhill, slope, incline
בור	4	pit, ignorant, illiterate, pothole
לשבח	4	praise, acclaim, hail, laud
לחקות	4	simulate, imitate, mimic, emulate
להקיף	4	circuit, surround, span, enclosing
לאמוד	4	estimate, evaluate, assess, appraise
שופע	4	plentiful, ample, affluent, prolific
בולט	4	prominent, notable, conspicuous, eminent
בערך	3	about, around, approximately
להסכים	3	agree, comply, concur
תחום	3	area, field, territory
כאשר	3	as, when, as soon as
לשאול	3	ask, borrow, inquire
בגלל	3	because of, due to, owing to
לפני	3	before, ahead of, prior to
בין	3	between, among, amid
לבדוק	3	check, inspect, canvass
קרוב	3	close, near, nearby
עסקה	3	deal, bargain, transaction
גמור	3	done, stark, utter
מוקדם	3	early, soon, advance
אדמה	3	earth, ground, soil
ירידה	3	fall, decrease, decline
פחד	3	fear, scare, dread
להיאבק	3	fight, fought, battle, contend
לעקוב	3	follow, track, trace
לכפות	3	force, enforce, impose
חבר	3	friend, mate, fellow
מ-	3	from, of, than
מלא	3	full, complete, plentiful
מעולה	3	great, exceptional, accomplished
ענק	3	huge, giant, gross
רעיון	3	idea, concept, notion
בתוך	3	in, inside, within
למעשה	3	in fact, actually, virtually
לחסל	3	kill, eliminate, terminate
פגישה	3	meeting, session, date
לערבב	3	mix, blend, shuffle
כסף	3	money, silver, funds
לעבור	3	move, pass, undergo
הצעה	3	offer, proposal, proposition
להציע	3	offer, suggest, propose
מעל	3	over, above, on top of
להשלים	3	perfect, complete, accomplish
לשפר	3	perfect, improve, revise
לדמיין	3	picture, imagine, visualize
תכנית	3	plan, design, program
כנראה	3	probably, apparently, arguably
סיבה	3	reason, cause, occasion
כבוד	3	respect, honor, confer
עשיר	3	rich, wealthy, affluent
לראות	3	saw, see, view, perceive
לחפש	3	search, seek, seek, sought
חמור	3	serious, severe, grave
סימן	3	sign, signal, trace
לסמן	3	sign, mark, denote
יחיד	3	single, individual, lone
כך ש-	3	so, so that, thus
מאוד	3	so, deeply, heavily
לבזבז	3	spend, waste, expend
להתחיל	3	start, launch, commence
להציב	3	station, post, pose
לצעוד	3	step, march, stride
עדיין	3	still, remains, yet
ממתק	3	sweet, candy, treat
שיטה	3	system, method, approach
להודות	3	thank, admit, confess
ש-	3	that, which, who
יחד עם	3	together with, along with, coupled with
לפנות	3	turn, address, apply
להבין	3	understand, grasp, comprehend
בדרך-כלל	3	usually, for the most part, ordinarily
קול	3	voice, vote, sound
לרצות	3	want, wish, satisfy
בעוד ש-	3	where, while, whereas
ניצחון	3	win, victory, triumph
סופר	3	writer, author, scribe
לטפל	3	address, care, groom
חי	3	alive, raw, vivid
למרות ש-	3	although, even though, though
כל עוד	3	as long as, while, so long as
מקורי	3	authentic, original, genuine
לבנות	3	build, structure, construct
לשנות	3	change, modify, alter
עודף	3	change, spare, superfluous
ליצור	3	create, form, generate
סכנה	3	danger, hazard, plight
לסכן	3	danger, risk, endanger
להחליט	3	decide, rule, resolve
דוגמה	3	design, example, sample
תרשים	3	design, diagram, chart
לעצב	3	design, fashion, mold
לפרט	3	detail, specify, elaborate
לערוך	3	edit, wage, officiate
גמיש	3	elastic, flexible, limber
לרוקן	3	empty, exhaust, deplete
יקר	3	expensive, precious, costly
זרם	3	flow, stream, drift
לדוגמה	3	for example, for instance, e.g.
לייסד	3	found, establish, constitute
ידידותי	3	friendly, congenial, genial
שמח	3	glad, cheerful, joyous
מסע	3	journey, campaign, voyage
שפה	3	language, lip, rim
קולני	3	loud, vocal, vociferous
שליט	3	master, emperor, ruler
משימה	3	mission, task, assignment
להטיל ספק	3	question, doubt, wonder
שלטון	3	rule, regime, reign
להגיש	3	serve, submit, render
חד	3	sharp, vivid, exquisite
מתח	3	stress, suspense, tension
לשחרר	3	unlock, release, dismiss
תועלת	3	use, benefit, sake
דאגה	3	worry, alarm, concern
הסכמה	3	agreement, acceptance, concurrence
הסכם	3	agreement, contract, treaty
להרשות	3	allow, permit, authorize
פרס	3	award, prize, reward
מאבק	3	battle, struggle, strife
זקן	3	beard, senior, elderly
גבול	3	border, limit, boundary
אמיץ	3	brave, bold, courageous
לרדוף	3	chase, harass, pursue
עמית	3	colleague, fellow, counterpart
לסיים	3	complete, terminate, conclude
עימות	3	conflict, confrontation, strife
לתאר	3	describe, depict, portray
תיאור	3	description, account, depiction
לדון	3	discuss, deliberate, confer
השפעה	3	effect, impact, influence
מאמץ	3	effort, struggle, endeavor
במיוחד	3	especially, in particular, particularly
ליישם	3	exercise, apply, implement
פגם	3	fault, flaw, malformation
זבל	3	garbage, refuse, rubbish
דמות	3	image, character, figure
באופן כללי	3	in general, generally, overall
פנימי	3	inner, internal, interior
עז	3	intense, fierce, vibrant
הערה	3	note, observation, interjection
לשים לב	3	notice, mind, heed
תשוקה	3	passion, desire, urge
קבוע	3	permanent, constant, steady
תנוחה	3	position, pose, posture
לעבד	3	process, adapt, cultivate
התקדמות	3	progress, advance, advancement
מיזם	3	project, venture, endeavor
כוונה	3	purpose, spirit, intention
זעם	3	rage, fury, outrage
לזהות	3	recognize, spot, identify
לבקש	3	request, seek, appeal
ביקורת	3	review, critique, audit
לסקור	3	review, survey, canvass
לעלות	3	rise, scale, arise
להפחיד	3	scare, terrify, intimidate
בכיר	3	senior, chief, eminent
ביישן	3	shy, timid, bashful
אות	3	signal, character, forerunner
דומה	3	similar, alike, resemble
מקור	3	source, origin, beak
קסם	3	spell, charm, allure
להצהיר	3	state, certify, assert
אגדה	3	tale, fairytale, legend
להוביל	3	transport, lead, led, steer
יתרון	3	advantage, benefit, edge
כמות	3	amount, quantity, incidence
לנתח	3	analyze, operate, dissect
להופיע	3	appear, arise, emerge
לעצור	3	arrest, halt, withhold
להתחנן	3	beg, plead, implore
מעבר	3	beyond, transition, aisle
לגרש	3	cast, exile, expel
לחייב	3	charge, compel, oblige
נפוץ	3	common, widespread, prevalent
משותף	3	common, joint, communal
להתחרות	3	compete, emulate, vie
לשקול	3	consider, weigh, deliberate
לאור	3	due to, considering, in light of
שוליים	3	edge, margin, fringes
חיצוני	3	external, outer, exterior
קטלני	3	fatal, mortal, lethal
לתבל	3	flavor, spice, season
לייצר	3	generate, produce, induce
הפרעה	3	glitch, disturbance, disruption
חשיבות	3	importance, significance, magnitude
סביר	3	likely, probable, plausible
להתנגד	3	object, resist, dissent
התנגדות	3	opposition, resistance, objection
לפרסם	3	post, publish, advertise
מתאים	3	proper, suitable, appropriate
גזע	3	race, breed, stem
קרן	3	ray, fund, beam
קצב	3	rhythm, butcher, pace
ערבה	3	savanna, bush, wilderness
לכן	3	therefore, thus, hence
להתייחס	3	treat, relate, regard
לאחד	3	unite, unify, consolidate
נוף	3	view, landscape, scenery
להחליש	3	weaken, impair, undermine
להפעיל	3	activate, operate, exert
לסייע	3	aid, assist, facilitate
דחף	3	boost, impulse, urge
אכזרי	3	cruel, harsh, oppressive
מידה	3	degree, proportion, gauge
להעסיק	3	employ, engage, occupy
מאפיין	3	feature, characteristic, attribute
להמציא	3	invent, innovate, devise
להתאמץ	3	labor, strain, exert
מחסור	3	lack, shortage, deficiency
קטן	3	minor, fine, petty
הבחנה	3	observation, discrimination, distinction
מרד	3	rebellion, revolt, uprising
לשחזר	3	restore, reconstruct, recreate
מקלט	3	shelter, refuge, sanctuary
תומך	3	supportive, advocate, proponent
לזלזל	3	underestimate, disparage, scorn
לטעון	3	argue, maintain, contend
להניח	3	assume, figure, presume
נרחב	3	broad, extensive, vast
מועמד	3	candidate, nominated, applicant
מוחשי	3	concrete, vivid, tangible
לקשט	3	decorate, adorn, embellish
לצמצם	3	decrease, condense, diminish
מסור	3	dedicated, saw, staunch
לחנך	3	discipline, educate, nurture
עמום	3	dull, dim, lackluster
קלוש	3	faint, dim, flimsy
להסיק	3	figure, conclude, deduce
ימי	3	marine, naval, maritime
להגר	3	migrate, immigrate, emigrate
מיושן	3	old-fashioned, outdated, obsolete
לחדש	3	renew, innovate, renovate
לסגת	3	retreat, withdraw, yield
מין	3	species, breed, genus
לחזק	3	strengthen, reinforce, fortify
תמצית	3	summary, extract, essence
דיוק	3	accuracy, precision, veracity
בוטה	3	explicit, flagrant, stark
להשפיל	3	humble, humiliate, demean
מכוון	3	intentional, oriented, deliberate
מרווח	3	margin, spacious, span
סחורה	3	merchandise, goods, commodity
עבירה	3	offense, violation, infraction
לאכלס	3	populate, occupy, inhabit
לשמר	3	preserve, conserve, embalm
לפקח	3	supervise, oversee, administer
הישג	3	accomplishment, merit, feat
לערער	3	appeal, dispute, undermine
לתעב	3	despise, abhor, loathe
לרסן	3	moderate, restrain, inhibit
הזנחה	3	neglect, negligence, omission
לשגשג	3	prosper, flourish, thrive
לוותר	3	forfeit, yield, concede
לגרום	3	induce, prompt, render
לשאוף	3	strive, aspire, endeavor
זלזול	3	disdain, disparagement, scorn
