w1478	העתק	שכפול	דגם
w2407	זהירות	אזהרה	להזהיר
w3854	לפסק	להדגיש	-
w1277	להעז	אתגר	-
w0342	להודות	-	-
w0448	ממתק	סוכריה	-
w2515	משלחת	מסע	-
w0830	אמיץ	להתמודד	-
w0439	להתחיל	-	-
w1078	תגובה	-	-
w1374	מיד	תכף	-
w2552	להסס	-	-
w0712	כסף	כסוף	-
w3306	מכובד	נערץ	-
w1892	לספק	להשביע רצון	-
w2989	שליטה	מומחיות	-
w0394	צעיר	-	-
w3456	שגשוג	שפע	-
w1163	מלכודת	ללכוד	-
w1543	מתרגם	-	-
w2208	אופן	דרך	-
w0656	חיית מחמד	ללטף	-
w3403	יומיומי	שגרתי	-
w1519	שקיעה	-	-
w1761	לסיכום	לסיום	-
w2889	לשפר	להעצים	-
w1875	התנגדות	עמידות	-
w1684	להגדיר	-	-
w0762	משולש	לשלש	-
w3489	היקף	טווח	-
w2934	מסוכן	-	-
w0411	לפני	-	-
w3811	עקשן	-	-
w2202	כבודה	מזוודה	-
w3778	מצער	עגום	-
w2147	אבק שריפה	-	-
w2211	מתמטיקאי	-	-
w0022	מסביב	בערך	-
w1800	בינתיים	-	-
w0425	לבקש	-	-
w0930	שדה	תחום	-
w2635	סקר	קלפי	-
w3253	עצה	לייעץ	עורך דין
w2410	להבהיר	-	-
w2374	דיוק	-	-
w2872	מובהק	נבדל	-
w1063	מוצר	תוצר	-
w1978	התעללות	להתעלל	שימוש לרעה
w0416	לאורך	יחד עם	-
w3616	תמציתי	קצר	-
w2943	לייליל	יללה	-
w0170	יהודי	-	-
w0167	בפנים	פנים	-
w3678	יומי	-	-
w1528	להתרחש	להתקיים	-
w0032	לפני	-	-
w0180	לצחוק	צחוק	-
w3829	רדיפה	-	-
w1234	עד עכשיו	-	-
w1000	להוביל ל	לגרום ל	-
w0024	כמו	כפי ש	-
w0851	תרדמת	-	-
w2144	בוגר	לסיים לימודים	-
w3420	לנבוע	ליזום	-
w3574	אף על פי	למרות ש	-
w0769	לפתוח	לשחרר	-
w2851	לרדת	לסרב	ירידה
w0725	מהירות	למהר	-
w2375	האשמה	-	-
w1649	אקלים	-	-
w0886	גורל	ייעוד	-
w2654	לרעוד	רעידת אדמה	-
w0311	שלג	לרדת שלג	-
w1467	הקלטה	-	-
w3250	להתכתב	להתאים	-
w0235	מעל	נגמר	-
w1324	פיה	-	-
w3105	כנות	-	-
w0246	אדם	גוף	-
w3233	להבין	-	-
w0279	לרכוב	נסיעה	-
w3153	לרצות	מבוקש	-
w3599	לחזק	לתמוך	-
w2782	דמי כיס	הקצבה	-
w1746	נכדה	-	-
w0753	זעיר	קטנטן	-
w1891	סיפוק	שביעות רצון	-
w2234	להתרחש	לקרות	-
w2795	להרכיב	להתאסף	-
w0212	קרוב	ליד	-
w1694	יומן	-	-
w3339	חתן	לטפח	-
w3810	מעורפל	להסתיר	-
w2372	קבלה	-	-
w0131	ממשלה	-	-
w0412	מטוס	-	-
w1563	קורבן	-	-
w1687	של שיניים	דנטלי	-
w2008	להניח	לקחת על עצמו	-
w0647	חבילה	לארוז	-
w3855	נוטה לריב	קנטרן	-
w2475	הבחנה	הצטיינות	-
w0507	אקולוגי	סביבתי	-
w1164	טיפול	יחס	-
w0350	דרך	באמצעות	-
w1010	תרופה	רפואה	-
w2961	לחדור	-	-
w0390	נפלא	נהדר	-
w1292	לשלוט	להשתלט	-
w3086	לרסן	לעצור	-
w2051	דאגה	עניין	להדאיג
w0134	קבוצה	-	-
w3841	עופות	-	-
w1762	הכנסה	-	-
w1773	שיגעון	טירוף	-
w0614	נפשי	שכלי	-
w0427	סוף סוף	-	-
w1824	חמצן	-	-
w3769	מרד	התקוממות	-
w3104	תצפית	איתור	-
w3620	להתייעץ	להעניק	-
w1627	לשאת	לסבול	ללדת
w0355	לגעת	מגע	-
w1717	יוצא דופן	חריגה	-
w3746	הגמוניה	שליטה	-
w3171	לנהל	להעניק	-
w1677	סקרנות	-	-
w3149	הפרה	עבירה	-
w2237	מיושן	-	-
w3370	בירור	חקירה	-
w2656	מסילת ברזל	רכבת	-
w0595	חוקי	משפטי	-
w3005	חפרפרת	שומה	מרגל
w3119	פשוט	ישיר	-
w0655	אחוז	-	-
w1639	שטיח	-	-
w0107	פחד	לפחד	-
w1632	בריון	להציק	-
w1596	לאשר	-	-
w3482	נוקשה	קשיח	-
w3465	בקלות	ברצון	-
w3488	לראות	משור	-
w1883	לצלות	צלי	-
w2040	סגירה	סיום	-
w0913	ציוד	-	-
w3271	הזיה	אשליה	-
w1189	יתרון	-	-
w2661	לשחזר	ליצור מחדש	-
w2388	עתיק	עתיקה	-
w3580	מוצא	שושלת	-
