id	v
M1360.1978	כ
M1361.1979	ל
M1363.1982	כ
M1363.1983	כ
M1367.1989	ל
M1367.1990	ל
M1373.1995	כ
M1373.1996	ל
M1373.1997	ל
M1385.2011	כ
M1400.2028	כ
M1400.2029	כ
M1410.2037	ל
M1410.2038	ל
M1415.2044	ל
M1424.2048	ל
M1424.2049	ל
M1438.2068	ל
M1441.2070	כ
M1441.2071	כ
M1442.2075	ל
M1445.2083	כ
M1445.2084	ל
M1448.2088	כ
M1448.2089	ל
M1448.2090	כ
M1448.2091	כ
M1448.2092	ל
M1450.2094	ל
M1453.2098	ל
M1455.2101	כ
M1455.2102	ל
M1460.2108	כ
M1460.2109	ל
M1460.2110	כ
M1460.2111	ל
M1460.2112	כ
M1469.2120	ל
M1469.2121	כ
M1476.2132	ל
M1476.2133	ל
M1476.2134	כ
M1476.2135	ל
M1480.2136	כ
M1484.2139	ל
M1490.2141	ל
M1490.2142	כ
M1493.2145	ל
M1496.2149	ל
M1496.2150	ל
M1500.2154	ל
M1502.2155	כ
M1502.2156	כ
M1502.2157	ל
M1509.2172	ל
M1509.2173	כ
M1509.2174	כ
M1509.2178	כ
M1509.2179	ל
M1509.2180	כ
M1509.2181	ל
M1511.2183	ל
M1515.2184	ל
M1515.2185	כ
M1515.2186	ל
M1515.2187	ל
M1515.2188	ל
M1516.2189	ל
M1517.2194	ל
M1522.2196	ל
M1522.2197	ל
M1522.2199	ל
M1522.2200	ל
M1527.2209	ל
M1527.2210	ל
M1536.2231	ל
M1538.2234	כ
M1538.2235	ל
M1538.2236	כ
M1538.2237	כ
M1538.2238	כ
M1566.2273	ל
M1566.2274	ל
M1571.2276	ל
M1578.2286	ל
M1578.2288	ל
M1579.2289	ל
M1582.2291	ל
M1603.2326	ל
M1605.2329	ל
M1607.2336	ל
M1622.2348	ל
M1631.2352	כ
M1631.2353	ל
M1640.2363	ל
M1640.2364	כ
M1653.2381	ל
M1655.2382	ל
M1655.2383	ל
M1662.2397	ל
M1663.2398	ל
M1671.2406	ל
M1672.2407	ל
M1678.2418	כ
M1678.2419	כ
M1682.2420	ל
M1685.2423	ל
M1688.2426	ל
M1690.2429	כ
M1690.2430	כ
M1694.2432	ל
M1698.2435	ל
M1705.2442	ל
M1708.2443	ל
M1709.2445	ל
M1713.2447	ל
