w2692	חלוק	גלימה	-
w2906	בסדר	קנס	עדין
w2255	להתיר	רישיון	-
w3424	להתעלם	להשקיף	-
w0231	פתוח	לפתוח	-
w0506	הד	להדהד	-
w0289	בית ספר	להקה	-
w0318	מיוחד	מבצע	-
w0715	עור	-	-
w0918	להחליף	חילופין	בורסה
w3719	תנודה	-	-
w3696	מכלאה	נספח	-
w2114	מדי פעם	-	-
w0787	עץ	יער	-
w0829	תחתית	ישבן	-
w3942	קולני	-	-
w0062	קר	הצטננות	-
w3036	הולך רגל	שגרתי	-
w1153	לקשור	עניבה	תיקו
w0545	למצוא	לייסד	-
w3547	תנועה	-	-
w2918	יתר על כן	-	-
w3935	מוחלט	לבטא	-
w1281	למסור	לספק	ליילד
w0668	מצגת	הצגה	-
w1591	אחר כך	-	-
w0710	כתף	לשאת	-
w1871	לדרוש	להצריך	-
w2988	טבח	לטבוח	-
w0826	לחסום	גוש	-
w3267	מחסור	ליקוי	-
w0695	שורש	להשתרש	-
w0574	אם כך	-	-
w3382	אחרון	-	-
w3101	לנפץ	להתנפץ	-
w1140	בוודאי	-	-
w3229	דומה	בר השוואה	-
w3562	שבח	לשבח	-
w0617	להחמיץ	להתגעגע	לפספס
w0858	שלם	להשלים	-
w2205	דוור	-	-
w1360	מצחיק	הומוריסטי	-
w3752	טבילה	-	-
w1274	יצור	-	-
w3018	רב	-	-
w1827	מקביל	מקבילה	-
w3672	לזלזל	להשמיץ	-
w3467	אחורי	לגדל	-
w0773	להשתמש	שימוש	-
w1938	שטח	טריטוריה	-
w1490	לחפש	לבקש	-
w2166	חוסר פעילות	-	-
w1797	מותרות	פאר	-
w2346	אינספור	בלתי ספיר	-
w2135	בר מזל	-	-
w2276	רכוש	נכס	תכונה
w0997	אגם	-	-
w0408	אחרי הכל	-	-
w0567	להסתתר מ	-	-
w2465	להכתיב	ציווי	-
w1972	לשרוק	משרוקית	שריקה
w1769	להודיע	-	-
w3310	להצטיין	-	-
w2895	לנשוף	-	-
w2556	זהה	-	-
w2031	לשדר	שידור	-
w2805	גבול	-	-
w0208	הר	-	-
w3675	להפיץ	-	-
w0113	למצוא	מציאה	-
w0849	מטבע	לטבוע	-
w2077	דמוגרפי	פלח אוכלוסייה	-
w0185	אור	קל	להדליק
w1776	מכון	לייסד	-
w3478	מדכא	-	-
w2745	לא שגרתי	-	-
w1381	תווית	לתייג	-
w1143	לשרוד	-	-
w3344	סכנה	מפגע	-
w0461	כרוני	-	-
w1705	לחסל	להסיר	-
w0285	מלח	להמליח	-
w2494	להדגיש	-	-
w3092	להיפטר מ	-	-
w2622	תוצאה	-	-
w3401	עובש	תבנית	לעצב
w3359	לא מובן	-	-
w0733	לגנוב	-	-
w1282	להסתמך על	-	-
w3020	תזונה	-	-
w2397	זמינות	-	-
w0867	עלות	לעלות	-
w3834	לצנוח	-	-
w3557	חשבונייה	-	-
w0262	כנראה	-	-
w2611	משא ומתן	-	-
w2903	עייפות	לעייף	-
w1195	בסך הכל	-	-
w2677	שיפוץ	-	-
w1395	שיווק	-	-
w0915	מדויק	-	-
w2055	הודאה	וידוי	-
w2957	חוסר כשירות	-	-
w3642	התרסה	מרי	-
w0750	מס	למסות	-
w2562	חסין	-	-
w0639	מעל	בנוסף ל	-
w0361	עד	-	-
w2637	לאכלס	-	-
w2814	בית קברות	-	-
w2578	לפרש	לתרגם	-
w2723	מעולה	-	-
w0977	מדהים	לא ייאמן	-
w1406	אנדרטה	-	-
w2859	ייאוש	להתייאש	-
w1326	אמונה	-	-
w1652	מסחרי	פרסומת	-
w3085	שיקום	שחזור	-
w2948	לחקות	-	-
w2732	שטח	-	-
w3412	לציין	ידוע	-
w0146	סוס	-	-
w2091	משעמם	קהה	עמום
w3023	מכשול	-	-
w2487	גמד	להאפיל על	-
w0043	מוח	-	-
w2241	להתנגד	-	-
w3615	משותף	מתואם	-
w3944	להסתיר	לעכב	-
w0190	מזל	-	-
w1715	חיוני	הכרחי	-
w0152	אנושי	אדם	-
w0410	תוקפני	-	-
w2406	רשלני	-	-
w3334	מבט חטוף	להבחין	-
w3535	להתפתח	לפרוש	-
w2561	להגר	-	-
w1484	מחוספס	גס	קשה
w3326	שטף	-	-
w3782	רגוע	בנחת	-
w3601	כן	גלוי לב	-
w0799	שחקנית	-	-
w3082	להידמות ל	-	-
w0417	יחד עם	-	-
w2371	להאיץ	-	-
w3907	מאבק	סכסוך	-
w0803	הסכם	-	-
w3358	תמריץ	-	-
w1697	מחוז	אזור	-
w3045	חלוץ	לפרוץ דרך	-
