q	src	score	tags
207	mid5#16	7	אדוורסרי-FAIL|שני פותרי רב-ברירה|פותרי קלוז
33	aca7#6	6	אדוורסרי-FAIL|שני פותרי רב-ברירה
160	adv8#24	6	אדוורסרי-FAIL|שני פותרי רב-ברירה
97	adv6#16	4	אדוורסרי-FAIL|פותרי קלוז
11	aca6#11	3	אדוורסרי-FAIL
30	aca7#3	3	שני פותרי רב-ברירה
32	aca7#5	3	אדוורסרי-FAIL
37	aca7#10	3	אדוורסרי-FAIL
58	aca8#4	3	שני פותרי רב-ברירה
80	aca8#26	3	אדוורסרי-FAIL
87	adv6#6	3	אדוורסרי-FAIL
100	adv6#19	3	אדוורסרי-FAIL
153	adv8#17	3	אדוורסרי-FAIL
193	mid5#2	3	אדוורסרי-FAIL
212	mid5#21	3	שני פותרי רב-ברירה
227	mid6#8	3	אדוורסרי-FAIL
42	aca7#15	1	פותרי קלוז
94	adv6#13	1	פותרי קלוז
101	adv6#20	1	פותרי קלוז
110	adv7#1	1	פותרי קלוז
174	base4#11	1	פותרי קלוז
213	mid5#22	1	פותרי קלוז
