מנורמל	ייצוג	סיבה	הערה	מנה
מאידך	מאידך	דחייה: ארמית	ספק: מילית-קישור ממקור ארמי (אידך), שגורה בעברית הכתובה	j-20
ניחא	ניחא	דחייה: ארמית		j-24
איה	איה	דחייה: הומוגרף	ספק: עוף דורס / מילת-שאלה / שם פרטי — לא מוכרע מההקשר	j-07
אימת	אימת	דחייה: הומוגרף	ספק: אִמֵּת (פועל) או אֵימַת (נסמך אֵימָה) — לא מוכרע	j-07
ארז	ארז	דחייה: הומוגרף	ספק: פועל אָרַז / עץ אֶרֶז / שם פרטי — לא מוכרע	j-07
גינה	גינה	דחייה: הומוגרף	ספק: כשם-עצם (גִּנָּה=גן קטן) שכיחה, כפועל גִּנָּה שורשו ג-נ-ה כבר במאגר (close:גנה) — נדחה בכל קריאה, ואין הכרעה מהציטוטים	j-01
דרשה	דרשה	דחייה: הומוגרף	ספק: דְּרָשָׁה (נאום) או דָּרְשָׁה (פועל) — אין הקשר מכריע	j-09
המחאה	המחאה	דחייה: הומוגרף	ספק: הַמְחָאָה (שטר) / מֶחָאָה — אין בציטוט הקשר מכריע	j-11
המלכה	המלכה	דחייה: הומוגרף	ספק: הַמְלָכָה/הַמַּלְכָּה — בשתי הקריאות שקופה או שכיחה	j-11
להתעבר	להתעבר	דחייה: הומוגרף	ספק: הרתה/כעס — אין בציטוט הקשר מכריע	j-18
למחות	למחות	דחייה: הומוגרף	ספק: מָחָה=הביע מחאה (שכיחה) או מָחָה=מחק (ספרותית) — אין משפט להכרעה	j-19
לפסק	לפסק	דחייה: הומוגרף	ספק: לְפַסֵּק (פיסוק) או לִפְסֹק (כתיב חסר) — אין הקשר להכרעה	j-19
לצוות	לצוות	דחייה: הומוגרף	ספק: לְצַוֵּת, לְצַוּוֹת או ל+צֶוֶת — אין הקשר להכרעה	j-19
לקלות	לקלות	דחייה: הומוגרף	ספק: ל+קַלּוּת או לִקְלוֹת (לייבש בחום) — אין משפט להכרעה	j-19
לרצות	לרצות	דחייה: הומוגרף	ספק: לִרְצוֹת (לחפוץ) / לְרַצּוֹת (לפייס) / לִרְצוֹת עונש — אין הקשר מכריע	j-20
לשום	לשום	דחייה: הומוגרף	ספק: לָשׁוּם (להעריך שווי) / ל+שׁוּם — אין הקשר מכריע	j-20
מחילה	מחילה	דחייה: הומוגרף	ספק: סליחה (מ-ח-ל, שורש קיים) או מנהרה — אי-אפשר להכריע מהציטוטים	j-02
ממיטת	ממיטת	דחייה: הומוגרף	ספק: מ+מיטת או נטיית הֵמִיט — אין הקשר מבחני להכרעה	j-22
מפירות	מפירות	דחייה: הומוגרף	ספק: מ+פֵּרוֹת או נטיית הֵפֵר — אין הקשר מכריע	j-23
מפלה	מפלה	דחייה: הומוגרף	ספק: מַפָּלָה או מַפְלֶה — אין הקשר מכריע	j-23
מפנה	מפנה	דחייה: הומוגרף	ספק: מִפְנֶה או מְפַנֶּה — אין הקשר מכריע	j-23
מצרה	מצרה	דחייה: הומוגרף	ספק: מ+צָרָה או מְצֵרָה — אין הקשר מכריע	j-23
ניצים	ניצים	דחייה: הומוגרף		j-24
עזה	עזה	דחייה: הומוגרף	ספק: עַזָּה (נקבת עַז) או שם המקום; אפשרות השלמה ללא הקשר מכריע	j-26
עטו	עטו	דחייה: הומוגרף	ספק: עֵטוֹ (קניין של עֵט) או עָטוּ (עָטָה); אין הקשר מכריע	j-26
ערער	ערער	דחייה: הומוגרף	ספק: עִרְעֵר (פועל) או עַרְעָר (שיח) — אין הכרעה מהציטוטים	j-05
פיה	פיה	דחייה: הומוגרף	ספק: פֵיָה/פִּיָּה/פִּיהָ — אין הכרעה מההקשר המבחני	j-27
פרס	פרס	דחייה: הומוגרף	ספק: פרס-הגמול השכיח או פרס-העוף הדורס; רגל בש5 עשויה להיות העוף, ואין הקשר מכריע	j-06
קרס	קרס	דחייה: הומוגרף		j-28
רימה	רימה	דחייה: הומוגרף	ספק: רִמָּה (הוֹנָה) או רִמָּה (תולעת) — אין ציטוט מכריע, וגם close:רמה	j-29
ריקם	ריקם	דחייה: הומוגרף	ספק: רֵיקָם (בידיים ריקות) או רִקֵּם בכתיב מלא — אין משפט מכריע	j-29
שיער	שיער	דחייה: הומוגרף	ספק: שִׁעֵר (העריך) מול שֵׂעָר — מסיח חשוף בלי הקשר מכריע	j-30
שפך	שפך	דחייה: הומוגרף	ספק: שֶׁפֶךְ (מוצא נהר) היה מועמד ראוי, אך כמסיח חשוף אין הכרעה מול שָׁפַךְ	j-30
תיקן	תיקן	דחייה: הומוגרף	ספק: הפועל השכיח 'תיקן' או שם החרק; ההקשר המבחני שנמסר לא מכריע	j-06
תקיפות	תקיפות	דחייה: הומוגרף	ספק: תַּקִּיפוּת או ריבוי של תְּקִיפָה — אין הקשר מכריע	j-31
אקרן	אקרן	דחייה: לועזית		j-07
באיקס	באיקס	דחייה: לועזית		j-07
בוטניקה	בוטניקה	דחייה: לועזית		j-08
גלקסיה	גלקסיה	דחייה: לועזית		j-09
הבבונג	הבבונג	דחייה: לועזית	ספק: שאילה זרה (בבונג = קמומיל), לא נלמדת כאוצר מילים	j-10
המיסטית	המיסטית	דחייה: לועזית		j-11
לדופמין	לדופמין	דחייה: לועזית		j-17
מתמטיקה	מתמטיקה	דחייה: לועזית		j-23
פדנטיות	פדנטיות	דחייה: לועזית		j-26
פופולריים	פופולריים	דחייה: לועזית		j-26
פילוסופיה	פילוסופיה	דחייה: לועזית		j-27
פפריקה	פפריקה	דחייה: לועזית		j-27
רוגטקה	רוגטקה	דחייה: לועזית		j-28
רלוונטיות	רלוונטיות	דחייה: לועזית		j-29
רציונליים	רציונליים	דחייה: לועזית		j-29
תיאטרון	תיאטרון	דחייה: לועזית		j-31
לבזלת	לבזלת	דחייה: מקצועי	ספק: מונח גיאולוגי, אך אולי מוכר מלימודי גיאוגרפיה	j-17
אביו	אביו	דחייה: נטייה		j-02
אותך	אותך	דחייה: נטייה		j-07
איני	איני	דחייה: נטייה		j-07
איננו	איננו	דחייה: נטייה		j-07
אישיותו	אישיותו	דחייה: נטייה		j-02
אליהם	אליהם	דחייה: נטייה		j-01
אליו	אליו	דחייה: נטייה		j-07
באדישותו	באדישותו	דחייה: נטייה		j-07
באדישותן	באדישותן	דחייה: נטייה		j-07
בהוריו	בהוריו	דחייה: נטייה		j-07
בהחלטותיו	בהחלטותיו	דחייה: נטייה		j-07
בחובות	בחובות	דחייה: נטייה		j-08
בחודשים	בחודשים	דחייה: נטייה		j-08
בחוק	בחוק	דחייה: נטייה		j-08
בחיבוק	בחיבוק	דחייה: נטייה		j-08
בטענה	בטענה	דחייה: נטייה		j-08
בידינו	בידינו	דחייה: נטייה		j-08
בילדיו	בילדיו	דחייה: נטייה		j-08
בינו	בינו	דחייה: נטייה		j-08
בכיפה	בכיפה	דחייה: נטייה	ספק: ככל הנראה שבר מהניב מושל בכיפה	j-08
בכנס	בכנס	דחייה: נטייה		j-08
בלשכת	בלשכת	דחייה: נטייה		j-08
במבחן	במבחן	דחייה: נטייה		j-08
במבנים	במבנים	דחייה: נטייה		j-08
במדיניותו	במדיניותו	דחייה: נטייה		j-08
במוח	במוח	דחייה: נטייה		j-08
במוקדם	במוקדם	דחייה: נטייה		j-08
במוקדמת	במוקדמת	דחייה: נטייה		j-08
במידה	במידה	דחייה: נטייה		j-08
במידת	במידת	דחייה: נטייה	ספק: צורת נסמך עם ב' (שבר צירוף "במידת ה..."); הלמה מִדָּה שכיחה ממילא	j-01
במכתב	במכתב	דחייה: נטייה		j-08
בממסד	בממסד	דחייה: נטייה		j-08
במערכת	במערכת	דחייה: נטייה		j-08
במצבם	במצבם	דחייה: נטייה		j-08
במרבית	במרבית	דחייה: נטייה		j-08
בנו	בנו	דחייה: נטייה		j-08
בניסויים	בניסויים	דחייה: נטייה		j-08
בניסיונו	בניסיונו	דחייה: נטייה		j-08
בניסיוני	בניסיוני	דחייה: נטייה		j-08
בנסיעה	בנסיעה	דחייה: נטייה		j-08
בסגנון	בסגנון	דחייה: נטייה		j-08
בסופו	בסופו	דחייה: נטייה		j-08
בעוני	בעוני	דחייה: נטייה		j-08
בעין	בעין	דחייה: נטייה		j-08
בעיניי	בעיניי	דחייה: נטייה		j-01
בעישון	בעישון	דחייה: נטייה		j-08
בעשור	בעשור	דחייה: נטייה		j-08
בעשורים	בעשורים	דחייה: נטייה		j-08
ברוב	ברוב	דחייה: נטייה		j-08
דינה	דינה	דחייה: נטייה	ספק: נטיית קניין של דין ("דינה של...") או שם פרטי	j-09
דמותו	דמותו	דחייה: נטייה		j-09
דרישתה	דרישתה	דחייה: נטייה		j-09
דרישתו	דרישתו	דחייה: נטייה		j-09
הובס	הובס	דחייה: נטייה		j-10
הובסו	הובסו	דחייה: נטייה		j-10
הודגש	הודגש	דחייה: נטייה		j-10
הודגשה	הודגשה	דחייה: נטייה		j-10
הוחרב	הוחרב	דחייה: נטייה		j-10
הוכה	הוכה	דחייה: נטייה		j-10
הוכשל	הוכשל	דחייה: נטייה		j-10
הוכתר	הוכתר	דחייה: נטייה		j-10
הוצאותיהם	הוצאותיהם	דחייה: נטייה		j-10
הוראתה	הוראתה	דחייה: נטייה		j-10
הורד	הורד	דחייה: נטייה		j-10
החלטתה	החלטתה	דחייה: נטייה		j-10
הייתי	הייתי	דחייה: נטייה		j-01
היכרותי	היכרותי	דחייה: נטייה		j-10
