# למה	שורש	פירוש	יחידה	ציטוט	מקורות
הִתְוַדָּה	י-ד-ה	הודה במעשיו, חשף את סודו	7	spring_2025·פרק2·ש5·רגל	ויקימילון
חֲבַרְבּוּרָה	-	כתם בעור של בעל חיים	7	spring_2022·פרק2·ש5·רגל	מילוג
כּוֹרֵם	כ-ר-מ	מגדל ענבים, בעל מטע גפנים	7	autumn_2025·פרק2·ש3·מסיח 4	ויקימילון
עָמַד מִלֶּכֶת	ע-מ-ד	נעצר, חדל לפעול	7	2020_summer·פרק1·ש3·מסיח 1	מילוג
אֶבֶן מַשְׁחֶזֶת	ש-ח-ז	מתקן לחידוד סכינים וכלי מתכת	9	summer_2024·פרק2·ש4·רגל	ויקימילון
אַכְסַנְיָה	-	פונדק, מקום לינה לאורחים	8	autumn_2024·פרק1·ש1·רגל	ויקימילון
אָסִיף	א-ס-פ	כינוס היבול מן השדה	10	summer_2023·פרק2·ש6·מסיח 4	ויקימילון
אִצְטַבָּה	-	מדף, משטח להנחת כלים	8	spring_2023·פרק2·ש3·רגל	ויקימילון
בְּלֵית בְּרֵרָה	-	כשאין דרך אחרת	9	summer_2026·פרק2·ש4·מסיח 2	ויקימילון
בַּלְשָׁנוּת	ב-ל-ש	מדע הלשון, חקר השפות	9	summer_2023·פרק2·ש5·מסיח 1	ויקימילון
בְּנָקֵל	ק-ל-ל	בלי שום מאמץ	10	summer_2021·פרק1·ש6·רגל	מילוג
בֵּרֵא	ב-ר-א	גדע עצים, פינה שטח מיער	8	summer_2021·פרק2·ש2·רגל	ויקימילון+מילוג
בְּשִׁוְיוֹן נֶפֶשׁ	ש-ו-ה	באדישות, בלי התרגשות	8	autumn_2024·פרק2·ש2·מסיח 4	מילוג
גַּבְשׁוּשִׁי	ג-ב-ש	מלא בליטות, לא חלק	10	summer_2021·פרק2·ש6·מסיח 4	מילוג
גַּת	-	מקום סחיטת ענבים להכנת יין	10	spring_2025·פרק2·ש6·מסיח 2	ויקימילון+מילוג
דַּקְדְּקָן	ד-ק-ד-ק	קפדן, מדייק בפרטים הקטנים	9	autumn_2024·פרק1·ש4·מסיח 2	מילוג
הִגִּיעַ לְפִרְקוֹ	פ-ר-ק	בגר והיה ראוי להינשא	10	2020_summer·פרק2·ש6·מסיח 1	מילוג
הִכְפִּישׁ	כ-פ-ש	השמיץ, פגע בשמו הטוב	10	2020_summer·פרק1·ש6·מסיח 1	ויקימילון
הִלְבִּין אֶת פָּנָיו	ל-ב-נ	בייש אותו והשפילו ברבים	10	autumn_2023·פרק1·ש6·מסיח 1	מילוג
הֵסִית	ס-ו-ת	עורר אחרים למעשה רע	10	2020_summer·פרק1·ש6·מסיח 3	ויקימילון
הֶעֱלָה מִתְּהוֹם הַנְּשִׁיָּה	נ-ש-ה	החזיר לתודעה דבר שנשכח	10	spring_2025·פרק1·ש6·רגל	מילוג+חיפוש
הֶרֶף עַיִן	-	פרק זמן זעיר, רגע	10	summer_2021·פרק1·ש6·מסיח 2	מילוג
הַשָּׂגָה	נ-ש-ג	הבנה, קליטה בשכל; ערעור, טענת נגד	10	2020_autumn·פרק1·ש6·מסיח 2	ויקימילון
הִתְעַרְטֵל	ע-ר-ט-ל	התפשט, נותר בעירום	8	summer_2022·פרק2·ש2·רגל	מילוג
זָרָה חוֹל בְּעֵינָיו	ז-ר-ה	הטעה אותו בכוונה, רימה	8	summer_2022·פרק1·ש3·מסיח 1	חיפוש
חָזַר לְסוּרוֹ	-	שב אל הרגליו הרעים	9	2019_spring·פרק2·ש13·אפשרות ?	חיפוש
חָצִיר	ח-צ-ר	עשב שדה הניתן כמזון לבהמות	8	2020_autumn·פרק1·ש3·מסיח 2	ויקימילון
חֵרֵף אֶת נַפְשׁוֹ	ח-ר-פ	סיכן את חייו	9	2020_spring·פרק2·ש5·מסיח 3	מילוג
חָשַׁק אֶת שִׁנָּיו	ח-ש-ק	כבש את כעסו, הבליג	10	autumn_2023·פרק1·ש6·מסיח 2	מילוג
יָדוֹ לֹא הָיְתָה מַשֶּׂגֶת	-	לא היה לו די כסף לכך	10	2020_winter·פרק2·ש6·מסיח 1	חיפוש
יִשֵּׁר אֶת הַהֲדוּרִים	י-ש-ר	השכין שלום בין צדדים יריבים	10	2020_summer·פרק2·ש6·מסיח 3	ויקימילון
לֹא הָיְתָה לוֹ יָד בַּדָּבָר	-	לא היה מעורב בעניין	10	2020_winter·פרק2·ש6·מסיח 2	חיפוש
לוּלְיָנִי	-	מתפתל בצורת סליל, ספירלי	10	summer_2021·פרק2·ש6·רגל	מילוג
לְרוֹעֵץ	ר-ע-צ	למכשול, לרעה (היה לו לרועץ)	9	2019_winter·פרק1·ש13·אפשרות ?	מילוג
מִגְדַּל קְלָפִים	-	דבר רעוע הצפוי להתמוטט	10	spring_2022·פרק1·ש6·רגל	ויקימילון
מַלְקוֹשׁ	ל-ק-ש	גשם מאוחר בסוף החורף	9	summer_2025·פרק2·ש5·מסיח 4	ויקימילון
מַפְלִיא מַכּוֹתָיו	פ-ל-א	מרביץ לו בחוזקה, חובט בו	9	summer_2025·פרק1·ש4·מסיח 3	מילוג
מְקֻרְזָל	ק-ר-ז-ל	מסולסל, עשוי פיתולים קטנים (שיער מקורזל)	10	summer_2021·פרק2·ש6·מסיח 3	שניהם
נָבוּל	נ-ב-ל	כמוש, שאיבד את רעננותו (פרח נבול)	9	autumn_2023·פרק1·ש4·מסיח 1	שניהם
נִשְׁבַּר מַטֵּה לַחְמוֹ	-	אבד לו מקור פרנסתו	9	summer_2024·פרק2·ש5·מסיח 1	ויקימילון+חיפוש
עוֹמֵד בְּעֵינוֹ	ע-מ-ד	נשאר בתוקף, לא השתנה	8	2020_summer·פרק1·ש3·מסיח 3	ויקימילון
עַל אַפּוֹ וְעַל חֲמָתוֹ	-	בניגוד לרצונו, למרות התנגדותו	8	autumn_2024·פרק2·ש2·מסיח 3	ויקימילון
עָנֹג	ע-נ-ג	עדין ומפונק, שאינו מורגל בקושי	10	summer_2025·פרק1·ש6·מסיח 3	ויקימילון
פִּיֵּס	פ-י-ס	הרגיע את הכועס והשלים עמו	10	winter_2023·פרק1·ש6·מסיח 4	ויקימילון
פִּלְבֵּל	פ-ל-ב-ל	הניע את עיניו לצדדים	9	spring_2022·פרק1·ש4·מסיח 4	מילוג
פָּסַע	פ-ס-ע	צעד, התקדם בהליכה	10	spring_2023·פרק2·ש6·מסיח 3	ויקימילון
פְּרִיטָה	פ-ר-ט	נגינה באצבעות על מיתרים; המרת שטר לכסף קטן	8	summer_2023·פרק2·ש2·מסיח 1	מילוג
פָּשַׁט יָד	פ-ש-ט	ביקש נדבה, קיבץ נדבות	8	summer_2026·פרק1·ש3·מסיח 4	ויקימילון+מילוג
צָרוּת עַיִן	צ-ר-ר	קנאה בטובת הזולת	9	autumn_2025·פרק2·ש5·מסיח 4	ויקימילון
קַו פָּרָשַׁת הַמַּיִם	פ-ר-ש	גבול בין אגני היקוות	9	winter_2022·פרק1·ש5·מסיח 1	ויקימילון+מילוג
קוֹלָר	-	רצועת צוואר לכלב או לאסיר; אשמה (תלה בו את הקולר)	9	spring_2023·פרק1·ש13·אפשרות 4	ויקימילון
קָצְרָה יָדוֹ מֵהוֹשִׁיעַ	ק-צ-ר	לא היה בכוחו לעזור	10	2020_winter·פרק2·ש6·רגל	מילוג
רַךְ לֵבָב	ל-ב-ב	ירא, נבהל בקלות	8	summer_2024·פרק2·ש1·מסיח 3	מילוג
שָׁטַח תַּחֲנוּנָיו	ש-ט-ח	התחנן, ביקש רחמים בהפצרה	9	autumn_2025·פרק1·ש5·רגל	מילוג
שָׁנוּי בְּמַחֲלֹקֶת	ש-נ-ה	מעורר ויכוח, לא מוסכם על הכול	9	spring_2023·פרק2·ש5·רגל	ויקימילון
שִׁנֵּס	ש-נ-ס	אסף את כוחותיו לקראת מאמץ (שינס מותניו)	9	2019_spring·פרק2·ש13·אפשרות ?	ויקימילון
שִׁנֵּעַ	ש-נ-ע	הוביל מטענים אל יעדם	9	2020_summer·פרק2·ש5·מסיח 1	מילוג
תְּבוּסְתָנוּת	ב-ו-ס	גישה של כניעה וייאוש מראש	10	2020_winter·פרק1·ש6·מסיח 4	מילוג
תָּחַם	ת-ח-ם	סימן גבול, הגביל שטח	9	summer_2023·פרק1·ש5·רגל	ויקימילון
הִלְשִׁין	ל-ש-נ	מסר מידע מפליל על אחר	9	spring_2025·פרק2·ש5·רגל	ויקימילון
