w2777	כללללכ	פועל תמיכה ושם התומך
w2735	ככ	סובלנות וסבילות פיזיולוגית
w2669	כלכ	בלי קשר ובכל זאת
w3017	ככל	חוסר תחושה ואיבר רדום
w3335	ככל	שלושה נרדפים, שניים לכל היותר
w3291	ככל	להתגורר ולהתעכב, לגור כפול
w2558	ככ	שני התרגומים המרכזיים
w3779	לללככל	מעידה ופקיעה, לפקוע נטייה
w3786	ככ	שנאה עזה, שני נרדפים
w3244	לככל	להוות ולהקים, מהווים נטייה
w3482	לככ	קשיח ונוקשה, מחמיר מובן אחר
w2874	ככ	שם עצם ופועל
w3876	כלכ	כיכר תנועה ותואר סיבובי
w2400	ככ	שם עצם ופועל
w2877	ככ	אלוהי, ולנחש מובן שני
w3436	ללככ	להוות איום ותנוחה
w3695	ככל	לצרף ולהקיף
w3234	ככ	שני נרדפים מרכזיים
w3223	כלכל	נסיבות ומצב, נסיבה יחיד
w3450	לככ	תקופת ניסיון ותקופת מבחן
w3347	לכ	כתיב מלא בלבד
w3097	ככ	יוצא ועומד
w3515	ככ	מעידה פיזית וכישלון
w2815	לכ	כתיב תקני בלבד
w3446	ככל	לרשום ולהורות
w3772	לככל	תמיד וללא יוצא מן הכלל
w3313	ככל	ניתן לוותר ומתכלה
w2570	ככ	שני תרגומים רווחים
w3237	לככ	לגנות ונידון
w3108	ככ	דק ורזה
w3833	כללכ	מצב קשה ומצוקה
w2545	כללכ	הכוונה והדרכה, הנהגה שגוי
w2640	לככ	לחזות ולנבא
w3435	ככל	לתאר ולגלם תפקיד
w2396	לככ	לאשר ולהסמיך
w3868	ללכלכ	להפוך ל- ולהגיש
w3099	כלכ	רגשות ודעה, רגש יחיד
w3791	ככ	שני שמות לאותה חיה
w3009	לכ	הדדית בלבד
w3341	כלכ	להאיץ ולמהר
w3098	ככ	הגיוני ונבון
w3511	כללללכל	מתח וזן, היתר נדירים
w3275	כלכל	לנבוע ולהפיק
w3076	לככ	לחזק ולתגבר
w2646	ככ	לקדם ולפרסם
w3533	כלכ	לקחת על עצמך ולהתחייב
w3522	לכ	צורת הסביל תואמת
w2589	ככ	שם עצם ופועל
w3367	ככל	לצרוך ולבלוע, השלישי הגדרה
w3719	לכ	תנודה, חוסר יציבות אחר
w2829	ככ	תעתיק ותרגום
w3640	כלכללל	תאריך ודייט
w2951	לככ	לכפות ולהטיל
w2922	ככל	מוצרים וסחורה, טובין משפטי
w2526	כלכ	עז ופראי
w3055	לכללכל	ראשי ומנהל בית ספר
w3336	כלכ	אדיב ונדיב
w3874	ככ	התעוררות ותחייה
w2771	ללככל	להכיר ולהודות ב-
w3837	כל	רב אוכלוסין בלבד
