מילה	יחידה	פירוש היום	פירוש מוצע	הסכמה	מחלקה	מצב	הערה
so long as	4	כל עוד	כל עוד; ובלבד ש	3/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
summits	7	פסגות	פסגות; ועידת פסגה	3/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
across	3	בצד השני, לרוחב	מעבר ל, בצד השני, לרוחב	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
assume	6	להניח	להניח; לקחת על עצמו	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
attempt	5	ניסיון	לנסות, ניסיון	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
awe	9	יראת כבוד	יראת כבוד; התפעלות	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
casual	4	אגבי, רגיל, יומיומי	לא רשמי, אגבי, רגיל, יומיומי; מזדמן	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
compost	7	זבל אורגני	קומפוסט, זבל אורגני	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
confess	6	להודות	להודות; להתוודות	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
crash	2	להתנגש, התנגשות	להתרסק, להתנגש, התנגשות	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
demographic	6	דמוגרפי	דמוגרפי; פלח אוכלוסייה	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
embitter	10	גורם התמרמרות	למרר, גורם התמרמרות	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
eminent	10	בולט, בכיר	נודע, בולט, בכיר	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
enclosure	10	סגירה, כיתור, שטח מגודר	סגירה, כיתור, שטח מגודר; נספח	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
experience	1	ניסיון, לחוות	ניסיון, לחוות; חוויה	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
fly	1	זבוב; לעוף	לטוס, זבוב; לעוף	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
gamble	6	הימר	להמר, הימר; הימור	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
giant	2	ענק	ענק; ענקי	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
habitat	8	סביבת מגורים	בית גידול, סביבת מגורים; סביבת מחיה	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
implicate	10	לסבך, לערב	להפליל, לסבך, לערב	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
indeed	4	בהחלט	אכן, בהחלט	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
interrupt	5	להפריע	להפריע; לקטוע	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
janitor	8	שרת	אב בית, שרת	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
joke	1	בדיחה	בדיחה; להתלוצץ	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
lame	5	צולע	צולע; גרוע	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
leader	2	מנהיג	מנהיג; מוביל	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
magnitude	8	גודל, חשיבות	גודל, חשיבות; עוצמה	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
officiate	10	לכהן, לערוך	לכהן, לערוך; לערוך טקס	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
premature	8	מוקדם מדי	מוקדם מדי; פג	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
purse	5	ארנק	ארנק; תיק יד	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
quarrelsome	10	וכחני	נוטה לריב, וכחני; קנטרן	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
rearing	10	גידול, טיפוח	גידול, טיפוח; להזדקף	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
report	1	דיווח, לדווח	דוח, דיווח, לדווח	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
resurgence	10	תחייה	התעוררות מחדש, תחייה	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
satisfaction	5	שביעות רצון	סיפוק, שביעות רצון	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
scatter	8	לפזר	לפזר; להתפזר	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
snow	1	שלג	שלג; לרדת שלג	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
spill	5	לשפוך	לשפוך; דליפה	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
spray	2	לרסס, לפזר	תרסיס, לרסס, לפזר	2/3	מובן נפוץ חסר	מוכן · אף ערך אחר אינו מחזיק את המובן	
standardize	9	לתקנן	לתקנן; להאחיד	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
surprise	1	הפתעה	הפתעה; להפתיע	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
sweet	1	מתוק, ממתק	מתוק, ממתק; חמוד	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
symptom	4	סימפטום	תסמין, סימפטום	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
ticket	1	כרטיס	כרטיס; דוח	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
tin	8	בדיל, עשוי מפח	פח, בדיל, עשוי מפח	2/3	פירוש שגוי	מוכן · אף ערך אחר אינו מחזיק את המובן	
unfortunate	5	מצער	מצער; ביש מזל	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
use	2	תועלת, תכלית; לנצל; להשתמש	תועלת, תכלית; לנצל; להשתמש; שימוש	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
visit	1	לבקר	לבקר; ביקור	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
warmth	5	חום	חום; חמימות	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
widespread	8	נפוץ	נפוץ; רחב היקף	2/3	פירוש צר מדי	מוכן · אף ערך אחר אינו מחזיק את המובן	
considerable	9	הרבה, רבות	ניכר, הרבה, רבות; משמעותי	3/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «משמעותי» מופיע גם אצל EN י5 significant · EN י6 capital
consistent	7	עקבי	עקבי; תואם	3/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «תואם» מופיע גם אצל EN י6 compatible
addition	5	תוספת, הוספה	תוספת, הוספה; חיבור	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «חיבור» מופיע גם אצל EN י6 joint
apparently	6	כנראה, מסתבר ש-	כנראה, מסתבר ש-; לכאורה	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לכאורה» מופיע גם אצל EN י4 theoretically · EN י9 apparent · HE י8 לְמַרְאִית עַיִן
area	1	אזור, תחום	אזור, תחום; שטח	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «שטח» מופיע גם אצל EN י5 territory · EN י7 terrain
ban	5	חרם, איסור	חרם, איסור; לאסור	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לאסור» מופיע גם אצל EN י5 forbid · EN י8 prohibit
blend	5	לערבב	למזג, לערבב; תערובת	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «למזג | תערובת» מופיע גם אצל EN י7 merge ; HE י5 בְּלִיל
bolster	10	לתמוך	לחזק, לתמוך	2/3	מובן נפוץ חסר	דורש שער המאגר	⚠ המובן «לחזק» מופיע גם אצל EN י6 strengthen · EN י8 reinforce · EN י9 fortify
commends	10	לציין לשבח	לשבח, לציין לשבח; להמליץ	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «לשבח | להמליץ» מופיע גם אצל EN י6 praise · EN י10 acclaim · EN י10 hail ; EN י3 recommend
comparable	9	בר-השוואה	דומה, בר-השוואה; בר השוואה	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «דומה» מופיע גם אצל EN י3 similar · EN י6 alike · EN י8 resemble
contrast	4	ניגוד; להוות ניגוד	ניגוד; להוות ניגוד; לעמת	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לעמת» מופיע גם אצל EN י7 confront
convene	10	לכנס	להתכנס, לכנס	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «להתכנס» מופיע גם אצל EN י10 congregate
counterpart	9	בעל תפקיד מקביל, עמית, בן-זוג	מקבילה, בעל תפקיד מקביל, עמית, בן-זוג	2/3	מובן נפוץ חסר	דורש שער המאגר	⚠ המובן «מקבילה» מופיע גם אצל EN י4 analog
dandy	10	גנדרני	גנדרן, גנדרני; מצוין	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «גנדרן | מצוין» מופיע גם אצל HE י5 קוֹקֵטִי ; EN י2 excellent · EN י5 outstanding · EN י8 fine
declare	6	להכריז	להכריז; להצהיר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «להצהיר» מופיע גם אצל EN י3 state · EN י7 certify · EN י9 assert
depend on	4	תלוי ב-	להסתמך על, תלוי ב-	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «להסתמך על» מופיע גם אצל EN י9 invoke
disagreement	4	חוסר הסכמה	אי הסכמה, חוסר הסכמה; חילוקי דעות	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «חילוקי דעות» מופיע גם אצל EN י9 differences · EN י10 dissent · HE י3 מַחֲלוֹקֶת
divinity	10	אלוהות	אלוהות; אל	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «אל» מופיע גם אצל EN י5 toward
drain	7	לנקז; ניקוז	לרוקן, לנקז; ניקוז	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «לרוקן» מופיע גם אצל EN י2 empty · EN י8 exhaust · EN י10 deplete
eliminate	5	לחסל, לפסול	לחסל, לפסול; להסיר	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «להסיר» מופיע גם אצל EN י2 remove
ensure	6	להבטיח	להבטיח; לוודא	2/3	פירוש צר מדי	דורש שער המאגר	⚠ המובן «לוודא» מופיע גם אצל EN י1 make sure · EN י5 verify · EN י7 insure
failure	3	כשלון	כישלון, כשלון; תקלה	2/3	פירוש שגוי	דורש שער המאגר	⚠ המובן «כישלון | תקלה» מופיע גם אצל HE י7 דֶּחִי ; EN י3 fault · EN י4 glitch
familiarize	9	להתוודע	להכיר, להתוודע	2/3	מובן נפוץ חסר	דורש שער המאגר	⚠ המובן «להכיר» מופיע גם אצל EN י1 know, knew · EN י3 recognize
