q	band	src	answer	words	blanks
1	בסיס	base#1	B	solve	1
2	מתקדם	v2#3	B	withdraw	1
3	מתקדם	adv4#13	A	halt|withstand	2
4	בסיס	base#6	B	pay	1
5	בסיס	base2#7	A	escape	1
6	אקדמי	aca2#2	B	revoke	1
7	מתקדם	adv3#5	A	conduct	1
8	מתקדם	adv#6	A	compensate	1
9	בינוני	mid3#11	B	ingredients	1
10	אקדמי	aca#1	B	amend	1
11	מתקדם	adv2#10	C	refuse|grant	2
12	מתקדם	adv#3	B	illustrate	1
13	בינוני	mid#8	A	equipment	1
14	אקדמי	aca3#9	B	saturated	1
15	מתקדם	adv5#13	D	dialect	1
16	מתקדם	adv3#3	B	erosion	1
17	מתקדם	adv3#1	D	diagnose	1
18	בינוני	mid3#9	D	boil	1
19	אקדמי	aca5#10	C	heed	1
20	מתקדם	adv5#3	D	accompany	1
21	בינוני	mid2#8	A	apply	1
22	בינוני	mid4#3	B	assignment	1
23	אקדמי	aca2#4	A	convene	1
24	מתקדם	adv5#12	B	emphasize|mention	2
25	בינוני	mid3#12	A	stream	1
26	מתקדם	adv#1	A	suspend	1
27	מתקדם	adv4#2	A	collapse	1
28	אקדמי	aca#7	C	concede	1
29	בינוני	mid#2	D	reject	1
30	בינוני	mid4#8	B	stamina	1
31	מתקדם	adv#5	C	hibernate	1
32	אקדמי	aca3#13	A	elusive	1
33	אקדמי	aca2#13	C	administer|specify	2
34	בינוני	mid2#2	C	valid	1
35	מתקדם	v2#5	D	cure	1
36	אקדמי	aca2#12	C	negotiate|enact	2
37	אקדמי	aca4#1	C	decipher	1
38	אקדמי	aca4#4	C	articulate	1
39	בינוני	mid#3	D	budget	1
40	מתקדם	adv2#1	A	appeal	1
41	בסיס	base3#4	D	bridge	1
42	מתקדם	adv3#10	C	melt|rise	2
43	בסיס	base2#3	A	mix	1
44	אקדמי	aca2#1	A	overhaul	1
45	אקדמי	aca2#6	C	uphold	1
46	אקדמי	aca4#3	C	legible	1
47	בינוני	mid#4	A	achieve	1
48	מתקדם	adv3#9	B	fragile	1
49	מתקדם	adv5#6	C	formulate|clarify	2
50	אקדמי	aca2#8	C	withhold	1
51	אקדמי	aca3#1	A	undermine	1
52	אקדמי	aca#6	C	discrepancy	1
53	מתקדם	adv2#13	D	acknowledge	1
54	אקדמי	aca#5	D	alleviate	1
55	אקדמי	aca#2	A	hinder	1
56	בינוני	mid2#9	C	purchase	1
57	אקדמי	aca5#9	B	oblige|abide	2
58	בסיס	base#2	C	destroy	1
59	בינוני	mid3#6	D	sink	1
