58	אצטלה	אצטלה
59	אורים ותומים	אורים-ותומים
60	באיבו	אבב
61	הבליע	בלע
62	הגיה	גיה
63	הכה גלים	הכה-גלים
64	הכה שורש	הכה-שורש
65	התיק	נתק
66	הקהיל	קהל
67	הביל	הבל
68	חרבה	חרב
69	יורה	ירה
70	מסואב	סאב
71	מיגר	מגר
72	חבוש	חבש
73	מרנין	רננ
74	מלא תכונה	מלא-תכונה
75	מסך	מסכ
76	נאלם	אלמ
77	נושה	נשה
78	צדיה	צדה
79	צרר	צרר
80	צרוף	צרפ
81	קיקיוני	קיקיונ
82	קובע	קובע
83	שיגיון	שגה
84	שיהוי	שהה
85	שיסע	שסע
86	שחון	שחנ
87	שוחר	שחר
88	תנובה	נוב
89	תעודת עניות	תעודת-עניות
90	תלי תלים	תלי-תלים
91	תכריכים	כרכ
92	תש	תשש
93	ארשת	ארשת
94	אבן נגף	אבן-נגף
95	אבן הראשה	אבן-הראשה
96	אספקלריה	אספקלריה
97	אפוף	אפפ
98	אורח	ארח
99	בחרוק שיניים	בחרוק-שיניים
100	בכפיפה אחת	בכפיפה-אחת
101	בלתי נדלה	בלתי-נדלה
102	בצר לו	בצר-לו
103	ביכר	בכר
104	הרכין	רכנ
105	השליך נפשו מנגד	השליך-נפשו-מנגד
106	התגלע	גלע
107	החיש	חוש
108	החריש	חרש
109	הלך בדרך כל בשר	הלך-בדרך-כל-בשר
110	הפך את עורו	הפך-את-עורו
111	חסר פניות	חסר-פניות
112	חדלון	חדל
113	חסון	חסנ
114	חרון	חרה
115	כל אימת ש	כל-אימת-ש
116	מאוויים	אוה
117	משבר	שבר
118	מימים ימימה	מימים-ימימה
119	מני אז	מני-אז
120	נבכי נפשו	נבכי-נפשו
121	ניער חוצנו	ניער-חוצנו
122	נעתקו מילים מפיו	נעתקו-מילים-מפיו
123	נחתום	נחתומ
124	פשר	פשר
125	פח יקוש	פח-יקוש
126	פכר את ידיו	פכר-את-ידיו
127	פריץ	פריץ
128	קלות ראש	קלות-ראש
129	שריר וקיים	שריר-וקיים
130	תינה את צרותיו	תינה-את-צרותיו
131	דש בעקביו	דש-בעקביו
132	העתיר	עתר
133	הועם	עממ
134	משובת נעורים	משובת-נעורים
135	נפל על אוזניים ערלות	נפל-על-אוזניים-ערלות
136	עמד מנגד	עמד-מנגד
137	זרה מלח על הפצעים	זרה-מלח-על-הפצעים
138	הפליא את מכותיו	הפליא-את-מכותיו
139	יד רוחצת יד	יד-רוחצת-יד
140	כבד לשון	כבד-לשון
141	מליץ יושר	מליץ-יושר
142	נחמה פורתא	נחמה-פורתא
143	קשר לו כתרים	קשר-לו-כתרים
144	בית מרזח	בית-מרזח
145	נכנס בעבי הקורה	נכנס-בעבי-הקורה
146	הקדיח	קדח
147	הניח את דעתו	הניח-את-דעתו
148	עגמת נפש	עגמת-נפש
149	סגולה	סגל
150	הילה	הלל
151	תהפוכות	הפכ
152	מקלעת	קלע
153	נידח	נדח
154	התנוסס	נסס
155	עד מהרה	עד-מהרה
156	על נקלה	על-נקלה
157	דיבה	דבב
158	פריך	פרכ
159	ערוגה	ערג
160	אברה	אבר
161	נכלים	נכל
162	אבה	אבה
163	הואיל	יאל
164	נקעה נפשו	נקעה-נפשו
165	נתעב	תעב
166	רחש כבוד	רחש-כבוד
167	נצר לשונו	נצר-לשונו
168	קצרה ידו	קצרה-ידו
169	עמד בפרץ	עמד-בפרץ
170	נפל דבר	נפל-דבר
171	אבן בוחן	אבן-בוחן
172	לעת מצוא	לעת-מצוא
173	פרי הילולים	פרי-הילולים
174	עד בלי די	עד-בלי-די
175	חדשים לבקרים	חדשים-לבקרים
176	השכם והערב	השכם-והערב
177	בין הערביים	בין-הערביים
178	דמדומים	דמדמ
179	הפציע	פצע
180	רהב	רהב
181	שאר רוח	שאר-רוח
182	אנין	אנינ
183	איסטניס	איסטניס
184	תרעומת	רעמ
185	תוכחה	יכח
186	עלטה	עלט
187	אישון לילה	אישון-לילה
188	מאור פנים	מאור-פנים
189	ברוב עם	ברוב-עם
190	גרדום	גרדומ
