id	כיוון	מילה בכרטיס	הפירוש המקורי	מה כתוב במאגר	מה הלומד כתב	האם הלומד ידע את המילה? כ / ל / ?
E01	word	abacus	חשבונייה	abacus	abavus	
E02	word	achieve	להשיג	achieve	achoeve	
E03	word	advocate	תומך, מצדד; פרקליט; לדגול ב-, לתמוך בגלוי ב-	advocate	advoxate	
E04	word	always	תמיד	always	alwsys	
E05	word	appease	לפייס	appease	appase	
E06	word	assert	לטעון בתוקף, להצהיר	assert	asert	
E07	word	automobile	כלי רכב, אוטו	automobile	autombile	
E08	word	betray	לבגוד	betray	bertay	
E09	word	calculate	לחשב	calculate	calcluate	
E10	word	certain	בטוח; מסוים	certain	certtain	
E11	word	cockroach	מקק, ג'וק	cockroach	cockrroach	
E12	word	community	קהילה	community	sommunity	
E13	word	blend	לערבב	blend	bend	
E14	word	curve	עקומה, פניה	curve	cure	
E15	word	genius	גאון	genius	genus	
E16	word	party	מפלגה; מסיבה	party	part	
E17	word	revoke	לבטל, לשלול	revoke	evoke	
E18	word	swing	לנדנד, נדנדה	swing	wing	
E19	word	bandage	תחבושת	bandage	bandages	
E20	word	desperate	נואש	desperate	desperating	
E21	word	General	גנרל (דרגה צבאית); כללי	General	generaled	
E22	word	misbehave	להתנהג בצורה לא הולמת	misbehave	misbehaves	
E23	word	recall	להיזכר; להחזיר, להשיב צלצול	recall	recalling	
E24	word	terrify	להפחיד, להבעית	terrify	terrified	
E25	gloss	demean	להנמיך, להשפיל	להנמיכ	להשפיל	
E26	gloss	progress	התקדמות, להתקדם	התקדמות	להתקדמ	
E27	gloss	fancy	מחבב; מגונדר	מחבב	מגונדר	
E28	gloss	virtually	למעשה, בעצם	למעשה	בעצמ	
E29	gloss	course	מנה; קורס; מסלול	מנה	קללה	
E30	gloss	joint	משותף; מפרק, חיבור	משותפ	להצטרפ	
E31	gloss	raise	להעלות	להעלות	להופיע	
E32	gloss	weave	לארוג, לשזור; להתפתל בין (בתנועה)	לארוג	גל	
E33	gloss	brave	אמיץ	אמיצ	אמיץ לב	
E34	gloss	enormous	עצום	עצומ	ענק	
E35	gloss	silent	דומם, שקט	דוממ	חרישי	
E36	gloss	rapid	מהיר; אֶשֶד, זרם מים מהיר בנהר	מהיר	זריז	
E37	gloss	ancient	קדום, עתיק	קדומ	עתיק יומינ	
E38	gloss	decide	להחליט	להחליט	החלטה	
E39	gloss	destroy	להרוס	להרוס	הרס	
E40	gloss	arrive	להגיע	להגיע	הגעה	
