⛔ מועמדים · לא עברו פאנל · אינם ממצאים
מילה	פירוש היום	מה השופט העיוור כתב	מובן שאינו במאגר
2nd - second	שני	שני | שנייה	2:שנייה
3rd - third	שלישי	שלישי | שליש	2:שליש
able	יכול, מסוגל	מסוגל | מוכשר	2:מוכשר
about	ליד, בערך; אודות	על | בערך	1:על
against	כנגד, ממול	נגד	1:נגד
alone	לבד	לבד | בודד	2:בודד
and	ו-	ו	1:ו
answer	תשובה	תשובה | לענות	2:לענות
area	אזור, תחום	אזור | תחום | שטח	3:שטח
as	כאשר, כש-; כמו	כמו | כפי ש	2:כפי ש
ask	לשאול	לשאול | לבקש	2:לבקש
at	אצל, ב-	ב	1:ב
attack	לתקוף, מתקפה	התקפה | לתקוף	1:התקפה
because	כי, מפני ש-, משום ש-	כי | מפני ש	2:מפני ש
behind	מאחורי; ישבן	מאחורי | באיחור	2:באיחור
best	הכי טוב	טוב	1:טוב
better	טוב יותר	טוב | לשפר	1:טוב | 2:לשפר
bought	קנה	לקנות	1:לקנות
break	לשבור	לשבור | הפסקה	2:הפסקה
burn	לשרוף, להישרף	לשרוף | לבעור	2:לבעור
but	אך, אבל; מלבד, חוץ מ-	אבל | אלא	2:אלא
by	ליד, בסמוך ל-; עד, לא יאוחר מ-; באמצעות, על-ידי	על ידי | ליד	1:על ידי
call	לקרוא, להתקשר	להתקשר | לקרוא | שיחה	3:שיחה
center	מרכז	מרכז | למקד	2:למקד
chance	סיכוי	סיכוי | הזדמנות	2:הזדמנות
check	לבדוק	לבדוק | צ'ק | חשבון	2:צ'ק | 3:חשבון
children	ילדים	ילד	1:ילד
church	כנסיה	כנסייה	1:כנסייה
club	מועדון	מועדון | אלה	2:אלה
code	קוד	קוד | לתכנת	2:לתכנת
cold	קר, התקררות	קר | הצטננות	2:הצטננות
company	חברה	חברה | פלוגה	2:פלוגה
contact	ליצור קשר, מגע	קשר | ליצור קשר | איש קשר	1:קשר | 3:איש קשר
control	לוח בקרה, פיקוח; שליטה, לשלוט	שליטה | לשלוט | בקרה	3:בקרה
cool	לצנן, צונן	קריר | מגניב | קר רוח	1:קריר | 2:מגניב | 3:קר רוח
crime	פשע	פשע | עבירה	2:עבירה
dance	לרקוד	לרקוד | ריקוד	2:ריקוד
deal	עסקה; להתמודד	עסקה | לטפל	2:לטפל
death	מוות	מוות | פטירה	2:פטירה
die	מת, למות	למות | קוביה	2:קוביה
different from	שונה מ-	שונה מ	1:שונה מ
done	גמור, עשוי	לעשות | גמור | מוכן	1:לעשות | 3:מוכן
down	למטה	למטה | מדוכא	2:מדוכא
energy	אנרגיה, כוח	אנרגיה | מרץ	2:מרץ
every day	כל יום	כל יום | מדי יום	2:מדי יום
experience	ניסיון, לחוות	ניסיון | חוויה | לחוות	2:חוויה
face	פנים; לפנות אל, לעמוד מול; להתמודד עם, לעמוד בפני	פנים | להתמודד | לפנות	2:להתמודד | 3:לפנות
feel	להרגיש	להרגיש | תחושה	2:תחושה
feeling	הרגשה	הרגשה | רגש	2:רגש
few	מעט	מעט | מועט	2:מועט
fight, fought	להילחם, להיאבק; לריב	להילחם | קרב	2:קרב
find	למצוא	למצוא | מציאה	2:מציאה
first of all	ראשית	קודם כל	1:קודם כל
fly	זבוב; לעוף	לטוס | זבוב | לעוף	1:לטוס
follow	לעקוב, לציית	לעקוב | להבין	2:להבין
force	לכפות; כוח	כוח | לאלץ	2:לאלץ
forward	קדימה, לפנים	קדימה | חלוץ	2:חלוץ
full	מלא, למלא	מלא | שבע	2:שבע
future	עתיד	עתיד | עתידי	2:עתידי
gift	מתנה	מתנה | כישרון	2:כישרון
government	ממשל	ממשלה	1:ממשלה
great	גדול, מעולה	נהדר | גדול	1:נהדר
ground	בסיס, אדמה	קרקע | לבסס	1:קרקע | 2:לבסס
harder	קשה יותר	קשה | בחוזקה	1:קשה | 2:בחוזקה
human	אנושי	אנושי | אדם	2:אדם
human being	בן-אדם, אנוש	בן אדם | יצור אנושי	1:בן אדם | 2:יצור אנושי
in	ב-, בתוך	ב	1:ב
in a moment	בעוד רגע	עוד רגע | מיד	1:עוד רגע | 2:מיד
in front of	בחזית של, מול	לפני | מול	1:לפני
inside	בתוך, פנים	בפנים | פנים	1:בפנים
into	אל תוך	לתוך	1:לתוך
joke	בדיחה	בדיחה | להתלוצץ	2:להתלוצץ
jump	לקפוץ	לקפוץ | קפיצה	2:קפיצה
know, knew	לדעת, ידע	לדעת | להכיר	2:להכיר
late	מאוחר, לאחר	מאוחר | מנוח	2:מנוח
later	מאוחר יותר	אחר כך	1:אחר כך
laugh	לצחוק	לצחוק | צחוק	2:צחוק
left	שמאלה	שמאל | לעזוב	1:שמאל | 2:לעזוב
light	אור; קל	אור | קל | להדליק	3:להדליק
like	כמו; לחבב, להעדיף	לאהוב | כמו	1:לאהוב
link	קישור, לקשר, חוליה	קשר | קישור | לחבר	1:קשר | 3:לחבר
list	רשימה, להכין רשימה	רשימה | לרשום	2:לרשום
made	עשה	לעשות | ליצור	1:לעשות | 2:ליצור
meeting	פגישה	פגישה | ישיבה	2:ישיבה
message	הודעה	הודעה | מסר	2:מסר
middle	אמצע	אמצע | אמצעי	2:אמצעי
mistake	טעות	טעות | לטעות	2:לטעות
mix	לערבב, ערבוב	לערבב | תערובת	2:תערובת
mouth	פה	פה | שפך	2:שפך
move	לזוז, לעבור	לזוז | לעבור | מהלך	3:מהלך
must	חייב, חובה, הכרח	חייב | צריך | הכרח	2:צריך
near	קרוב	קרוב | ליד	2:ליד
need	צריך, צורך	להזדקק | צורך	1:להזדקק
never	אף פעם	לעולם לא	1:לעולם לא
number	מספר	מספר | למנות	2:למנות
offer	הצעה, להציע	להציע | הצעה | מבצע	3:מבצע
once	ברגע ש-; פעם (בעבר); פעם אחת	פעם | כאשר	2:כאשר
only	רק	רק | יחיד	2:יחיד
outside	חוץ; בחוץ	בחוץ | מחוץ ל	2:מחוץ ל
over	על, מעל; מחדש, שוב	מעל | נגמר	2:נגמר
pain	כאב, להכאיב	כאב | לכאוב	2:לכאוב
part	חלק	חלק | להיפרד	2:להיפרד
pass	לעבור, לחלוף; להעביר, למסור; לוותר (___ on)	לעבור | להעביר | מסירה	3:מסירה
past	עבר, שעבר	עבר | קודם | ליד	2:קודם | 3:ליד
pay	לשלם	לשלם | שכר	2:שכר
peace	שלום	שלום | שקט	2:שקט
people	אנשים	אנשים | עם	2:עם
person	אדם	אדם | גוף	2:גוף
place	מקום, למקם	מקום | להניח	2:להניח
plan	תכנית; לתכנן	תוכנית | לתכנן	1:תוכנית
planet	כוכב לכת	כוכב לכת | פלנטה	2:פלנטה
pool	בריכה	בריכה | מאגר | לאגד	2:מאגר | 3:לאגד
poor	עני, מסכן	עני | גרוע	2:גרוע
quick	זריז	מהיר | זריז	1:מהיר
rain	גשם	גשם | לרדת גשם	2:לרדת גשם
reason	סיבה; הגיון	סיבה | היגיון | לנמק	2:היגיון | 3:לנמק
relationship	מערכת יחסים	קשר	1:קשר
relax	להירגע	להירגע | לנוח	2:לנוח
report	דיווח, לדווח	דוח | לדווח	1:דוח
ride	רכיבה, לרכוב	לרכוב | נסיעה	2:נסיעה
right	ימינה; זכות	נכון | זכות | ימין	1:נכון | 3:ימין
ring	טבעת; זירה	טבעת | לצלצל	2:לצלצל
run, ran	לרוץ, רץ	לרוץ | לנהל | לזרום	2:לנהל | 3:לזרום
safe	בטוח	בטוח | כספת	2:כספת
salt	מלח	מלח | להמליח	2:להמליח
school	בית-ספר	בית ספר | להקה	1:בית ספר | 2:להקה
secret	סוד	סוד | סודי	2:סודי
service	שירות	שירות | לתחזק	2:לתחזק
short	קצר	קצר | נמוך	2:נמוך
show	הופעה; להראות	להראות | מופע | תוכנית	2:מופע | 3:תוכנית
side	צד, לצודד, לתמוך	צד | לצדד	2:לצדד
simple	פשוט	פשוט | תמים	2:תמים
since	מכיוון ש-; מאז	מאז | מכיוון ש	2:מכיוון ש
single	רווק; יחיד	יחיד | בודד | רווק	2:בודד
sir	אדון, תואר אצולה אנגלי	אדוני	1:אדוני
slow	איטי, לאט	איטי | להאט	2:להאט
snow	שלג	שלג | לרדת שלג	2:לרדת שלג
