1: scrutinize, audit, examine
2: administer+determine, manage+decide, run+allocate
3: accumulate+draw on, build+spend, amass+deplete
4: contaminate+exclude, spoil+omit, taint+discard
5: predict, deduce, derive
6: concur+dissent, agree+differ, side+depart
7: impartial, objective, neutral
8: eloquent, memorable, quotable
9: coincide+diverge, align+differ, match+disagree
10: retain, keep, reserve
11: brittle, fragile, flimsy
12: melt+rise, thaw+swell, soften+overflow
13: wrap+fasten, pack+secure, cushion+bolt
14: stop+withstand, halt+endure, block+bear
15: distract, disturb, interrupt
16: skill, craft, technique
17: question, query, riddle
18: boil, simmer, steep
