# winter_2023 · fmt=A · analogy=108 · completion=86
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
עוגן	עוגן	analogy	1	1	רגל	full	עגן
להפליג	להפליג	analogy	1	1	רגל	close	פלג
תריס	תריס	analogy	1	1	מסיח 1	close	תרס
להחשיך	להחשיך	analogy	1	1	מסיח 1	close	חשכ
קשר	קשר	analogy	1	1	מסיח 2	close	קשר
להתיר	להתיר	analogy	1	1	מסיח 2	full	התיר
לנעול	לנעול	analogy	1	1	מסיח 3	miss	
פקק	פקק	analogy	1	1	מסיח 4	miss	
למזוג	למזוג	analogy	1	1	מסיח 4	miss	
מגהץ	מגהץ	analogy	1	2	רגל	miss	
חלק	חלק	analogy	1	2	רגל	close	חלק
סרגל	סרגל	analogy	1	2	מסיח 1	close	סרג
כרית	כרית	analogy	1	2	מסיח 2	miss	
רך	רך	analogy	1	2	מסיח 2	miss	
סולם	סולם	analogy	1	2	מסיח 3	miss	
מגבת	מגבת	analogy	1	2	מסיח 4	miss	
יבש	יבש	analogy	1	2	מסיח 4	miss	
הסכמה	הסכמה	analogy	1	3	מסיח 2	close	סכמ
בסדר	בסדר	analogy	1	3	מסיח 2	miss	
אמינות	אמינות	analogy	1	3	מסיח 4	close	אמנ
בהן צדק	בהן צדק	analogy	1	3	מסיח 4	full	בהן צדק
לסתת	לסתת	analogy	1	4	רגל	full	סתת
בנייה	בנייה	analogy	1	4	רגל	miss	
ללוש	ללוש	analogy	1	4	מסיח 1	full	ליש
אפייה	אפייה	analogy	1	4	מסיח 1	full	איפה
לבצר	לבצר	analogy	1	4	מסיח 2	full	בצר
כיבוש	כיבוש	analogy	1	4	מסיח 2	full	כבש
לחטוב	לחטוב	analogy	1	4	מסיח 3	full	חוטב
כריתה	כריתה	analogy	1	4	מסיח 3	miss	
לפהק	לפהק	analogy	1	4	מסיח 4	miss	
שינה	שינה	analogy	1	4	מסיח 4	miss	
דוכי	דוכי	analogy	1	5	רגל	miss	
גלים	גלים	analogy	1	5	רגל	close	גלמ
תקתוק	תקתוק	analogy	1	5	מסיח 2	miss	
שעון	שעון	analogy	1	5	מסיח 2	miss	
הד	הד	analogy	1	5	מסיח 3	full	הוד
מערה	מערה	analogy	1	5	מסיח 3	close	ערה
קור	קור	analogy	1	5	מסיח 4	miss	
שלג	שלג	analogy	1	5	מסיח 4	miss	
התנצחות	התנצחות	analogy	1	6	רגל	full	התנצח
התנצח	התנצח	analogy	1	6	רגל	full	התנצח
פגישה	פגישה	analogy	1	6	מסיח 1	miss	
נועד	נועד	analogy	1	6	מסיח 1	miss	
התלקחות	התלקחות	analogy	1	6	מסיח 2	close	לקח
התלקח	התלקח	analogy	1	6	מסיח 2	close	לקח
מפלה	מפלה	analogy	1	6	מסיח 3	miss	
הובס	הובס	analogy	1	6	מסיח 3	miss	
התפייסות	התפייסות	analogy	1	6	מסיח 4	miss	
פייס	פייס	analogy	1	6	מסיח 4	miss	
פרי הדר	פרי הדר	analogy	2	1	רגל	close	פרי
פרי	פרי	analogy	2	1	רגל	close	פרי
סגן שר	סגן שר	analogy	2	1	מסיח 1	miss	
שר	שר	analogy	2	1	מסיח 1	full	שור
בית מלאכה	בית מלאכה	analogy	2	1	מסיח 2	close	מלא
בית חרושת	בית חרושת	analogy	2	1	מסיח 2	close	חרש
כלי נשיפה	כלי נשיפה	analogy	2	1	מסיח 3	close	כלי
כלי נגינה	כלי נגינה	analogy	2	1	מסיח 3	close	כלי
שעון יד	שעון יד	analogy	2	1	מסיח 4	miss	
שעון קיר	שעון קיר	analogy	2	1	מסיח 4	miss	
מפוספס	מפוספס	analogy	2	2	רגל	miss	
פס	פס	analogy	2	2	רגל	miss	
מנומש	מנומש	analogy	2	2	מסיח 1	miss	
