q	src	words	blanks
1	aca6#1	obsolete	1
2	aca6#2	prevalent	1
3	aca6#3	deficiency	1
4	aca6#4	reluctant	1
5	aca6#5	augment	1
6	aca6#6	luminous	1
7	aca6#7	apparatus	1
8	aca6#8	hazard	1
9	aca6#9	mundane	1
10	aca6#10	secular	1
11	aca6#11	intervene	1
12	aca6#12	confiscate	1
13	aca6#13	testimony	1
14	aca6#14	arguably	1
15	aca6#15	seldom	1
16	aca6#16	severity	1
17	aca6#17	hypocrisy	1
18	aca6#18	proclaim	1
19	aca6#19	compel	1
20	aca6#20	rigid	1
21	aca6#21	viable	1
22	aca6#22	deliberate	1
23	aca6#23	emulate	1
24	aca6#24	alienation	1
25	aca6#25	emergence|demise	2
26	aca6#26	commence|culminate	2
27	aca6#27	induce|inhibit	2
28	aca7#1	insurrection	1
29	aca7#2	leniency	1
30	aca7#3	plummet	1
31	aca7#4	nourish	1
32	aca7#5	facilitate	1
33	aca7#6	deem	1
34	aca7#7	fabricate	1
35	aca7#8	harness	1
36	aca7#9	tangible	1
37	aca7#10	innate	1
38	aca7#11	superfluous	1
39	aca7#12	omit	1
40	aca7#13	conspicuous	1
41	aca7#14	conjecture	1
42	aca7#15	upheaval	1
43	aca7#16	genus	1
44	aca7#17	futile	1
45	aca7#18	insurmountable	1
46	aca7#19	inadvertently	1
47	aca7#20	abstain	1
48	aca7#21	nocturnal	1
49	aca7#22	posterity	1
50	aca7#23	paramount	1
51	aca7#24	stark	1
52	aca7#25	resurgence	1
53	aca7#26	designate|preside	2
54	aca7#27	laud|disparage	2
55	aca8#1	extrapolate	1
56	aca8#2	intermediary	1
57	aca8#3	consolidate	1
58	aca8#4	circulate	1
59	aca8#5	rodent	1
60	aca8#6	famine	1
61	aca8#7	anesthesia	1
62	aca8#8	hearsay	1
63	aca8#9	subsequent	1
64	aca8#10	fortify	1
65	aca8#11	pervasive	1
66	aca8#12	overlooked	1
67	aca8#13	avert	1
68	aca8#14	pollutant	1
69	aca8#15	furnish	1
70	aca8#16	illicit	1
71	aca8#17	heredity	1
72	aca8#18	expenditure	1
73	aca8#19	resumption	1
74	aca8#20	inconspicuous	1
75	aca8#21	flourish	1
76	aca8#22	pastime	1
77	aca8#23	pretext	1
78	aca8#24	conceive|expedite	2
79	aca8#25	indigenous	1
80	aca8#26	enlist|undergo	2
81	aca8#27	flimsy	1
82	adv6#1	apology	1
83	adv6#2	committee	1
84	adv6#3	contest	1
85	adv6#4	establish	1
86	adv6#5	determine	1
87	adv6#6	compromise	1
88	adv6#7	compatible	1
89	adv6#8	genuine	1
90	adv6#9	transparent	1
91	adv6#10	minority	1
92	adv6#11	poverty	1
93	adv6#12	terminate	1
94	adv6#13	duplicate	1
95	adv6#14	praise|criticize	2
96	adv6#15	exclusively	1
97	adv6#16	quantity	1
98	adv6#17	surveillance	1
99	adv6#18	sensitivity	1
100	adv6#19	broad	1
101	adv6#20	judgment	1
102	adv6#21	entitled	1
103	adv6#22	finalize	1
104	adv6#23	narcotic	1
105	adv6#24	procedure	1
106	adv6#25	domestic	1
107	adv6#26	insert|inject	2
108	adv6#27	trace	1
109	adv6#28	dull	1
110	adv7#1	prolong	1
111	adv7#2	flaw	1
112	adv7#3	consequence	1
113	adv7#4	sufficient	1
114	adv7#5	gradually	1
115	adv7#6	hypothesis	1
116	adv7#7	immune	1
117	adv7#8	disrupt	1
118	adv7#9	substitute	1
119	adv7#10	margin	1
120	adv7#11	recruit	1
121	adv7#12	vanish	1
122	adv7#13	uncover	1
123	adv7#14	milestone	1
124	adv7#15	confront	1
125	adv7#16	exclude	1
126	adv7#17	fierce	1
127	adv7#18	readiness	1
128	adv7#19	broaden	1
129	adv7#20	denial	1
130	adv7#21	expertise	1
131	adv7#22	artifact	1
132	adv7#23	terrain	1
133	adv7#24	supervise	1
134	adv7#25	frequent	1
135	adv7#26	conquer|govern	2
136	adv7#27	foresee|validate	2
137	adv8#1	persuade	1
138	adv8#2	scarce	1
139	adv8#3	imply	1
140	adv8#4	intact	1
141	adv8#5	crucial	1
142	adv8#6	mock	1
143	adv8#7	possess	1
144	adv8#8	assumption	1
145	adv8#9	resemble	1
146	adv8#10	revenue	1
147	adv8#11	inevitable	1
148	adv8#12	contradiction	1
149	adv8#13	density	1
150	adv8#14	prominent	1
151	adv8#15	treaty	1
152	adv8#16	perception	1
153	adv8#17	numerous	1
154	adv8#18	magnitude	1
155	adv8#19	manuscript	1
156	adv8#20	habitat	1
157	adv8#21	cautious	1
158	adv8#22	compile	1
159	adv8#23	bail	1
160	adv8#24	pursue	1
161	adv8#25	straightforward	1
162	adv8#26	ancestor	1
163	adv8#27	glance	1
164	base4#1	vote	1
165	base4#2	cheap	1
166	base4#3	weight	1
167	base4#4	architect	1
168	base4#5	nurse	1
169	base4#6	cow	1
170	base4#7	river	1
171	base4#8	cheat	1
172	base4#9	receive	1
173	base4#10	hidden	1
174	base4#11	theory	1
175	base4#12	sunlight	1
176	base4#13	wave	1
177	base4#14	sold|bought	2
178	base4#15	edit	1
179	base4#16	harmony	1
180	base4#17	dilemma	1
181	base4#18	panic	1
182	base4#19	shield	1
183	base4#20	genes	1
184	base4#21	interview	1
185	base4#22	rope	1
186	base4#23	filter	1
187	base4#24	container	1
188	base4#25	crime	1
189	base4#26	clean	1
190	base4#27	salt	1
191	base4#28	roof	1
192	mid5#1	witness	1
193	mid5#2	advice	1
194	mid5#3	capture	1
195	mid5#4	symptom	1
196	mid5#5	necessary	1
197	mid5#6	surface	1
198	mid5#7	recognize|cure	2
199	mid5#8	punish	1
200	mid5#9	minimize	1
201	mid5#10	audience	1
202	mid5#11	narrow	1
203	mid5#12	translate	1
204	mid5#13	storage	1
205	mid5#14	crack	1
206	mid5#15	century	1
207	mid5#16	cover|deliver	2
208	mid5#17	proof	1
209	mid5#18	ancient	1
210	mid5#19	insurance	1
211	mid5#20	plant|gather	2
212	mid5#21	disadvantage	1
213	mid5#22	resource	1
214	mid5#23	nickname	1
215	mid5#24	earthquake	1
216	mid5#25	instrument	1
217	mid5#26	legend	1
218	mid5#27	arrest	1
219	mid5#28	beg	1
220	mid6#1	temporary	1
221	mid6#2	urgent	1
222	mid6#3	reliable	1
223	mid6#4	justify	1
224	mid6#5	eliminate	1
225	mid6#6	verify	1
226	mid6#7	extend	1
227	mid6#8	guarantee	1
228	mid6#9	demand	1
229	mid6#10	stubborn	1
230	mid6#11	suspicious	1
231	mid6#12	insult	1
232	mid6#13	defeat	1
233	mid6#14	attempt	1
234	mid6#15	essential	1
235	mid6#16	poisonous	1
236	mid6#17	radiation	1
237	mid6#18	population	1
238	mid6#19	reputation	1
239	mid6#20	retirement	1
240	mid6#21	imagination	1
241	mid6#22	efficient	1
242	mid6#23	citizen	1
243	mid6#24	crisis	1
244	mid6#25	policy	1
245	mid6#26	contain|transfer	2
246	mid6#27	weaken|repair	2
