w2777	כללכלל	פועל אחד ושם אחד; היתר נטיות
w2735	ככ	שני מובנים: סובלנות וסבילות פיזיולוגית
w2669	כלכ	ללא קשר ובכל זאת; למרות שגוי
w3017	כלכ	חסר תחושה וקהה; רדום חופף
w3335	כלכ	להאדיר ולפאר; להלל הוא praise
w3291	ככל	מגורים ועיכוב; לגור חופף להתגורר
w2558	ככ	שתי מילים למובן היחיד
w3779	ללככלל	מעידה ופקיעה; היתר נדיר או נטייה
w3786	ככ	שתי מילים לשנאה עזה
w3244	לככל	להוות ולהקים; מהווים נטייה
w3482	לככ	קשיח ונוקשה; מחמיר הוא strict
w2874	ככ	שם ופועל; שני המובנים
w3876	כלכ	כיכר ותואר סיבובי; גלוסה חופפת
w2400	ככ	שם ופועל; שני המובנים
w2877	כל	אלוהי נפוץ; לנחש מובן נדיר
w3436	כללכ	להציב ותנוחה; להוות חופף
w3695	ככל	לצרף ולהקיף; לסגור רחב מדי
w3234	ככ	שתי מילים להסתרה
w3223	כלכל	נסיבות ומצב; נסיבה נטייה, תנאי שגוי
w3450	לככ	ניסיון ומבחן; מאסר על תנאי שגוי
w3347	לכ	כתיב מלא נבחר; השני אותה מילה
w3097	ככ	יוצא ועומד; שני מובנים שונים
w3515	כל	למעוד נפוץ; להיכשל הוא fail
w2815	לכ	כתיב תקני נבחר; השני אותה מילה
w3446	ככל	לרשום ולהורות; המרשם אותה מילה
w3772	לככל	תמיד וללא יוצא מן הכלל
w3313	ככל	לוותר ומתכלה; מיותר הוא superfluous
w2570	לכ	מרכיב תקני; רכיב אותה מילה
w3237	ככל	לגנות ונידון ל-; נידון נטייה
w3108	ככ	שתי מילים לדק ורזה
w3833	כללכ	מצב קשה ומצוקה; סכנה שגוי
w2545	כללכ	הכוונה והדרכה; הנהגה שגוי
w2640	לככ	לחזות ולנבא; לצפות מראש גלוסה
w3435	ככל	לגלם ולתאר; לצייר מובן מיושן
w2396	לככ	לאשר ולהסמיך; להרשות הוא allow
w3868	לככלל	להפוך ולהגיש; להפוך ל- אותה מילה
w3099	כלכ	רגשות ודעה; רגש נטיית מספר
w3791	ככ	שני מונחים תקניים למובן היחיד
w3009	לכ	הדדית; הראשון אותה מילה בצירוף
w3341	כלכ	להאיץ ולמהר; להחפז חופף ולא תקני
w3098	ככ	שתי מילים למובן היחיד
w3511	ללכללכל	מתח והתאמצות; היתר נדיר או נטייה
w3275	כלכל	לנבוע ולהפיק; לשאוב ולגזור חופפים
w3076	לככ	לחזק ולתגבר; לבסס שגוי
w2646	ככ	קידום ופרסום; שני המובנים
w3533	כלכ	להתחייב ולקחת על עצמך; ליזום שגוי
w3522	לכ	נסחף תואם לצורה הסבילה
w2589	ככ	שם ופועל; שני המובנים
w3367	ככל	לבלוע ולצרוך; השלישי הגדרה ולא תרגום
w3719	לכ	תנודה; חוסר יציבות הוא instability
w2829	ככ	תעתיק ותרגום למובן היחיד
w3640	כלכללל	תאריך ודייט; היתר חופף או נדיר
w2951	לככ	לכפות ולהטיל; להטריח מובן משני
w2922	ככל	מוצרים וסחורה; טובין משלב משפטי
w2526	כלכ	עז ופראי; אכזרי הוא cruel
w3055	לכללכל	ראשי ומנהל בית ספר; קרן נדיר
w3336	כלכ	אדיב ונדיב; חינני הוא graceful
w3874	ככ	שתי מילים לתחייה מחדש
w2771	ללככל	להכיר ולהודות ב-; היתר נטייה
w3837	כל	רב אוכלוסין; צפיפות אינה גודל
