w0759	רעיל	מזיק	-
w0111	להילחם	קרב	-
w1341	מדי פעם	-	-
w0012	לבד	בודד	-
w0845	בחירה	ברירה	-
w0452	קטלוג	-	-
w1614	קירח	-	-
w3164	להכיל	להתחשב	-
w2629	חלקי	מוטה	-
w3908	מבצר	מעוז	-
w3502	ערפיח	-	-
w3268	מום	עיוות	-
w3520	יורש	מחליף	-
w0206	מפלצת	-	-
w2513	להציג	תערוכה	-
w2779	להרשות לעצמו	-	-
w2185	לרוץ	לרענן	-
w0757	מגדל	להתנשא	-
w1392	נאמנות	-	-
w1676	כת	פולחן	-
w2502	שווה ערך	מקבילה	-
w3014	קריין חדשות	-	-
w1803	להימס	להמיס	-
w0069	פשע	עבירה	-
w3839	דורות הבאים	-	-
w1286	ממד	היבט	-
w2115	אבולוציוני	-	-
w0002	שני	שנייה	-
w3838	דמי משלוח	-	-
w2230	שלא לדבר על	-	-
w1562	ותיק	חייל משוחרר	-
w3600	גופה	-	-
w2653	מבולבל	תמה	-
w2597	לייצר	ייצור	-
w3340	קציר	לקצור	-
w2605	אבן דרך	-	-
w0120	לנצח	-	-
w1831	לבצע	להופיע	-
w0047	אבל	אלא	-
w0721	פתרון	תמיסה	-
w1810	להודיע	-	-
w1473	להצטער	חרטה	-
w0259	נשיא	-	-
w2328	עדיף	ממונה	-
w3721	המוביל	-	-
w0508	לערוך	-	-
w1384	להוביל	להנהיג	-
w1107	תסריט	כתב	-
w2456	להדגים	להפגין	-
w2416	התנגשות	-	-
w3792	לתווך	-	-
w3307	להתחמק	-	-
w2978	לשכב	להימצא	-
w1957	דחוף	-	-
w1101	בטיחות	ביטחון	-
w0975	בדרך כלל	-	-
w1665	מקובל	שגרתי	-
w0827	עצם	-	-
w0966	צייד	-	-
w1718	לבצע	להוציא להורג	-
w3523	אוהד	מבין	-
w3300	להתגייס	לגייס	-
w1025	צהריים	-	-
w0694	גג	-	-
w3910	מיותר	-	-
w3698	מאמץ	לשאוף	-
w2129	בעיקר	-	-
w0402	תשיעי	-	-
w1655	להתלונן	-	-
w3417	לקזז	קיזוז	-
w0751	לחשוב	-	-
w2272	לפני	-	-
w3178	דו-משמעי	מעורפל	-
w0095	ערב	-	-
w0901	כלכלה	חסכנות	-
w3898	פאר	הדר	-
w2939	כוורת	-	-
w3297	פליטה	-	-
w2279	קיצוני	-	-
w3876	סיבובי	כיכר תנועה	-
w3809	צייתן	-	-
w2925	להעניק	מענק	-
w3264	לפענח	-	-
w3525	עדות	-	-
w1061	פרס	להעריך	-
w3828	להנציח	-	-
w3367	לבלוע	לצרוך	-
w3474	גלגול נשמות	-	-
w0363	למעלה	-	-
w3072	להתייחס	כבוד	-
w0521	אירוע	-	-
w2062	מתאם	-	-
w3213	בוטנאי	-	-
w2913	שבר	חלק קטן	-
w0941	צורה	טופס	להקים
w0072	בת	-	-
w3621	לשתף בסוד	-	-
w1647	אזרח	-	-
w2268	יוקרתי	-	-
w1430	פתולוגיה	-	-
w1962	לאמת	לוודא	-
w3558	לתעב	לשנוא	-
w3541	מיזם	להעז	-
w1356	רמז	לרמוז	-
w3741	נחישות	חצץ	-
w0445	לבנות	-	-
w2986	שיש	גולה	-
w3188	ברור	לכאורה	-
w1109	קטע	סעיף	-
w2838	בנוחות	-	-
w1150	גנב	-	-
w0312	אז	כל כך	-
w2712	תרד	-	-
w3109	אדמה	ללכלך	-
w1280	צבי	-	-
w0403	מעל	-	-
w1001	רישיון	-	-
w2767	ללוות	-	-
w0530	מפעל	-	-
w1327	להתפרק	-	-
w2298	סנקציה	לאשר	-
w2261	מוט	קוטב	-
w1230	בהיר	חכם	-
w3888	הטיה	שיפוע	-
w1181	ללבוש	להתבלות	-
w3492	תרופת הרגעה	-	-
w0308	לישון	שינה	-
w1304	לאפשר	-	-
w0872	לרפא	תרופה	-
w0924	יוצא דופן	-	-
w3640	תאריך	פגישה רומנטית	תמר
w2609	יתוש	-	-
w3147	חומץ	-	-
w2720	מספיק	-	-
w0251	מטוס	מישור	-
w3411	בייחוד	-	-
w1780	להפריע	לקטוע	-
w2347	לא ביקורתי	-	-
w0129	מתנה	כישרון	-
w2544	מכולת	מצרכים	-
w0641	אפשרות	-	-
w2184	לכלול	לערב	-
w2153	היררכיה	-	-
w3727	שטותי	קליל דעת	-
w3013	בכל זאת	-	-
w1836	קוטבי	-	-
w3850	לעורר	לגרום	-
w0287	לראות	-	-
w1907	באופן ספציפי	-	-
w2717	המום	-	-
