k	a	b
5fce4aa68c5e	אלוהית	אלוהי
47f93f0697a5	החיסרון	חיסרון | מגרעת
fd84de86ba7f	נלהבת	נלהב | משתוקק | כמה
356acee8c8ba	אכילות	אכיל
137a2cb9f1ca	תגיח	להגיח | להופיע
c8b673ac6717	מכשפת	לכשף | להקסים
4c1b21541310	לכוח סבל	כוח סבל
295b2b798279	תגזים	להגזים
afaf0b4bc016	נושף	לנשוף
d63a646e59c4	המעשה	פעולות | מעשים | לנצל | להפיק תועלת
d28269544e3b	הנרחב	נרחב
6bbeb86cf987	הכחדת	הכחדה
0cda9dff4527	לחבריו	חבר | עמית
fc16dc14cf89	העובר	עובר ברחם
d7be5615e974	העדינים	קטן | עדין | דקיק | משביע רצון | משובח | מצוין | קנס
f62809561f9b	מוצקה	מוצק | נחוש | תקיף | חברה פירמה
7e87660042f1	קטע הצילום	קטע צילום
1e352cefacd0	לשבר	שבר
b03b0ab9c5cd	הניחוח	ניחוח
8ad7a6b64cd4	אירוע לגיוס כספים	מגייס כספים
afaad289aaac	לפטרייה	פטרייה
35a47fba2254	ראשיתה	ספר בראשית | היווצרות | התהוות
64951d916a16	הקרחון	קרחון
49347278381f	סחורות	סחורה | טובין
37bc3f4a093c	בחן	חסד | חינניות
b73c59078e41	החיננית	חינני | אלגנטי
1e3d3e3791cd	היגון	יגון | צער
2154382ecfde	סביבת המגורים	סביבת מגורים
5b51932c2faa	תחלק	לחלק לשניים | להקטין בחצי
a8c971281bda	מסוכנת	מסוכן
25790ad3a25e	לכנס	לאסוף | עדר | לרעות
ecbc2bad3c82	ישנים שנת חורף	לישון שנת חורף
0231db2899fe	לכוורת	כוורת
0094a8a88fd5	העוינות	עוינות
81ba7b52ba62	מיילל	יללה | לילל
9b6f0d01f1ad	הבורות	בורות
f80294c598af	ההשלכות	השלכות | משמעות
9f5d67786782	רמז	לרמוז
057fff23b3f2	חוסר היכולת	חוסר יכולת
c5c15defa8aa	אסירת תודה	חייב ל- | אסיר תודה
6b5e5454b921	ללא הגבלת	ללא הגבלה
9ff576fe5533	יירש	לרשת
78393e5890f7	בפונדק	פונדק
456353c035ef	ההתערבות	התערבות
e26f6a323db0	אי אפשר היה לעמוד בפניו	שלא ניתן לעמוד בפניו
7246eeb45994	האי	אי
9a47f128f6a6	משנהב	שנהב
c5e8ada72feb	השרת	שרת
41f05bc6c3e7	הקומקום	קומקום
a95725aa95ef	נשען	להישען
d4e7061af821	כמו כן	כמו-כן | באותו אופן
4142b0b46092	הספרותי	ספרותי
3a8df4741179	ארבה	אורב | מתגנב
f59ba0c911dc	משיש	שיש | גולה
c186b517c4cc	צבאית	צבאי | קרבי
8c9992bb6c82	הטבח	טבח
81325d5779a9	ימכן	למכן | להתקין מכונות
cc63abb12576	מימי הביניים	מתקופת ימי הביניים
dfebde6ba5d7	המיזוג	מיזוג
e6f14f0568d1	מחקים	לחקות
0eeb0ee92907	לעגו	ללעוג
80b01f63f51d	צנועה	צנוע
7f25582b87fd	לחה	לח | לחלוחי | טחוב
0d7292ed924c	התמותה	תמותה
c46b841b7e01	באבל	אבל | מתאבל
d00edc0cde0e	הדדית	באופן שווה/הדדי
c7e0b54be76f	הימי	ימי
8859f19c5545	הזניח	להזניח | הזנחה
8178fdeb1780	מגיש החדשות	מגיש חדשות
da3b4b9083a7	האצולה	אצולה
c1a28ae9c278	הרעיון	רעיון | מושג | נטיה
a7193743be0a	חסרות תחושה	רדום | חסר תחושה
8fb1e424213a	רבים	מרובה
c445d4996a88	חדר הילדים	חדר ילדים | פעוטון | משתלה
b54d457a1421	ציתו	לציית
fc9963918b5f	העסיק	להעסיק | לתפוס | לאכלס
9dbad6af077b	הריח	ריח | ניחוח
539205920bf0	המתאר	תוואי | מתאר | קווים כלליים
8b597445b7c0	יפקח	לפקח
b18491660d4d	בקצב	קצב
9a9a2cadd801	במשוט	משוט | מחבט טניס שולחן | לחתור | לשכשך
