# צבירה חוצת-מבחנים · קורפוס=22 מבחנים · פריטים ייחודיים=4254
מנורמל	ייצוג	סוג	תוצאה	התאמה	מועדים	הופעות	ממוצע-שאלה	ציטוטים
חלק	חלק	analogy+completion	close	חלק	8	8	3.5	autumn_2024·פרק2·ש14·אפשרות 2 ; summer_2022·פרק1·ש9·אפשרות 4 ; summer_2024·פרק1·ש5·מסיח 1 ; winter_2022·פרק2·ש14·אפשרות 1 ; winter_2023·פרק1·ש2·רגל ; 2019_winter·פרק1·ש13·אפשרות ? ; 2020_spring·פרק1·ש11·אפשרות ? ; 2020_winter·פרק1·ש9·אפשרות 1
לולא	לולא	completion	full	לולא	7	7	0.0	autumn_2023·פרק2·ש15·אפשרות 1 ; autumn_2024·פרק1·ש15·אפשרות 3 ; autumn_2025·פרק1·ש12·אפשרות 2 ; spring_2025·פרק2·ש15·אפשרות 1 ; summer_2021·פרק2·ש10·אפשרות 4 ; summer_2022·פרק1·ש9·אפשרות 4 ; 2020_autumn·פרק2·ש15·אפשרות 1
ספק	ספק	analogy+completion	close	ספק	7	8	4.5	autumn_2023·פרק2·ש15·אפשרות 2 ; summer_2023·פרק1·ש3·רגל ; summer_2024·פרק2·ש11·אפשרות 1 ; winter_2022·פרק2·ש6·רגל ; winter_2022·פרק2·ש14·אפשרות 2 ; winter_2023·פרק1·ש11·אפשרות 2 ; 2020_autumn·פרק1·ש12·אפשרות 4 ; 2020_spring·פרק2·ש9·אפשרות 1
עדיין	עדיין	completion	close	עדנ	7	7	0.0	autumn_2024·פרק2·ש13·אפשרות 1 ; spring_2022·פרק2·ש17·אפשרות 2 ; spring_2025·פרק2·ש15·אפשרות 3 ; summer_2024·פרק1·ש17·אפשרות 1 ; summer_2025·פרק2·ש9·אפשרות 3 ; 2020_autumn·פרק1·ש12·אפשרות 2 ; 2020_winter·פרק2·ש9·אפשרות 4
תמיד	תמיד	completion	miss		7	7	0.0	autumn_2021·פרק2·ש13·אפשרות 4 ; autumn_2024·פרק1·ש14·אפשרות 2 ; spring_2022·פרק1·ש10·אפשרות 4 ; spring_2025·פרק1·ש12·אפשרות 2 ; summer_2024·פרק2·ש10·אפשרות 2 ; summer_2025·פרק1·ש14·אפשרות 1 ; 2020_summer·פרק2·ש11·אפשרות 3
ספר	ספר	analogy+completion	full	ספר	6	6	2.8	autumn_2021·פרק2·ש3·מסיח 1 ; spring_2023·פרק1·ש5·מסיח 2 ; summer_2025·פרק1·ש1·מסיח 2 ; 2019_spring·פרק1·ש4·לא-זוהה ; 2019_winter·פרק1·ש1·מסיח 2 ; 2020_spring·פרק1·ש9·אפשרות 2
תועלת	תועלת	analogy+completion	miss		6	6	4.7	autumn_2021·פרק1·ש10·אפשרות 2 ; spring_2025·פרק1·ש5·מסיח 2 ; summer_2023·פרק1·ש3·מסיח 1 ; summer_2026·פרק2·ש12·אפשרות 4 ; winter_2022·פרק2·ש6·מסיח 3 ; 2020_spring·פרק2·ש9·אפשרות 2
אמת	אמת	analogy+completion	close	אמת	5	5	4.0	spring_2025·פרק2·ש15·אפשרות 2 ; summer_2023·פרק1·ש5·מסיח 4 ; 2020_autumn·פרק1·ש12·אפשרות 3 ; 2020_spring·פרק2·ש3·מסיח 3 ; 2020_summer·פרק2·ש11·אפשרות 3
ביקש	ביקש	analogy+completion	close	בקש	5	5	3.5	autumn_2021·פרק2·ש1·מסיח 3 ; autumn_2024·פרק2·ש4·רגל ; autumn_2025·פרק1·ש5·רגל ; summer_2025·פרק1·ש16·אפשרות 2 ; 2020_summer·פרק1·ש4·רגל
גינה	גינה	analogy+completion	close	גנה	5	5	4.0	spring_2022·פרק1·ש11·אפשרות 1 ; summer_2021·פרק1·ש3·מסיח 3 ; summer_2024·פרק2·ש3·מסיח 2 ; summer_2026·פרק1·ש5·מסיח 1 ; 2020_spring·פרק2·ש5·רגל
