q	level	n	answer
1	בסיס	base#1	B
2	מתקדם	v2#3	B
3	מתקדם	adv4#13	A
4	בסיס	base#6	B
5	בסיס	base2#7	A
6	אקדמי	aca2#2	B
7	מתקדם	adv3#5	A
8	מתקדם	adv#6	A
9	בינוני	mid3#11	B
10	אקדמי	aca#1	B
11	מתקדם	adv2#10	C
12	מתקדם	adv#3	B
13	בינוני	mid#8	A
14	אקדמי	aca3#9	B
15	מתקדם	adv5#13	D
16	מתקדם	adv3#3	B
17	מתקדם	adv3#1	D
18	בינוני	mid3#9	D
19	אקדמי	aca5#10	C
20	מתקדם	adv5#3	D
21	בינוני	mid2#8	A
22	בינוני	mid4#3	B
23	אקדמי	aca2#4	A
24	מתקדם	adv5#12	B
25	בינוני	mid3#12	A
26	מתקדם	adv#1	A
27	מתקדם	adv4#2	A
28	אקדמי	aca#7	C
29	בינוני	mid#2	D
30	בינוני	mid4#8	B
31	מתקדם	adv#5	C
32	אקדמי	aca3#13	A
33	אקדמי	aca2#13	C
34	בינוני	mid2#2	C
35	מתקדם	v2#5	D
36	אקדמי	aca2#12	C
37	אקדמי	aca4#1	C
38	אקדמי	aca4#4	C
39	בינוני	mid#3	D
40	מתקדם	adv2#1	A
41	בסיס	base3#4	D
42	מתקדם	adv3#10	C
43	בסיס	base2#3	A
44	אקדמי	aca2#1	A
45	אקדמי	aca2#6	C
46	אקדמי	aca4#3	C
47	בינוני	mid#4	A
48	מתקדם	adv3#9	B
49	מתקדם	adv5#6	C
50	אקדמי	aca2#8	C
51	אקדמי	aca3#1	A
52	אקדמי	aca#6	C
53	מתקדם	adv2#13	D
54	אקדמי	aca#5	D
55	אקדמי	aca#2	A
56	בינוני	mid2#9	C
57	אקדמי	aca5#9	B
58	בסיס	base#2	C
59	בינוני	mid3#6	D
