w2273	הליך	נוהל	תהליך
w1876	אתר נופש	לנקוט	-
w3856	להרוות	לכבות	להשקיט
w1263	חוזה	להתכווץ	לחלות
w1598	מאמר	פריט	סעיף
w3496	התקף	החרמה	תפיסה
w3923	לייסר	מיוסר	להציק
w2878	חיסרון	מגרעת	-
w1903	משמעותי	ניכר	חשוב
w2097	עובר	-	-
w0196	תקשורת	מדיה	-
w3175	ניכור	התנכרות	-
w2794	מעורר	מגרה	לעורר
w1253	קוגניטיבי	שכלי	-
w1688	רופא שיניים	-	-
w2705	בו-זמנית	במקביל	-
w3131	קרפדה	-	-
w1765	תעשייה	חריצות	-
w1552	לא מאורגן	מבולגן	-
w3772	תמיד	באופן קבוע	-
w0963	אבל	אולם	עם זאת
w3214	נטל	עול	להכביד
w0888	התפתחות	פיתוח	-
w1080	אחרון	טרי	-
w0227	לעתים קרובות	תכופות	-
w1852	ארנק	תיק יד	-
w0638	שמן	נפט	-
w1513	סיבולת	עמידות	-
w1745	כפפה	-	-
w0987	עז	אינטנסיבי	חזק
w0386	חורף	-	-
w1998	להעריך	להוקיר	לעלות בערך
w1980	מדויק	נכון	-
w1970	לשקול	להכביד	-
w2240	בצל	-	-
w1577	עד	לחזות	להעיד
w2232	התנגדות	הסתייגות	-
w1482	רטרואקטיבי	למפרע	-
w3321	פורה	-	-
w1255	להתחרות	-	-
w2955	לא מספיק	לא הולם	-
w2313	מתוחכם	מתורבת	-
w1445	הולם	נכון	ראוי
w3143	תוקף	תקפות	-
w1297	חובה	תפקיד	מכס
w3930	טלטלה	מהפך	תהפוכה
