# 2020_winter · fmt=B · analogy=117 · completion=121
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
הכביר מילים	הכביר מילים	analogy	1	1	רגל	close	כבר
דיבר	דיבר	analogy	1	1	רגל	full	דביר
פרק עול	פרק עול	analogy	1	1	מסיח 1	full	פרק עול
המריד	המריד	analogy	1	1	מסיח 1	full	מרוד
השתקע	השתקע	analogy	1	1	מסיח 2	miss	
נדד	נדד	analogy	1	1	מסיח 2	miss	
כיתת רגליים	כיתת רגליים	analogy	1	1	מסיח 3	close	כתת
הלך	הלך	analogy	1	1	מסיח 3	full	הילך
הציץ	הציץ	analogy	1	1	מסיח 4	full	ציץ
הביט	הביט	analogy	1	1	מסיח 4	miss	
להעליב	להעליב	analogy	1	2	רגל	miss	
להיעלב	להיעלב	analogy	1	2	רגל	miss	
לצחוק	לצחוק	analogy	1	2	מסיח 1	miss	
לשמוח	לשמוח	analogy	1	2	מסיח 1	miss	
לטשטש	לטשטש	analogy	1	2	מסיח 2	full	טשטש
להסתיר	להסתיר	analogy	1	2	מסיח 2	close	סתר
למוטט	למוטט	analogy	1	2	מסיח 3	miss	
לקרוס	לקרוס	analogy	1	2	מסיח 3	miss	
לגהץ	לגהץ	analogy	1	2	מסיח 4	miss	
להחליק	להחליק	analogy	1	2	מסיח 4	close	חלק
דירה	דירה	analogy	1	3	רגל	miss	
דיר	דיר	analogy	1	3	רגל	full	דיר
אסם	אסם	analogy	1	3	מסיח 1	full	אסם
קלשון	קלשון	analogy	1	3	מסיח 1	full	קלשון
מכונית	מכונית	analogy	1	3	מסיח 2	miss	
כרכרה	כרכרה	analogy	1	3	מסיח 2	close	כרכר
צלחת	צלחת	analogy	1	3	מסיח 3	close	צלח
אבוס	אבוס	analogy	1	3	מסיח 3	full	אבוס
ברז	ברז	analogy	1	3	מסיח 4	miss	
שוקת	שוקת	analogy	1	3	מסיח 4	full	שוקת
הסתרק	הסתרק	analogy	1	4	רגל	close	סתר
סירק	סירק	analogy	1	4	רגל	full	סרק
התהלל	התהלל	analogy	1	4	מסיח 1	close	הלל
הילל	הילל	analogy	1	4	מסיח 1	full	הולל
התחבק	התחבק	analogy	1	4	מסיח 2	miss	
חיבק	חיבק	analogy	1	4	מסיח 2	miss	
התבשר	התבשר	analogy	1	4	מסיח 3	full	התבשר
בישר	בישר	analogy	1	4	מסיח 3	close	בשר
התקנא	התקנא	analogy	1	4	מסיח 4	close	קנא
קינא	קינא	analogy	1	4	מסיח 4	close	קנא
בצר	בצר	analogy	1	5	רגל	full	בצר
כרם	כרם	analogy	1	5	רגל	miss	
כרה	כרה	analogy	1	5	מסיח 1	full	כרה
מכרה	מכרה	analogy	1	5	מסיח 1	full	מכורה
ניסר	ניסר	analogy	1	5	מסיח 2	close	נסר
נגרייה	נגרייה	analogy	1	5	מסיח 2	close	נגר
משה	משה	analogy	1	5	מסיח 3	full	משה
קצר	קצר	analogy	1	5	מסיח 4	close	קצר
תבואה	תבואה	analogy	1	5	מסיח 4	miss	
הישג	הישג	analogy	1	6	רגל	miss	
הישגיות	הישגיות	analogy	1	6	רגל	miss	
חיוך	חיוך	analogy	1	6	מסיח 1	full	חך
חייכנות	חייכנות	analogy	1	6	מסיח 1	miss	
עניין	עניין	analogy	1	6	מסיח 2	miss	
התעניינות	התעניינות	analogy	1	6	מסיח 2	miss	
הרפתקה	הרפתקה	analogy	1	6	מסיח 3	miss	
הרפתקנות	הרפתקנות	analogy	1	6	מסיח 3	miss	
תבוסה	תבוסה	analogy	1	6	מסיח 4	miss	
תבוסתנות	תבוסתנות	analogy	1	6	מסיח 4	miss	
מחשבון	מחשבון	analogy	2	1	רגל	miss	
נקודה	נקודה	analogy	2	1	מסיח 1	close	נקד
פיסוק	פיסוק	analogy	2	1	מסיח 1	miss	
מנוף	מנוף	analogy	2	1	מסיח 2	miss	
הרמה	הרמה	analogy	2	1	מסיח 2	close	רמה
מחבת	מחבת	analogy	2	1	מסיח 3	miss	
אכילה	אכילה	analogy	2	1	מסיח 3	close	אכל
בגד	בגד	analogy	2	1	מסיח 4	miss	
לבישה	לבישה	analogy	2	1	מסיח 4	miss	
כבשה	כבשה	analogy	2	2	רגל	close	כבש
עדר	עדר	analogy	2	2	רגל	miss	
ענף	ענף	analogy	2	2	מסיח 1	full	ענף
עץ	עץ	analogy	2	2	מסיח 1	miss	
