מילה	ניקוד	הסכמה	הערה
הדרן	הַדְרָן	3/3	
קיבורת	קִיבּוֹרֶת	3/3	סומן ספק
חשבונייה	חֶשְׁבּוֹנִייָּה	2/2	סומן ספק
מהוקצע	מְהוּקְצָע	3/3	סומן ספק
סייס	סַייָּס	2/2	
צביון	צִבְיוֹן	3/3	
מכורה	מְכוֹרָה	3/3	
אצטגנין	אִצְטַגְנִין	3/3	סומן ספק
לודר	לוּדָר	3/3	סומן ספק
קופיץ	קוֹפִיץ	3/3	
זרבובית	זַרְבּוּבִית	3/3	סומן ספק
צפריר	צַפְרִיר	3/3	
מצודד	מְצוֹדֵד	3/3	
אפיל	אָפִיל	3/3	סומן ספק
אסוך	אָסוּךְ	3/3	
אסל	אֵסֶל	2/3	סומן ספק
צרי	צֳרִי	3/3	סומן ספק
תרגימה	תַּרְגִּימָה	2/3	סומן ספק
אבן שאין לה הופכין	אֶבֶן שֶׁאֵין לָהּ הוֹפְכִין	3/3	סומן ספק
אור יקרות	אוֹר יְקָרוֹת	3/3	
חרב פיפיות	חֶרֶב פִּיפִיּוֹת	3/3	
סלע המחלוקת	סֶלַע הַמַּחֲלוֹקֶת	2/2	
שידוד מערכות	שִׁידּוּד מַעֲרָכוֹת	2/2	
סרח עודף	סֶרַח עוֹדֵף	2/3	סומן ספק
היינו הך	הַיְינוּ הָךְ	2/2	סומן ספק
לא יסולא בפז	לֹא יְסוּלָּא בְּפָז	2/2	סומן ספק
שעת כושר	שְׁעַת כּוֹשֶׁר	2/2	
עיר פרזות	עִיר פְּרָזוֹת	3/3	
נחל איתן	נַחַל אֵיתָן	3/3	
קירח מכאן ומכאן	קֵירֵחַ מִכָּאן וּמִכָּאן	2/2	
שוקת שבורה	שׁוֹקֶת שְׁבוּרָה	2/2	
עלה על שרטון	עָלָה עַל שִׁרְטוֹן	2/3	
לבטים	לְבָטִים	3/3	
לצמיתות	לִצְמִיתוּת	3/3	
גרידא	גְּרֵידָא	3/3	סומן ספק
בר מינן	בַּר מִינָּן	2/2	
כדבעי	כִּדְבָעֵי	3/3	סומן ספק
אתרע מזלו	אִתְרַע מַזָּלוֹ	3/3	סומן ספק
בוקי סריקי	בּוּקֵי סְרִיקֵי	2/2	סומן ספק
בריש גלי	בְּרֵישׁ גַּלֵּי	3/3	סומן ספק
אליבא ד	אַלִּיבָּא דְּ	3/3	סומן ספק
שור	שׁוּר	3/3	סומן ספק
טס	טַס	3/3	
זוג	זוֹג	3/3	סומן ספק
חלב	חֵלֶב	3/3	
גבר	גֶּבֶר	3/3	
מסה	מַסָּה	3/3	
כרוב	כְּרוּב	3/3	
יובל	יוֹבֵל	3/3	
ענק	עֲנָק	3/3	
אחשדרפן	אֲחַשְׁדַּרְפָּן	3/3	סומן ספק
אחלמה	אַחְלָמָה	3/3	
מורסה	מוּרְסָה	3/3	סומן ספק
רחת	רַחַת	3/3	
סודר	סוּדָר	3/3	
קבה	קֵבָה	3/3	
אפדן	אַפַּדָּן	2/3	סומן ספק
כליב	כְּלִיב	3/3	סומן ספק
לזות שפתיים	לְזוּת שְׂפָתַיִים	3/3	הוכרע לפי כלל הכתיב המלא
כיליון עיניים	כִּילְיוֹן עֵינַיִים	3/3	הוכרע לפי כלל הכתיב המלא
קל רגליים	קַל רַגְלַיִים	3/3	הוכרע לפי כלל הכתיב המלא
