w3546	חי	עז	ברור
w1279	עמוקות	מאוד	-
w0370	לרצות	מחסור	-
w0345	תיאטרון	-	-
w2570	מרכיב	רכיב	-
w3472	מקלט	מפלט	-
w2137	למלא	להגשים	-
w0338	טעם	לטעום	-
w3690	לקשט	לייפות	להפריז
w1254	נפוץ	משותף	רגיל
w3516	חזק	יציב	מוצק
w1597	לסדר	לארגן	לתאם
w2323	לחזק	-	-
w1287	חיסרון	נחיתות	-
w3483	חזק	איתן	-
w1225	מלבד	חוץ מזה	-
w2360	משתנה	-	-
w3135	השתלה	להשתיל	-
w1698	תורם	-	-
w1999	גישה	לגשת	להתקרב
w0925	כישלון	תקלה	-
w0825	עיוור	לסנוור	תריס
w3550	בעוד ש	-	-
w0933	בכושר	מתאים	להתאים
w2765	לפהק	פיהוק	-
w1261	הקשר	-	-
w3638	להרטיב	להחליש	-
w2380	עניין	רומן	-
w0686	אחראי	-	-
w0795	תאונה	מקרה	-
w3048	התחייבות	להתחייב	-
w0400	שביעי	-	-
w1365	לשפר	להשתפר	-
w0903	חינוך	השכלה	-
w2798	ערבות	-	-
w2642	לשמר	שמורה	ריבה
w2320	יציבות	-	-
w2667	פליט	-	-
w0028	לפחות	-	-
w2032	קצב	לטבוח	-
w2754	להיעלם	-	-
w2892	אחוזה	עיזבון	-
w0026	ב	-	-
w2061	להתאים	לקשר	-
w3867	להוריד בדרגה	-	-
w1566	עגלה	-	-
w2563	ליישם	כלי	-
w0781	גל	לנופף	-
w1198	בין	-	-
w3503	מרווח	-	-
w3199	להשיג	להגיע ל	-
w3595	ביישן	-	-
w2247	מיושן	-	-
w2350	לא מוכר	זר	-
w2648	הצעה	טענה	-
w1126	מרחב	חלל	-
w0839	בהחלט	בוודאי	-
w0514	מנוע	-	-
w0166	מידע	-	-
w0488	דיכאון	מיתון	שקע
w3926	להתרחש	להתברר	-
w0678	מציאות	-	-
w2853	לרוקן	להחליש	-
w2151	לא מזיק	תמים	-
w0962	מארח	לארח	-
w2154	מצחיק מאוד	משעשע	-
w1004	להוריד	נמוך	-
w3184	מדי שנה	-	-
w0136	לנחש	ניחוש	-
w2769	הישג	-	-
w0085	למטה	מדוכא	-
w1509	תבלין	לתבל	-
w3892	לצחקק	צחקוק	-
w3619	להשלים עם	לסלוח	-
w2366	נפח	עוצמה	כרך
w0472	מדינה	ארץ	-
w3208	קרן	קורה	לחייך
w2112	מחק	-	-
w2398	להמתין	-	-
w2808	קבורה	-	-
w0444	גשר	לגשר	-
w3487	רווי	-	-
w2541	ענב	-	-
w2896	להתיש	למצות	פליטה
w0348	שם	-	-
w2319	אביב	מעיין	קפיץ
w2855	תענוג	לשמח	-
w1138	לסבול	-	-
w0256	אפשרי	-	-
w1214	הילה	-	-
w3916	להכתים	כתם	-
w2764	צמר	-	-
w0382	רחב	-	-
w2065	לבקר	-	-
w3378	להסתמך על	לעורר	-
w2243	רגיל	פשוט	-
w2451	חלבי	מחלבה	-
w2314	פנוי	רזרבי	לחוס על
w1874	להתנגד	לעמוד בפני	-
w3270	מכוון	לשקול	-
w1987	לייעץ	-	-
w0104	משפחה	-	-
w1191	עצה	-	-
w2127	לסיים	לגבש	-
w2326	סובייקטיבי	-	-
w3445	בעיקר	-	-
w3130	פח	קופסה	-
w1570	לוויתן	-	-
w0687	תוצאה	לנבוע	-
w3776	אבן פינה	אבן מפתח	-
w3076	לחזק	לבסס	-
w2850	להירקב	ריקבון	-
w2078	כלבו	-	-
w2311	להישבר	תצלום	לצלם
w1885	לשפשף	שפשוף	-
w2616	מדי פעם	לעיתים	-
w1034	תשוקה	להט	-
w0001	ראשון	-	-
w0806	כעס	-	-
w2349	לא נחקר	-	-
w3702	מעורר	-	-
w0048	על ידי	ליד	-
w0878	עיכוב	לעכב	-
w0504	מוקדם	-	-
w0277	אורז	-	-
w3909	להכניע	לרסן	-
w0578	אינטלקטואלי	אינטלקטואל	-
w3037	תפיסה	-	-
w3185	לצפות	-	-
w0162	עוד רגע	מיד	-
w2796	הנחה	-	-
w0544	נוסחה	-	-
w2532	מאובן	-	-
w2090	טיוטה	לנסח	גיוס
w0273	להירגע	לנוח	-
w1428	לסלוח	חנינה	-
w0313	כדי ש	-	-
w1582	נעדר	חסר	-
w0025	לשאול	לבקש	-
w1283	תשוקה	להשתוקק	-
w1500	שינוי	משמרת	להזיז
w1997	תיאבון	-	-
w0310	נחש	-	-
w1992	הודעה	-	-
w2306	באופן דומה	-	-
w0473	זוג	לחבר	-
w0302	מאז	מכיוון ש	-
w3934	סדרן	ללוות	-
w3528	ביישן	פחדן	-
w0505	בקלות	-	-
