attribute	היא ייחסה את התאונה לטעות של הנהג ולגשם כבד.
augment	החברה מתכננת להרחיב את הצוות שלה עם אנשי מקצוע מנוסים.
awe	העמידה מול המקדש העתיק מילאה אותה ביראת כבוד עמוקה.
backdrop	ההרים סיפקו רקע מרהיב לתמונות החתונה.
basin	היא מילאה את האגן הקרמי במים קרים לרחצה.
bead	כל חרוז בשרשרת נוצר בעבודת יד על ידי אומנים.
beak	התוכי פיצח אגוזים באמצעות המקור המעוקל והחזק שלו.
beam	קרן אור שמש של הבוקר זרמה דרך החלון.
behalf	הוא דיבר היום מטעם כל צוות המחקר.
being that	מכיוון שהסערה הגיעה מוקדם, דחינו את האירוע.
bias	מנהל הגיוס הפגין הטיה ברורה כלפי מועמדים צעירים יותר.
bizarre	היא אכלה דגני בוקר עם מיץ תפוזים, הרגל מוזר שחברותיה הקניטו אותה עליו לא פעם.
botanist	הבוטנאי הקדיש עשרות שנים לחקר מיני צמחים בסכנת הכחדה ברחבי העולם.
burden	הטיפול בהוריה הקשישים הפך לעול רגשי.
burglar	הפורץ נכנס לבית דרך חלון מרתף לא נעול.
by no means	בשום אופן לא כדאי לך לסמוך על מישהו ללא המלצות.
capital punishment	עונש מוות בוטל ברוב אירופה לפני עשרות שנים.
carve	הוא גילף פסל עץ מורכב באמצעות אולר הכיס שלו.
cavity	רופא השיניים מצא חור בטוחנת התחתונה הימנית שלי.
characterize	היסטוריונים מאפיינים אותו כאחד המנהיגים הגדולים ביותר.
chariot	הלוחם רכב על מרכבתו הזהובה לרוחב המדבר.
circulate	התזכיר הופץ מיד לכל העובדים הבוקר.
circumstance	בנסיבות אלה, אין לנו שום ברירה טובה יותר.
coexist	חתולים וכלבים יכולים להתקיים זה בצד זה בשלום באותו בית, בעזרת סבלנות.
coexistence	שני השותפים לדירה הגיעו לבסוף לדו-קיום שליו לאחר שפתרו את חילוקי הדעות במטבח.
commence	הקונצרט יתחיל היום בשעה שמונה בערב.
commodity	הנפט הפך לסחורה יקרת ערך בשווקים העולמיים.
communal	הגינה המשותפת נמצאת בשימוש כל תושבי השכונה.
comparable	שני המחשבים הניידים האלה ברי השוואה מבחינת מחיר ומפרט.
comparatively	הקיץ הזה היה קריר יותר באופן יחסי מהשנה הקודמת.
compel	חוקי חובת הלימוד מאלצים הורים לרשום את ילדיהם לבית הספר.
composed	היא נשארה רגועה בזמן שכולם נכנסו לפאניקה בהפסקת החשמל הפתאומית.
comprehend	אני לא מצליח להבין את משפט החשבון הדיפרנציאלי המתקדם הזה בכלל.
conceal	הוא ניסה להסתיר את המבוכה שלו בצחוק מאולץ.
conception	התפיסה שלהם את ההצלחה הייתה שונה מאוד משלנו.
conclusively	ראיות הדנ"א הוכיחו סופית את חפותו המלאה.
condemned	המבקרים גינו את הסיום המאכזב והמערכה האחרונה החפוזה של הסרט.
condense	תוכל לתמצת את הדוח הארוך הזה לשני עמודים?
confiscate	מאבטחים יחרימו פריטים אסורים בכניסה.
consequently	המפעל נסגר; כתוצאה מכך, מאות אנשים איבדו את מקום עבודתם.
considerable	הם השקיעו הרבה זמן בשיפוץ בית החווה הישן במהלך הקיץ.
consist	הוועדה מורכבת מחמישה גברים וארבע נשים.
consolidate	החברה איחדה שלושה משרדים למטה מרכזי אחד.
constitute	נשים מהוות כיום מחצית מכיתת בית הספר לרפואה.
contaminate	פסולת תעשייתית זיהמה את אספקת מי השתייה המקומית.
contemporary	היא מעדיפה אמנות עכשווית על פני ציורים קלאסיים או מסורתיים.
contradictory	ההצהרה האחרונה שלו סותרת את מה שטען קודם לכן.
conversely	יש כאלה שאוהבים מתמטיקה; לעומת זאת, אחרים מתקשים עם מספרים.
convey	מכתבו מסר תודה עמוקה והערכה כנה.
correspond	שני חברי הדואר מתכתבים באופן קבוע מאז שנפגשו בקולג'.
correspondence	ההתכתבות בכתב יד שלהם נמשכה למעלה מארבעים שנה יוצאות דופן.
correspondingly	עם עליית האינפלציה, כוח הקנייה ירד בהתאמה בחדות.
counsel	המטפל ייעץ לה לשאוף לקידום מקצועי בקריירה.
counterpart	המנכ"לית נפגשה עם בעל התפקיד המקביל לה בגרמניה בברלין.
coupled with	הגאונות שלו, יחד עם המסירות, הבטיחה הצלחה יוצאת דופן.
courteous	המלצר האדיב בירך כל אורח בשמו ומילא מחדש כוסות מים בלי שיתבקש.
crave	אחרי חודשים בחו"ל, היא השתוקקה לבישול הביתי של אמה.
crude	הבדיחות הוולגריות שלו פגעו בכמה מהאורחים בקבלת הפנים.
cuisine	המטבח האיטלקי אהוב ברחבי העולם בזכות מנות הפסטה שלו.
cultivate	היא מעבדת ירקות אורגניים בגינת החצר האחורית שלה מדי שנה.
czar	הצאר שלט ברוסיה בכוח מוחלט לפני שהאימפריה קרסה בסופו של דבר.
deceased	הנפטר נקבר בחלקת הקבורה המשפחתית.
deceive	הוא הונה את שותפו העסקי בנוגע לעלויות האמיתיות.
decipher	התקשיתי לפענח את כתב היד שלו שכמעט ואי אפשר לקרוא.
deduce	מעקבות הבוץ, הבלש הסיק שהגנב נמלט דרך הגינה.
defer	נעכב את ההחלטה החשובה הזו עד הרבעון הבא.
deficiency	מחסור בוויטמין די עלול להחליש עצמות ולפגוע בחסינות.
deformity	הפציעה גרמה למום קבוע ברגל.
degenerate	אחרי הפציעה, הביצועים האתלטיים שלו החלו להתנוון.
deliberate	היא עשתה הפסקה מכוונת לפני שענתה על שאלת הראיון הקשה.
delusions	הוא סבל מאשליות לגבי חשיבותו החברתית האמיתית.
denote	אור אדום מציין סכנה ומאותת לנהגים לעצור.
densely	העיר האירופית העתיקה מיושבת בצפיפות, עם רחובות צרים ודירות עמוסות.
depict	הציור תיאר כפר שליו השוכן בין עמקים.
derive	היא שואבת הנאה וסיפוק אמיתיים מקריאת רומנים.
differences	שני השותפים העסקיים התווכחו על חילוקי הדעות היסודיים שלהם לגבי אסטרטגיית החברה.
disciples	מאסטר אמנויות הלחימה אימן את תלמידיו הנאמנים כל בוקר לפני הזריחה.
disclose	החברה גילתה אתמול את תוצאותיה הכספיות הרבעוניות.
discriminate	חוקים אוסרים על מעסיקים להפלות על בסיס גיל.
