w2162	בקיצור	במילה אחת	-
w3639	גנדרן	מצוין	-
w0330	טיפשי	מטומטם	-
w3494	הפרדה	בידול	-
w3395	מום	עיוות	-
w3655	לייעד	למנות	-
w2882	אכיל	-	-
w0071	מסוכן	-	-
w1932	תומך	מעודד	-
w3614	להגות	להרות	-
w3259	מטבח	-	-
w1238	לזרוק	שחקנים	גבס
w0297	קצר	נמוך	-
w3730	לרהט	לספק	-
w3181	מספיק	נרחב	-
w0420	אמן	-	-
w1526	תסמונת	-	-
w1432	פיגמנט	חומר צבע	-
w0021	צבא	-	-
w0642	תזמורת	-	-
w2022	להאשים	אשמה	-
w1703	יעיל	-	-
w1021	הכרחי	נחוץ	-
w2742	מורה פרטי	ללמד	-
w2004	יהיר	שחצן	-
w2821	להתנגש	-	-
w1844	זכות יתר	פריבילגיה	-
w0780	אזהרה	-	-
w3220	לאפיין	-	-
w2013	אסם	רפת	-
w0742	להציע	לרמז	-
w1020	בקרבת מקום	סמוך	-
w1973	חיות בר	-	-
w0440	משעמם	-	-
w3235	תפיסה	התעברות	-
w3136	אמנה	הסכם	-
w2496	להגדיל	-	-
w0812	ער	להתעורר	-
w1314	בחינה	בדיקה	-
w2679	להתרבות	לשכפל	-
w1895	רצף	סדרה	-
w1460	מהיר	-	-
w1350	תקלה	באג	-
w1958	תקף	הגיוני	-
w3027	בלב ים	בחו"ל	-
w1560	רכב	-	-
w1209	עד	לא פחות מ	-
w1093	בקשה	לבקש	-
w0881	לתאר	-	-
w0510	פיל	-	-
w3328	לאבד	לוותר על	-
w2724	לפקח	להשגיח	-
w3946	קנאי	-	-
w3659	מזיק	פוגעני	-
w0222	מספר	למנות	-
w0581	אינטואיציה	תחושת בטן	-
w0704	סדרה	-	-
w3788	ביטוי	התגלמות	-
w2694	להגן	הגנה	-
w1184	פרוע	בר	-
w2655	להעפיל	להסמיך	-
w3822	תחביב	בילוי	-
w1645	תרשים	לשרטט	-
w1210	כהוכחה ל	-	-
w0243	אנשים	עם	-
w1830	אפרסק	-	-
w2680	להתגורר	לגור	-
w0863	סכסוך	להתנגש	-
w2344	לא מושך	לא אטרקטיבי	-
w1601	לסייע	לעזור	-
w3530	זרד	-	-
w3222	לזרום	להפיץ	-
w1077	להגיב	-	-
w2330	מתח	דריכות	-
w2615	מזדמן	לא תדיר	-
w0033	התחלה	-	-
w0999	הרצאה	להרצות	-
w1354	לטפל	ידית	-
w3146	להיפך	-	-
w2960	בלתי נמנע	-	-
w3240	לפיכך	כתוצאה מכך	-
w1851	מוציא לאור	הוצאה לאור	-
w0723	סוג	למיין	-
w1204	להופיע	להיראות	-
w3421	זעם	לזעזע	-
w1512	אצטדיון	-	-
w1667	שיתוף פעולה	-	-
w1522	לחשוד	חשוד	-
w2863	להקדיש	-	-
w0023	אמנות	-	-
w3073	להסדיר	לווסת	-
w0324	צעד	מדרגה	לצעוד
w1145	סיפור	אגדה	-
w2962	לנפח	-	-
w0561	סבתא	-	-
w0756	תייר	-	-
w0976	לכלול	-	-
w1621	ריק	חלל ריק	-
w2612	התחייבות	חובה	-
w3108	רזה	דק	-
w2762	בהרחבה	-	-
w1578	לתהות	פלא	-
w3563	שותף לפשע	שותף	-
w2289	הזמנה	הסתייגות	-
w3608	ראוי לשבח	-	-
w1750	הרגל	-	-
w0044	לשבור	הפסקה	-
w1867	קרוב משפחה	יחסי	-
w0939	זר	-	-
w1623	לרתוח	להרתיח	-
w2179	עניין	ריבית	-
w1217	מכונית	רכב	-
w1408	להניע	לעודד	-
w3064	לרדוף	לשאוף	-
w3649	מכנה	-	-
w2411	לסווג	-	-
w1298	להרוויח	לזכות ב	-
w2690	חרוז	לחרוז	-
w1725	להאריך	להרחיב	-
w3922	להתעסק	לתקן	-
w0487	למחוק	-	-
w2361	אנכי	-	-
w1016	בעיקר	-	-
w2743	לא מודע	-	-
w1144	להחליף	מתג	-
w0088	מוקדם	-	-
w3924	להרגיע	לסמם	-
w2469	ממושמע	מאופק	-
w2628	פסקה	-	-
w2898	לגרש	להרחיק	-
w3757	בשוגג	בטעות	-
w2516	מומחיות	-	-
w0573	במילים אחרות	-	-
w0284	בטוח	כספת	-
w2023	שמיכה	לכסות	-
w1795	בדידות	-	-
w3257	להשתוקק	לחשוק	-
w2758	אוצר מילים	-	-
w0073	ים המלח	-	-
w3582	לפייס	להרגיע	-
w0489	עיצוב	לעצב	-
w1960	מגוון	זן	-
w1790	כבד	-	-
w3699	לחרוט	-	-
w3773	חסר חוליות	-	-
w2973	שנהב	-	-
w0467	לחבר	להתחבר	-
w0030	כי	מפני ש	-
w3410	בולט	ראוי לציון	-
w0268	שקט	-	-
