מילה	מנקד	ההצעה	הסיבה
חשבונייה	B	חֶשְׁבּוֹנִיָּה	האותיות שונו
סייס	B	סַיָּס	האותיות שונו
לזות שפתיים	B	לְזוּת שְׂפָתַיִם	האותיות שונו
סלע המחלוקת	B	סֶלַע הַמַּחֲלֹקֶת	האותיות שונו
שידוד מערכות	B	שִׁדּוּד מַעֲרָכוֹת	האותיות שונו
היינו הך	B	הַיְנוּ הָךְ	האותיות שונו
כיליון עיניים	B	כִּלְיוֹן עֵינַיִם	האותיות שונו
לא יסולא בפז	B	לֹא יְסֻלָּא בְּפָז	האותיות שונו
קל רגליים	B	קַל רַגְלַיִם	האותיות שונו
שעת כושר	B	שְׁעַת כֹּשֶׁר	האותיות שונו
קירח מכאן ומכאן	B	קֵרֵחַ מִכָּאן וּמִכָּאן	האותיות שונו
שוקת שבורה	B	שֹׁקֶת שְׁבוּרָה	האותיות שונו
בר מינן	B	בַּר מִנַּן	האותיות שונו
בוקי סריקי	B	בּוּקֵי סְרוּקֵי	האותיות שונו
