121	דִּמְדּוּמִים	השמש כבר שקעה, ובדמדומים בקושי הבחנו בשביל שבין העצים.	At twilight, after the sun dropped below the hills, the path grew hard to see.
122	זִיו	זיו פניה של הכלה האיר את האולם כולו, ואיש לא הצליח להסיר ממנה מבט.	The radiance of the polished dome made the whole square glow at sunrise.
123	נֹגַהּ	נוגה הירח נשפך על פני האגם, והמים נצצו כאילו הודלקו מבפנים.	A cold glow from the full moon lit the snow brightly enough to read by.
124	נְהָרָה	כשנפתחה הדלת פרצה נהרה מן החדר המואר והציפה את המסדרון החשוך.	When the door opened, a flood of brightness poured out and washed over the dark hallway.
125	אֶשְׁנָב	הפקידה הושיטה לי את הטופס דרך האשנב הצר שבזכוכית, בלי לפתוח את הדלת.	The clerk slid the form back through a narrow window in the glass partition.
126	צֹהַר	דרך הצוהר שבגג חדרה קרן אור יחידה והאירה את רצפת עליית הגג.	A single beam came through the skylight and lit the dusty attic floor.
127	מִפְתָּן	הוא עצר על מפתן הבית, ניגב את נעליו ורק אז נכנס פנימה.	He paused on the threshold, wiped his shoes, and only then stepped inside.
128	אֶדֶן	הנחתי את עציץ הבזיליקום על אדן החלון, שם הוא מקבל שמש בבוקר.	She left the mug on the windowsill, where the morning sun warmed it.
129	גַּחֶלֶת	אחרי שהמדורה כבתה נותרה גחלת אחת בוערת, ומספיק היה לנשוף בה כדי להצית ענף.	Long after the flames died, one ember still glowed red under the gray ash.
130	שֹׁבֶל	המטוס חלף מעלינו והשאיר אחריו שובל לבן ארוך שנמתח על פני השמיים.	The plane left a long white trail stretching across the sky behind it.
131	אֲלֻמָּה	הקוצרים קשרו את השיבולים לאלומות והעמידו אותן זו לצד זו בשדה.	The harvesters tied the cut stalks into sheaves and stood them upright in rows.
132	צֵידָה	לפני שיצאנו למסע ארזנו צידה לשלושה ימים: לחם, גבינה קשה ומים.	They packed enough provisions for three days on the trail: bread, cheese, and water.
133	נָוֶה	אחרי שעות של חול וחום הגענו לנווה קטן ובו באר, דקלים ובתי אבן.	After hours of sand, they reached a small oasis with a well and palm trees.
134	מְאוּרָה	השועל נמלט מהכלבים ונעלם בתוך המאורה שחפר מתחת לשורשי העץ.	The fox slipped away from the dogs into the den it had dug under the roots.
135	אֹבֶךְ	אובך כבד עמד באוויר אחרי סופת החול, והבניינים ממול נראו כמו צללים.	Dust haze hung over the city after the sandstorm, blurring the buildings across the street.
136	סַגְרִיר	ביום סגריר כזה, עם גשם ורוח קרה, איש לא רצה לצאת מהבית.	On a raw, rainy day like this, nobody wanted to leave the warm house.
137	מַשָּׁב	משב רוח פתאומי הפך את הדפים על השולחן וסגר את הדלת בטריקה.	A sudden gust of wind flipped the pages and slammed the door shut.
138	פֶּלֶג	פלג מים צלול ירד מן ההר וזרם בין הסלעים אל הנחל הגדול.	A clear brook ran down from the hill between the rocks toward the larger river.
139	אֶשֶׁד	המים נפלו מגובה של עשרים מטר, והאשד הרעים כך שלא שמענו זה את זה.	The waterfall dropped twenty meters and roared so loudly we could not hear each other.
140	אָפִיק	בקיץ אפיק הנחל יבש לגמרי, ורק בחורף חוזרים המים לזרום בתוכו.	In summer the riverbed lies completely dry, and only winter rains send water through it.
141	שַׁחַר	יצאנו לדרך עם שחר, כשהשמיים רק החלו להאיר ממזרח והכפר עוד ישן.	We set out at dawn, when the eastern sky was just beginning to lighten.
142	בְּכוֹרָה	הוועדה נתנה בכורה לבקשות של המשפחות הנזקקות, ורק אחריהן טיפלה בשאר.	The committee gave priority to the urgent cases and handled the rest only afterward.
143	תַּפְנִית	החקירה לקחה תפנית חדה כשהתברר שהעד המרכזי שיקר לאורך כל הדרך.	The case took a sharp turn when the main witness admitted he had lied.
144	מַהֲלֻמָּה	סגירת המפעל הייתה מהלומה כלכלית קשה לעיירה, שרוב תושביה התפרנסו ממנו שנים.	Losing its only factory dealt the town a severe blow, since most families worked there.
145	תִּגְרָה	ויכוח קטן על מקום חניה התפתח לתגרה קולנית, והשכנים נאלצו להפריד ביניהם.	A small argument over a parking spot turned into a loud scuffle the neighbors broke up.
146	חַלְחָלָה	המחשבה שהילד הלך לבדו ביער בלילה עוררה בי חלחלה, ולא הצלחתי להירדם.	The thought of the child alone in the woods at night filled me with dread.
147	סְלִידָה	הוא הרחיק את הצלחת בסלידה כשהריח את הדג שנשכח יומיים במקרר.	She pushed the plate away in disgust when she smelled the fish left out for days.
148	עֶדְנָה	אחרי השיפוץ ידע בית הקפה הישן עדנה, והתורים בכניסה חזרו כמו פעם.	After the renovation the old cafe enjoyed a revival, and the lines returned as before.
149	דְּרוֹר	בתום שנות עבודה ארוכות קרא לעצמו דרור, מכר את העסק ויצא לטייל בעולם.	After years of long hours he set himself free, sold the business, and traveled.
150	מִשְׁגֶּה	המשגה שלו בחישוב עלה לחברה מיליון שקלים, והוא התנצל בפני כל הצוות.	A single mistake in his calculation cost the company a fortune, and he apologized publicly.
151	פִּכָּחוֹן	בעוד כולם נסחפו בהתלהבות, היא בחנה את הנתונים בפיכחון והצביעה על הסיכונים.	While everyone else got carried away, she assessed the numbers soberly and named the risks.
152	נֵס	העץ שנעקר בסערה נפל בדיוק בין שני הבתים ולא פגע באיש — נס גמור.	The falling tree landed exactly between the two houses and hurt no one — a miracle.
153	לֵחַ	הוא כבר בן תשעים, ובכל זאת לא נס ליחו והוא עדיין מטפס בהרים.	At ninety he has lost none of his vigor and still climbs mountains every summer.
154	דֹּפִי	המתחרים הטילו דופי ביושרו של השופט, אף שלא הציגו שום ראיה לכך.	His rivals cast aspersions on the judge's honesty without offering a shred of evidence.
155	רְבָב	החליפה שלו הייתה מגוהצת ללא רבב, ואפילו קמט אחד לא נראה בה.	His suit was pressed without a single flaw, not one crease or spot anywhere.
156	שֶׁמֶץ	היא עמדה על שלה בלי שמץ של היסוס, אף שכולם התנגדו לה.	She stood her ground without the slightest hesitation, even though everyone opposed her.
157	קֹרְטוֹב	הוסיפי קורטוב מלח בלבד לבצק, יותר מזה יקלקל את הטעם.	Add just a pinch of salt to the dough; any more will ruin the taste.
158	מַגָּל	האיכר אחז במגל וקצר את שיבולי החיטה בתנועות מעגליות, שורה אחר שורה.	The farmer swung his sickle and cut the wheat stalks row by row.
159	סַהַר	בלילה בהיר כזה אפשר ללכת בשביל לאור הסהר בלבד, בלי פנס.	On a clear night like this you can walk the trail by moonlight alone.
160	חַרְטוֹם	החסידה נעצה את חרטומה הארוך בבוץ הרדוד וחיפשה שם צפרדעים.	The stork jabbed its long beak into the shallow mud, hunting for frogs.
161	פְּסֵיפָס	על רצפת הווילה הרומית נחשף פסיפס צבעוני שהורכב מאלפי אבנים זעירות.	The excavation uncovered a colorful mosaic assembled from thousands of tiny colored stones.
162	רְפָאִים	אחרי שהמכרה נסגר הפכה העיירה לעיר רפאים: בתים ריקים ורחובות בלי אדם.	Once the mine closed the town became a ghost town: empty houses, streets without people.
163	נֶגֶף	התקציב המצומצם היה אבן נגף בדרך לפרויקט, ובגללו נדחתה ההתחלה בשנה.	The tight budget became a stumbling block that delayed the project by a full year.
