k	v	why
58eddd1919f8	כ	יידוע
7759735696e6	כ	תחילית ב
226c91e8a674	כ	עתיד של לשאול
a597c94aab79	כ	נטיית כינוי של שניים
4ba9e1165411	כ	עתיד של לשבור
66d807b37f58	כ	עתיד של להתקשר
84a8ec2be8d5	כ	עתיד של לצנן
062a6c65c97b	כ	ריבוי של אנושי
642623d0591e	כ	יידוע
83bd272937d1	כ	עבר של להכיר
7c532fedf7e5	כ	עבר נקבה של הכין
b524ffa23d69	כ	הווה של לשלם
c4da25b8ec70	כ	תחילית ב
1e8ebdb1b8c4	כ	יידוע
569fd777f32c	כ	יידוע בתוך הצירוף
dde7c0e800fb	כ	הווה של לרכוב
31bf8b0350b7	כ	יידוע
41abdffa907d	כ	עבר של לרוץ
cb0a44c8057c	כ	יידוע
0be25d560868	כ	יידוע
0717500b6936	כ	עבר נקבה של לחתום
d64184766c59	כ	הווה של לבזבז
0f75e96642b0	כ	עתיד של להתחיל
904c90f2fcb0	כ	הווה של להפתיע · יידוע
42ad758bc30c	כ	יידוע
c8ca1e79a6e5	כ	יידוע
04ff9e8471da	ל	לפני ולפנות שתי מילים
b13a84ce4589	כ	עתיד של לבקר
e76ee58fc40f	כ	יידוע
1251be335a3f	כ	עתיד של להסתכל
0fe20c086277	כ	יידוע
4da8ee1a03ff	כ	יידוע
441985ab5a58	כ	עבר של לחוג
256a36a86536	כ	יידוע
b51d956072e3	כ	אותו בניין כמו להעתיק
917b6e414e39	כ	יידוע
71b312708dfa	כ	יידוע
2f3f1ea6874d	כ	יידוע
0a017fb0f686	כ	תחילית ב
891ae80bf224	כ	עתיד רבים של לקפוא
739fa73d15ce	כ	יידוע
d3ace16fcadb	כ	נטיית מין ויידוע
5cfcf7762bf8	כ	תחילית ב ויידוע בצירוף
5a76d8694bc2	כ	שם הפועל מול הווה
0630fc59feff	כ	תחילית ב
4eefbfefe938	כ	תחילית מ
ad0c0389152b	כ	נטיית מין ויידוע
f004483da4be	כ	יידוע
b1df48a922ac	כ	ריבוי ויידוע
b97d4274ec8a	כ	יידוע
fffa46c3e255	כ	תחילית ל
318a232a18de	כ	עבר נקבה של לעצור
e45387a610f1	כ	יידוע
b103ea30e4a3	כ	נטיית מין ויידוע בצירוף
00d667332e21	כ	עבר נקבה של התכונן
b1499b10069e	כ	יידוע
a2c0e9b6a8d9	כ	יידוע
d0e65512e34b	כ	צורת נסמך של חידה
4089e70b7925	כ	צורת נסמך של תוצאה
eba436c6d181	כ	עבר נקבה של לשרת
608b12756d07	כ	עבר רבים של להקים
3da7b3e3e649	כ	יידוע
63aec83faf96	כ	עבר של למיין
ac03b3eac02e	כ	הווה של להציע
30a5e1d8fce0	כ	יידוע
428552c65de9	כ	תחילית מ
7cb56a0f6787	כ	יידוע
bd05f86019ef	כ	הווה של להרשות
b4757396f8d1	כ	עבר של לסחוב
124f66f3143b	כ	נטיית מין של מסובך
f3d34e153951	כ	יידוע
19ca9a9d719b	כ	נטיית מין של יומיומי
4739dd9ce556	כ	ריבוי של תרגיל
34271ca0977e	כ	יידוע · כתיב מלא מול חסר
089f184f6c17	כ	יידוע
d9abdba38aa0	כ	יידוע
670584bb7ac7	כ	עתיד של להדריך
cd0f17708951	כ	יידוע
a9a85e44db21	כ	נטיית מין של הגון
df6dc3718653	כ	יידוע
012805a6622e	כ	יידוע
ec0154638862	כ	תחילית ב
7714364d62a8	כ	עבר של לשים לב
b8e62bb7d5a9	כ	ריבוי של שקט
5c07aa515fb0	כ	יידוע
ff6794386b3a	כ	יידוע
0862edb07219	ל	צופים אינו אף אחד מהם
6be737cb04ad	כ	עבר של להבין
aa6cd9b68f7d	כ	הווה של לזהות
660363839da1	כ	יידוע
8803bd9f9953	כ	ריבוי של בוגר ויידוע
ae6c3d486175	כ	יידוע
3d06daedf3eb	כ	יידוע
b18acadaebb1	כ	יידוע
46949fa64da3	כ	יידוע
b0ab73d06567	כ	עבר נקבה של ללבוש
d245d6385358	כ	ריבוי של אנלוגי
e4c544816348	כ	ריבוי של יומיומי
19feac9542ed	כ	תחילית ב
b3e2dce0794f	כ	יידוע
f0caa87cd25b	כ	הווה נקבה של להרוויח
ad60d8265afc	כ	יידוע
17c41050f3b0	כ	ריבוי נסמך ותחילית ב
e796cbc1bc47	כ	יידוע
76070f80e404	כ	תחילית ב
24de4cc778d9	כ	עבר נקבה של להתמודד
5327202bc27a	ל	להדחיק אינו ברשימה
ea60a4f61b34	ל	קרחון והר קרח שתי מילים
a86588f6dc7c	כ	עתיד של לשפר
14cd04112f51	כ	הווה רבים של להעמיס
753c24542717	כ	יידוע
1ed4db67e717	כ	יידוע
16ce3a9230a1	כ	עבר של להוכיח
d06bf05a04d2	כ	ריבוי של מהיר
444e4ef28eed	כ	הווה של להתחרט
256778036a0e	כ	יידוע
4276f5880539	כ	עבר רבים של להרוס
858ce2b26457	כ	יידוע
34f18d3af1fa	כ	תחילית ב
195c78857ed9	כ	יידוע
62c550a17623	כ	יידוע
7ff5cb074fed	כ	יידוע
20654d393cf7	כ	יידוע בתוך הצירוף
dd2ae1fab161	כ	עתיד של להתרחש
38774e1a02d2	כ	יידוע בתוך הצירוף
f6751ed74f8d	כ	עתיד של להפוך
ebb50515d4c1	כ	יידוע
53ebac181f07	ל	נוסף ותוספת מילים שונות
c9a0578655ba	כ	עתיד של להציק
576c033d73b8	כ	עבר נקבה של לסדר
37f7d1cc40d0	כ	עבר נקבה של לחבר
7937fb198ed4	כ	יידוע
a81723b570c7	כ	עבר נקבה של לאסור
e5461994bd08	כ	אותו בניין כמו המריץ
e1d15eb9c6e2	כ	יידוע
bc7626b32367	כ	תחילית ב
c434e3e2b331	כ	נטיית מין בצירוף
b0d0dc36827c	כ	עבר נקבה של להתייעץ
de3e0232a337	כ	עבר נקבה של להכיל
c9fa8c7abe56	כ	הווה נקבה של לדרוש
01f538cbf71f	ל	אזור ומחוז מילים שונות
1a8c4b28ac2d	כ	עתיד של להקל
16096854adfd	כ	יידוע
7fdde412d78d	כ	תחילית ל
ef5df5e32a59	כ	עתיד רבים של להתאסף
467b9894fe72	כ	תחילית ל
698d9b81918c	כ	תחילית ש
0cda568c98a5	כ	עתיד של להפריע
a1917ce7226c	כ	עבר נקבה של לעמול
371e7f7eff4f	כ	יידוע
a0dc19328e28	כ	ריבוי של אמצעי
197b7dead18d	כ	נטייה של להימס
e03a02fcbaf8	כ	יידוע
deff7d187f98	כ	הווה רבים של להתבונן
7a62d5e3a4a1	כ	נטיית מין ויידוע
6d3ab412a4fc	כ	יידוע
7bbe9d943d3e	כ	הווה רבים של לרפד
5090d6aa07de	כ	יידוע
e35179dc8d00	ל	בניין שונה מלהתגרות
493a1fa320f8	כ	יידוע
34e34cd286f3	כ	עתיד רבים של לכווץ
b9a015ea9fda	כ	נטיית מין של יציב
cabab47470de	כ	עתיד של להצליח
33df22ddeab7	כ	נטיית מין של חשוד
8e223b4c2f9f	כ	עבר נקבה של לבלוע
bcd7bef0434b	כ	יידוע
caf01050d997	כ	תחילית ב
e82f2ecbc2b0	כ	ריבוי של מיותר
9e34302d8b14	כ	יידוע
3514f32f35cd	כ	הווה רבים של לקשר
c51e51bc4f9a	כ	עבר של לכופף
db00faa79c43	כ	יידוע
08974bc1d494	כ	תחילית ב
1ec175e50f23	כ	יידוע
c69b5599ffee	כ	יידוע
40c40b04eca5	כ	עתיד של להכריז
96e6cea4a9e7	כ	ריבוי ויידוע
4afaa24693ed	כ	הווה רבים של להיבדל
5c829ef97eae	ל	מחויבות והתחייבות מילים שונות
9bff840ae9e9	כ	הווה רבים של להבטיח
1fee426b4fd7	ל	סביל מול פעיל
e22d8ee9b288	כ	ריבוי של התפתחותי
03e8d3b83bdf	ל	העדיפה אינה אף אחת מהן
a5b8f5dba5ed	כ	נטיית מין של עממי
8aa7ecd54c76	כ	נטייה בתוך אותו צירוף
33250cc0b4da	כ	נטיית מין ויידוע
dd55e6d847b9	כ	עתיד של לערב
cb4404d3a929	כ	יידוע
c0819a8d7e1e	כ	תחילית ב
ad1570797a45	כ	יידוע
a5523cee77d8	כ	הווה רבים של להגר
d09aab253a9b	כ	הווה רבים של להתיר
e7369ed57fd6	ל	רשות וחזקה מילים שונות
834d43efa1fc	כ	אותה מילה בצורה אחרת
d47882df6042	כ	יידוע
76801bb02fe4	כ	ריבוי של עליון
1326cfc69261	כ	יידוע
6b5a8930f36f	כ	ריבוי של נוטה
dd7340194977	כ	נטייה של עקבה
ef984231a0e9	כ	ריבוי של ניסוי
