יחידה	#	מילה	הכרעה	פירוש שנדחה	פירוש שהוחזר	נימוק
1	25	נִמְהָר	REJECTED	קל דעת, אינו שוקל את מעשיו	פועל בפזיזות	רכיב הפזיזות והמהירות חסר לגמרי; קל דעת אינו נרדף לנמהר
1	27	וַתְרָן	REJECTED	סלחן, נוח להתפשר ולמחול	מוותר בקלות	סלחן אינו נרדף לוותרן והוא המילה הנרדפת המובילה בפירוש
1	39	כָּנוּעַ	REJECTED	כפוף ומשועבד, אינו מתנגד	נכנע וכפוף	משועבד אינו נרדף וגורר משמעות של שעבוד כפוי
1	92	הִלֵּךְ	REJECTED	פסע והתקדם ברגליו	הלך (לשון ספרותית)	
1	104	גָּדַשׁ	REJECTED	מילא יתר על המידה (גדש את הסאה)	מילא עד גדותיו	אנטי-דפוס של משמעות שנגזרה מצירוף יחיד
1	108	זָקַף	REJECTED	ייחס (זקף לזכותו); הרים, יישר	ייחס לְ־ (לזכות, לחובה); הרים	
1	109	גָּמַל	REJECTED	החזיר טובה או רעה; הפסיק הנקה או הרגל	השיב (טובה או רעה)	הפועל יוצא. "הפסיק הנקה או הרגל" מתאר את נִגְמַל ולא את גָּמַל, והלומד עלול להשיב נגמל
1	124	גְּנַאי	REJECTED	דופי, דיבור משפיל (כינויי גנאי)	גינוי, דבר שלילי	חרפה וביזיון, לא רק דיבור. "דיבור משפיל" מצמצם לדיבור ומחמיץ את המשמעות המרכזית (אין בכך גנאי, מעשה של גנאי)
1	130	מְשׂוּכָה	REJECTED	גדר שיחים, מכשול בדרך	מכשול	
1	152	סְרָק	REJECTED	חסר תכלית וממשות (דיבורי סרק)	חסר תוכן (דיבורי סרק)	
1	172	חוֹלֵף	REJECTED	עובר במהירות ונעלם	זמני, עובר	
1	177	קֵהֶה	REJECTED	נטול חוד, בעל קצה עגול	לא חד	
1	181	דָּחוּק	REJECTED	צפוף וצר; לחוץ בזמן (שעתו דחוקה)	צפוף; קשה (שעתו דחוקה)	
2	7	לְשֶׁעָבַר	REJECTED	קודם לכן, לפנים	בעבר, לפנים	חסרה המשמעות המרכזית שהיה בעבר בדימוס; קודם לכן לפנים חופף למילים לפנים קודם
2	44	הִסְתּוֹפֵף	REJECTED	שהה בקרבת מקום, התגורר זמנית (הסתופף במחיצתו)	שהה במחיצת, מצא מקלט	
2	57	נָעַץ	REJECTED	תקע בכוח, דקר; הביט בחדות (נעץ מבט)	תקע; הביט בחדות (נעץ מבט)	
2	77	נָאַץ	REJECTED	גידף וחירף, פגע בקדושה	גינה בחריפות	פגע בקדושה מופיע אחרי פסיק כנרדפת אך אינו נרדף, והמשמעות בזה תיעב חסרה
2	84	פָּקַד	REJECTED	אירע לו (פקד אותו אסון); ביקר, בא אל	קרה לְ־ (פקד אותו אסון); ביקר בְּ־	
2	94	חָבַשׁ	REJECTED	הניח כובע; כרך בד על פצע	הניח כובע; קשר פצע	
2	95	דִּדָּה	REJECTED	הלך בצעדים קטנים ולא יציבים	הלך בצעדים קטנים	
2	108	כָּפַף	REJECTED	עיקם, הרכין; הכניע	כיפף, הכניע	
2	163	נֶגֶף	REJECTED	מכשול, מעצור (אבן נגף); מחלה קטלנית	מגפה; מכשול (אבן נגף)	
2	184	גּוּץ	REJECTED	קצר קומה ומוצק	נמוך וקצר	
3	12	נַוָּד	REJECTED	אדם ללא מקום מגורים קבוע	אדם הנודד ממקום למקום	חסר הרכיב המרכזי נע ממקום למקום; כפי שנוסח מתאר חסר בית ולא נווד
3	49	טָוָה	REJECTED	פתל סיבים לחוט; רקם תוכנית (טווה תוכניות)	שזר חוטים; רקם תוכנית (טווה תוכניות)	
3	57	קָרַן	REJECTED	האיר, נצץ; נראה מאושר (פניו קרנו)	הפיץ אור ושמחה (פניו קרנו)	
3	150	מֶתֶק	REJECTED	טעם ערב, נעימות (מתק שפתיים)	טעם מתוק, עריבות (מתק שפתיים)	
3	154	דָּשֵׁן	REJECTED	שמן, עשיר ופורה (אדמה דשנה)	שמן, עשיר ופורה (אדמה דשנה; ארוחה דשנה)	
3	174	עוֹד בְּאִבּוֹ	REJECTED	בראשיתו, בטרם התפתח (נקטע באיבו)	בעודו בתחילתו (קטע את התופעה באיבה)	
3	191	הִתְבַּשֵּׂר	REJECTED	נודע לו דבר חשוב ומשמח	קיבל או שמע בשורה (בדרך כלל בשורה טובה)	
3	193	הִתְחַבֵּט	REJECTED	התלבט קשות, שקל ולא הכריע	התלבט	הוספה שאינה נכונה (אפשר להתחבט ולהכריע)
3	194	כִּיבֵּד	REJECTED	נהג בהערכה; טאטא, ניקה	טאטא, ניקה	
3	195	לַהַק	REJECTED	קבוצת ציפורים או בעלי חיים; מערך מטוסים	קבוצה של בעלי חיים, להקה; קבוצת מטוסים	
3	198	שִׁגְעוֹן גַּדְלוּת	REJECTED	אמונת שווא בעליונות ובכוח שאין לאדם	מחשבות שווא על עליונות, גאונות או עוצמה שאין לאדם בפועל	
4	3	שָׁצַף	REJECTED	סער, געש, זרם בעוצמה (בשצף קצף)	זרם בעוצמה, גאה (בשצף קצף)	הסוגריים (בשצף קצף) הן צירוף של שם העצם שֶׁצֶף ולא של הפועל שָׁצַף; גם זרם בעוצמה שייך לשם העצם. בנוסף סער, געש מתנגש בגעש מהתרגשות של תסס באותה יחידה
