id	מילה בכרטיס	הפירוש המקורי	מה כתוב במאגר	מה הלומד כתב	האם הלומד ידע את המילה? כ / ל / ?
NN01	גָּדָה	שפת נהר או נחל, הקרקע התוחמת את זרימת המים	שפת נהר או נחל	מבנה החוסמ נהר או נחל ומווסת את זרימת המימ	
NN02	חַבּוּט	נדוש וחסר מקוריות; שהוכה או נשחק משימוש ממושך	נדוש וחסר מקוריות	בלוי ומרופט מרוב שימוש	
NN03	שִׁנֵּן	למד היטב, חזר שוב ושוב על משהו כדי לזכור אותו	למד היטב	עשה משהו שוב ושוב	
NN04	חוֹשֶׁךְ מִצְרַיִם	אפלה כבדה, חושך מוחלט (מכת החושך במצרים)	אפלה כבדה	אפלה גדולה	
NN05	אַמַּת מַיִם	תעלה המשמשת להעברת מים ממקום למקום	תעלה המשמשת להעברת מימ ממקומ למקומ	כלי להעברת גחלימ חמימ ממקומ למקומ	
NN06	שׁוֹקֶת	אגן פתוח שממנו שותים בעלי חיים בחצר או במרעה	אגנ פתוח שממנו שותימ בעלי חיימ בחצר או במרעה	שומנ המצוי בגופמ של בעלי חיימ	
NN07	הַדְרָן	קטע נוסף לאחר סיום הופעה, לאור בקשת הקהל	קטע נוספ לאחר סיומ הופעה	קטע קצר שנוספ לספר לאחר סיומו	
NN08	הִסְתּוֹפֵף	שהה באופן ממושך במקום מסוים או בחברת אנשים מסוימים	שהה באופנ ממושכ במקומ מסוימ או בחברת אנשימ מסוימימ	הצבת אנשימ במקומ מסוימ על מנת שיבצעו מטלה מסוימת	
NN09	אוֹצֵר	הממונה על המוצגים במוזיאון; שומר על משהו יקר ערך	הממונה על המוצגימ במוזיאונ	שומר, מאבטח	
NN10	אֲלוּמָּה	צרור שיבולים קשור לאחר הקציר; קרן אור או קרינה מרוכזת בכיוון צר	צרור שיבולימ קשור לאחר הקציר	אור, זוהר	
NN11	אֲלוּמָּת אוֹר	קרן אור	קרנ אור	אור, זוהר	
NN12	אֶצְבָּעוֹן	כיסוי המהווה הגנה לאצבע בשעת תפירה	כיסוי המהווה הגנה לאצבע בשעת תפירה	כיסוי, כְּסוּת, מעטֶפֶת	
NN13	בְּגִלּוּפִין	במצב של שכרות קלה, "בראש טוב"	במצב של שכרות קלה	טוב, בסדר, מניח את הדעת	
NN14	בַּעֲלִיל	באופן ברור, ללא ספק	באופנ ברור	ברור, מובן	
NN15	קַרְתָן	כינוי גנאי לאדם שמרן (קַרְתָּנוּת = פרובינציאליות)	כינוי גנאי לאדמ שמרנ	חוטא	
NN16	בֵּין הַעַרְבַּיִם	הזמן בין שקיעת השמש ועד שמחשיך, לפנות ערב	הזמנ בינ שקיעת השמש ועד שמחשיכ	בינ ערביימ	
NN17	עוֹקֵר הָרִים	בעל שכל חריף, כינוי לאדם חריף בדברי תורה	בעל שכל חריפ	כינוי לאדמ בעל כושר ביטוי יוצא מנ הכלל	
NN18	אוֹרְחָה	שיירה של בעלי חיים או רוכבים (בדרך כלל של גמלים)	שיירה של בעלי חיימ או רוכבימ	המתת בעלי חיימ על ידי דקירה	
NN19	בּוֹר סוּד (שֶׁאֵינוֹ מְאַבֵּד טִפָּה)	מי שזוכר היטב כל מה שלמד ואינו שוכח דבר	מי שזוכר היטב כל מה שלמד ואינו שוכח דבר	אדמ שאינו שוכח דבר ממה שלמד או שמע	
NN20	גַּפַּיִם	שם כולל לרגלים והידיים של בני אדם ובעלי חיים	שמ כולל לרגלימ והידיימ של בני אדמ ובעלי חיימ	שמ כולל לבעלי החיימ	
NN21	אֲמַתְלָה	תירוץ, סיבה לא אמיתית	תירוצ	שובבות	
NN22	בָּצִיר	קטיף ענבים; הענבים עצמם	קטיפ ענבימ	קטפ ענבימ	
NN23	בָּצַר	קטף ענבים	קטפ ענבימ	מי שעובד בבציר	
NN24	גְּזִיר	חתיכה שנגזרה ממשהו	חתיכה שנגזרה ממשהו	הוראה מחייבת מטעמ השלטונ	
